; Candidate 15484
; ADRP+ADD at VM 0xfffffff009bc4824 (fileoff 0x2bc0824): page=0x1fda7a000 add_imm=0xdbf

0xfffffff009bc47a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009bc47a8: ff0f5fd6  retab	
0xfffffff009bc47ac: 5f2403d5  bti	c
0xfffffff009bc47b0: 000080d2  mov	x0, #0
0xfffffff009bc47b4: c0035fd6  ret	
0xfffffff009bc47b8: 5f2403d5  bti	c
0xfffffff009bc47bc: e10300aa  mov	x1, x0
0xfffffff009bc47c0: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc47c4: 00e03b91  add	x0, x0, #0xef8
0xfffffff009bc47c8: 9c8b9c17  b	#0xfffffff0082e7638
0xfffffff009bc47cc: 5f2403d5  bti	c
0xfffffff009bc47d0: e20301aa  mov	x2, x1
0xfffffff009bc47d4: e10300aa  mov	x1, x0
0xfffffff009bc47d8: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc47dc: 00e03b91  add	x0, x0, #0xef8
0xfffffff009bc47e0: af8b9c17  b	#0xfffffff0082e769c
0xfffffff009bc47e4: 7f2303d5  pacibsp	
0xfffffff009bc47e8: ff8301d1  sub	sp, sp, #0x60
0xfffffff009bc47ec: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009bc47f0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009bc47f4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009bc47f8: fd430191  add	x29, sp, #0x50
0xfffffff009bc47fc: f30300aa  mov	x19, x0
0xfffffff009bc4800: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff009bc4804: e808ff90  adrp	x8, #0xfffffff007ce0000
0xfffffff009bc4808: 08b946f9  ldr	x8, [x8, #0xd70]
0xfffffff009bc480c: 098d4bf8  ldr	x9, [x8, #0xb8]!
0xfffffff009bc4810: f10308aa  mov	x17, x8
0xfffffff009bc4814: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff009bc4818: 31093fd7  blraa	x9, x17
0xfffffff009bc481c: 14008052  mov	w20, #0
0xfffffff009bc4820: 801f0034  cbz	w0, #0xfffffff009bc4c10
0xfffffff009bc4824: c0d3fed0  adrp	x0, #0xfffffff00763e000
0xfffffff009bc4828: 00fc3691  add	x0, x0, #0xdbf
0xfffffff009bc482c: a19300d1  sub	x1, x29, #0x24
0xfffffff009bc4830: 82008052  mov	w2, #4
0xfffffff009bc4834: e1a1a297  bl	#0xfffffff00846cfb8
0xfffffff009bc4838: a8c35db8  ldur	w8, [x29, #-0x24]
0xfffffff009bc483c: 28020034  cbz	w8, #0xfffffff009bc4880
0xfffffff009bc4840: e808ff90  adrp	x8, #0xfffffff007ce0000
0xfffffff009bc4844: 08dd46f9  ldr	x8, [x8, #0xdb8]
0xfffffff009bc4848: 080140f9  ldr	x8, [x8]
0xfffffff009bc484c: 020140f9  ldr	x2, [x8]
0xfffffff009bc4850: 700240f9  ldr	x16, [x19]
0xfffffff009bc4854: f10313aa  mov	x17, x19
0xfffffff009bc4858: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc485c: 301ac1da  autda	x16, x17
0xfffffff009bc4860: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff009bc4864: e90310aa  mov	x9, x16
0xfffffff009bc4868: c1d3fed0  adrp	x1, #0xfffffff00763e000
0xfffffff009bc486c: 21443791  add	x1, x1, #0xdd1
0xfffffff009bc4870: e00313aa  mov	x0, x19
0xfffffff009bc4874: f10309aa  mov	x17, x9
0xfffffff009bc4878: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff009bc487c: 11093fd7  blraa	x8, x17
0xfffffff009bc4880: 687242f9  ldr	x8, [x19, #0x4e0]
0xfffffff009bc4884: e80000b5  cbnz	x8, #0xfffffff009bc48a0
0xfffffff009bc4888: 4009ffb0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc488c: 00e03c91  add	x0, x0, #0xf38
0xfffffff009bc4890: 19479e97  bl	#0xfffffff0083564f4
0xfffffff009bc4894: 607202f9  str	x0, [x19, #0x4e0]
0xfffffff009bc4898: a01b00b4  cbz	x0, #0xfffffff009bc4c0c
0xfffffff009bc489c: 1f000039  strb	wzr, [x0]
0xfffffff009bc48a0: 904c9e97  bl	#0xfffffff008357ae0
