; Candidate 3018
; ADRP+ADD at VM 0xfffffff0087073fc (fileoff 0x17033fc): page=0x1fea2a000 add_imm=0xd90

0xfffffff00870737c: 0801092a  orr	w8, w8, w9
0xfffffff008707380: 684e01b9  str	w8, [x19, #0x14c]
0xfffffff008707384: 150e40f9  ldr	x21, [x16, #0x18]
0xfffffff008707388: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff00870738c: a8224bb9  ldr	w8, [x21, #0xb20]
0xfffffff008707390: 88040034  cbz	w8, #0xfffffff008707420
0xfffffff008707394: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff008707398: b00240f9  ldr	x16, [x21]
0xfffffff00870739c: f10315aa  mov	x17, x21
0xfffffff0087073a0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087073a4: 301ac1da  autda	x16, x17
0xfffffff0087073a8: 113580d2  mov	x17, #0x1a8
0xfffffff0087073ac: 1002118b  add	x16, x16, x17
0xfffffff0087073b0: 080240f9  ldr	x8, [x16]
0xfffffff0087073b4: e90310aa  mov	x9, x16
0xfffffff0087073b8: e2e30091  add	x2, sp, #0x38
0xfffffff0087073bc: e3c30091  add	x3, sp, #0x30
0xfffffff0087073c0: e00315aa  mov	x0, x21
0xfffffff0087073c4: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff0087073c8: f10309aa  mov	x17, x9
0xfffffff0087073cc: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff0087073d0: 11093fd7  blraa	x8, x17
0xfffffff0087073d4: 00070034  cbz	w0, #0xfffffff0087074b4
0xfffffff0087073d8: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0087073dc: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff0087073e0: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087073e4: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087073e8: 290600b4  cbz	x9, #0xfffffff0087074ac
0xfffffff0087073ec: c8ab8052  mov	w8, #0x55e
0xfffffff0087073f0: 6952ff90  adrp	x9, #0xfffffff007153000
0xfffffff0087073f4: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087073f8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087073fc: 4051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008707400: 00403691  add	x0, x0, #0xd90
0xfffffff008707404: a197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008707408: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870740c: 6351fff0  adrp	x3, #0xfffffff007136000
0xfffffff008707410: 63283491  add	x3, x3, #0xd0a
0xfffffff008707414: 02008052  mov	w2, #0
0xfffffff008707418: 46aff097  bl	#0xfffffff008333130
0xfffffff00870741c: 23000014  b	#0xfffffff0087074a8
0xfffffff008707420: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff008707424: b00240f9  ldr	x16, [x21]
0xfffffff008707428: f10315aa  mov	x17, x21
0xfffffff00870742c: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008707430: 301ac1da  autda	x16, x17
0xfffffff008707434: 113580d2  mov	x17, #0x1a8
0xfffffff008707438: 1002118b  add	x16, x16, x17
0xfffffff00870743c: 080240f9  ldr	x8, [x16]
0xfffffff008707440: e90310aa  mov	x9, x16
0xfffffff008707444: e2e30091  add	x2, sp, #0x38
0xfffffff008707448: e3c30091  add	x3, sp, #0x30
0xfffffff00870744c: e00315aa  mov	x0, x21
0xfffffff008707450: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff008707454: f10309aa  mov	x17, x9
0xfffffff008707458: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff00870745c: 11093fd7  blraa	x8, x17
0xfffffff008707460: a0020034  cbz	w0, #0xfffffff0087074b4
0xfffffff008707464: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff008707468: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff00870746c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff008707470: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008707474: c90100b4  cbz	x9, #0xfffffff0087074ac
0xfffffff008707478: 68ad8052  mov	w8, #0x56b
