; Candidate 7840
; ADRP+ADD at VM 0xfffffff0088826e8 (fileoff 0x187e6e8): page=0x1fe967000 add_imm=0xe80

0xfffffff008882668: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888266c: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882670: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882674: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882678: 880b8052  mov	w8, #0x5c
0xfffffff00888267c: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882680: 63303691  add	x3, x3, #0xd8c
0xfffffff008882684: f62300a9  stp	x22, x8, [sp]
0xfffffff008882688: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888268c: 00003a91  add	x0, x0, #0xe80
0xfffffff008882690: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882694: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882698: 02008052  mov	w2, #0
0xfffffff00888269c: a5c2ea97  bl	#0xfffffff008333130
0xfffffff0088826a0: 66ffff17  b	#0xfffffff008882438
0xfffffff0088826a4: c2c60094  bl	#0xfffffff0088b41ac
0xfffffff0088826a8: f50300aa  mov	x21, x0
0xfffffff0088826ac: c0008052  mov	w0, #6
0xfffffff0088826b0: 68e4ff97  bl	#0xfffffff00887b850
0xfffffff0088826b4: 68724139  ldrb	w8, [x19, #0x5c]
0xfffffff0088826b8: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0088826bc: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0088826c0: a8338052  mov	w8, #0x19d
0xfffffff0088826c4: 494dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff0088826c8: 29b13e91  add	x9, x9, #0xfac
0xfffffff0088826cc: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088826d0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088826d4: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088826d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088826dc: 880b8052  mov	w8, #0x5c
0xfffffff0088826e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088826e4: f50300f9  str	x21, [sp]
0xfffffff0088826e8: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088826ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088826f0: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088826f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088826f8: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff0088826fc: 63483791  add	x3, x3, #0xdd2
0xfffffff008882700: 02008052  mov	w2, #0
0xfffffff008882704: 8bc2ea97  bl	#0xfffffff008333130
0xfffffff008882708: 15008052  mov	w21, #0
0xfffffff00888270c: 4bffff17  b	#0xfffffff008882438
0xfffffff008882710: 5f2403d5  bti	c
0xfffffff008882714: 08704139  ldrb	w8, [x0, #0x5c]
0xfffffff008882718: 28000039  strb	w8, [x1]
0xfffffff00888271c: 00008052  mov	w0, #0
0xfffffff008882720: c0035fd6  ret	
0xfffffff008882724: 7f2303d5  pacibsp	
0xfffffff008882728: ff4302d1  sub	sp, sp, #0x90
0xfffffff00888272c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008882730: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008882734: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008882738: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00888273c: fd030291  add	x29, sp, #0x80
0xfffffff008882740: f50302aa  mov	x21, x2
0xfffffff008882744: f40301aa  mov	x20, x1
0xfffffff008882748: f30300aa  mov	x19, x0
0xfffffff00888274c: 800b8052  mov	w0, #0x5c
0xfffffff008882750: 01018052  mov	w1, #8
0xfffffff008882754: 1fe4ff97  bl	#0xfffffff00887b7d0
0xfffffff008882758: 20060034  cbz	w0, #0xfffffff00888281c
0xfffffff00888275c: 800b8052  mov	w0, #0x5c
0xfffffff008882760: 2ee4ff97  bl	#0xfffffff00887b818
0xfffffff008882764: f70300aa  mov	x23, x0
