; Candidate 4228
; ADRP+ADD at VM 0xfffffff0087977e4 (fileoff 0x17937e4): page=0x1fe99a000 add_imm=0xd90

0xfffffff008797764: 11093fd7  blraa	x8, x17
0xfffffff008797768: 08448352  mov	w8, #0x1a20
0xfffffff00879776c: 8802088b  add	x8, x20, x8
0xfffffff008797770: 092c8552  mov	w9, #0x2960
0xfffffff008797774: 8902098b  add	x9, x20, x9
0xfffffff008797778: 290108eb  subs	x9, x9, x8
0xfffffff00879777c: 03110054  b.lo	#0xfffffff00879799c
0xfffffff008797780: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff008797784: ca1000b5  cbnz	x10, #0xfffffff00879799c
0xfffffff008797788: 0a3d8052  mov	w10, #0x1e8
0xfffffff00879778c: aa7e0a1b  mul	w10, w21, w10
0xfffffff008797790: 4ba10711  add	w11, w10, #0x1e8
0xfffffff008797794: 7f01096b  cmp	w11, w9
0xfffffff008797798: 88100054  b.hi	#0xfffffff0087979a8
0xfffffff00879779c: 08412aab  adds	x8, x8, w10, uxtw
0xfffffff0087977a0: ea379f1a  cset	w10, hs
0xfffffff0087977a4: 49014093  sbfx	x9, x10, #0, #1
0xfffffff0087977a8: 2a010aca  eor	x10, x9, x10
0xfffffff0087977ac: 4a1000b5  cbnz	x10, #0xfffffff0087979b4
0xfffffff0087977b0: 2910f8b7  tbnz	x9, #0x3f, #0xfffffff0087979b4
0xfffffff0087977b4: 19008052  mov	w25, #0
0xfffffff0087977b8: 09e141b9  ldr	w9, [x8, #0x1e0]
0xfffffff0087977bc: 0909098b  add	x9, x8, x9, lsl #2
0xfffffff0087977c0: 338101b9  str	w19, [x9, #0x180]
0xfffffff0087977c4: 09e141b9  ldr	w9, [x8, #0x1e0]
0xfffffff0087977c8: 29050011  add	w9, w9, #1
0xfffffff0087977cc: 09e101b9  str	w9, [x8, #0x1e0]
0xfffffff0087977d0: 48000014  b	#0xfffffff0087978f0
0xfffffff0087977d4: f3df00a9  stp	x19, x23, [sp, #8]
0xfffffff0087977d8: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087977dc: 086d1891  add	x8, x8, #0x61b
0xfffffff0087977e0: e80300f9  str	x8, [sp]
0xfffffff0087977e4: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087977e8: 00403691  add	x0, x0, #0xd90
0xfffffff0087977ec: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087977f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087977f4: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087977f8: 631c2b91  add	x3, x3, #0xac7
0xfffffff0087977fc: 02008052  mov	w2, #0
0xfffffff008797800: 4c6eee97  bl	#0xfffffff008333130
0xfffffff008797804: 99578052  mov	w25, #0x2bc
0xfffffff008797808: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff00879780c: 39000014  b	#0xfffffff0087978f0
0xfffffff008797810: 08448352  mov	w8, #0x1a20
0xfffffff008797814: 8802088b  add	x8, x20, x8
0xfffffff008797818: 092c8552  mov	w9, #0x2960
0xfffffff00879781c: 8902098b  add	x9, x20, x9
0xfffffff008797820: 290108eb  subs	x9, x9, x8
0xfffffff008797824: c30b0054  b.lo	#0xfffffff00879799c
0xfffffff008797828: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff00879782c: 8a0b00b5  cbnz	x10, #0xfffffff00879799c
0xfffffff008797830: 0a3d8052  mov	w10, #0x1e8
0xfffffff008797834: aa7e0a1b  mul	w10, w21, w10
0xfffffff008797838: 4ba10711  add	w11, w10, #0x1e8
0xfffffff00879783c: 7f01096b  cmp	w11, w9
0xfffffff008797840: 480b0054  b.hi	#0xfffffff0087979a8
0xfffffff008797844: 08412aab  adds	x8, x8, w10, uxtw
0xfffffff008797848: ea379f1a  cset	w10, hs
0xfffffff00879784c: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008797850: 2a010aca  eor	x10, x9, x10
0xfffffff008797854: 0a0b00b5  cbnz	x10, #0xfffffff0087979b4
0xfffffff008797858: e90af8b7  tbnz	x9, #0x3f, #0xfffffff0087979b4
0xfffffff00879785c: e103162a  mov	w1, w22
0xfffffff008797860: 03e141b9  ldr	w3, [x8, #0x1e0]
