; Candidate 12324
; ADRP+ADD at VM 0xfffffff00908a010 (fileoff 0x2086010): page=0x1fe3cf000 add_imm=0xe24

0xfffffff009089f90: 08038039  ldrsb	x8, [x24]
0xfffffff009089f94: 1f0900f1  cmp	x8, #2
0xfffffff009089f98: a8000054  b.hi	#0xfffffff009089fac
0xfffffff009089f9c: 0956ff90  adrp	x9, #0xfffffff007b49000
0xfffffff009089fa0: 29811f91  add	x9, x9, #0x7e0
0xfffffff009089fa4: 297968f8  ldr	x9, [x9, x8, lsl #3]
0xfffffff009089fa8: 03000014  b	#0xfffffff009089fb4
0xfffffff009089fac: a91eff90  adrp	x9, #0xfffffff00745d000
0xfffffff009089fb0: 29492991  add	x9, x9, #0xa52
0xfffffff009089fb4: 8a1effb0  adrp	x10, #0xfffffff00745a000
0xfffffff009089fb8: 4a891691  add	x10, x10, #0x5a2
0xfffffff009089fbc: 8b1effb0  adrp	x11, #0xfffffff00745a000
0xfffffff009089fc0: 6b9d2191  add	x11, x11, #0x867
0xfffffff009089fc4: bf020072  tst	w21, #1
0xfffffff009089fc8: 6a118a9a  csel	x10, x11, x10, ne
0xfffffff009089fcc: 081d4092  and	x8, x8, #0xff
0xfffffff009089fd0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009089fd4: f44f00a9  stp	x20, x19, [sp]
0xfffffff009089fd8: ea1300f9  str	x10, [sp, #0x20]
0xfffffff009089fdc: 801efff0  adrp	x0, #0xfffffff00745c000
0xfffffff009089fe0: 00b42d91  add	x0, x0, #0xb6d
0xfffffff009089fe4: 0f34cb97  bl	#0xfffffff008357020
0xfffffff009089fe8: e8024039  ldrb	w8, [x23]
0xfffffff009089fec: df020071  cmp	w22, #0
0xfffffff009089ff0: c9088052  mov	w9, #0x46
0xfffffff009089ff4: 4a018052  mov	w10, #0xa
0xfffffff009089ff8: 4901891a  csel	w9, w10, w9, eq
0xfffffff009089ffc: 3f01086b  cmp	w9, w8
0xfffffff00908a000: e3000054  b.lo	#0xfffffff00908a01c
0xfffffff00908a004: c87e4093  sxtw	x8, w22
0xfffffff00908a008: f44f00a9  stp	x20, x19, [sp]
0xfffffff00908a00c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908a010: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908a014: 00903891  add	x0, x0, #0xe24
0xfffffff00908a018: 0234cb97  bl	#0xfffffff008357020
0xfffffff00908a01c: e00316aa  mov	x0, x22
0xfffffff00908a020: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00908a024: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00908a028: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00908a02c: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00908a030: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00908a034: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff00908a038: ff430391  add	sp, sp, #0xd0
0xfffffff00908a03c: ff0f5fd6  retab	
0xfffffff00908a040: 36598052  mov	w22, #0x2c9
0xfffffff00908a044: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff00908a048: c8b78152  mov	w8, #0xdbe
0xfffffff00908a04c: 691efff0  adrp	x9, #0xfffffff007459000
0xfffffff00908a050: 29493f91  add	x9, x9, #0xfd2
0xfffffff00908a054: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908a058: 681efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908a05c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908a060: 8a1effd0  adrp	x10, #0xfffffff00745c000
0xfffffff00908a064: 4af12b91  add	x10, x10, #0xafc
0xfffffff00908a068: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908a06c: ea0300f9  str	x10, [sp]
0xfffffff00908a070: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908a074: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908a078: ea33cb97  bl	#0xfffffff008357020
0xfffffff00908a07c: 931effd0  adrp	x19, #0xfffffff00745c000
0xfffffff00908a080: 73e62991  add	x19, x19, #0xa79
0xfffffff00908a084: 741efff0  adrp	x20, #0xfffffff007459000
0xfffffff00908a088: 942e3f91  add	x20, x20, #0xfcb
0xfffffff00908a08c: 379400f0  adrp	x23, #0xfffffff00a311000
