; Candidate 16716
; ADRP+ADD at VM 0xfffffff009f33a90 (fileoff 0x2f2fa90): page=0x1fd92a000 add_imm=0xd38

0xfffffff009f33a10: e03f00f9  str	x0, [sp, #0x78]
0xfffffff009f33a14: 800d00b4  cbz	x0, #0xfffffff009f33bc4
0xfffffff009f33a18: fc2300f9  str	x28, [sp, #0x40]
0xfffffff009f33a1c: fc2740f9  ldr	x28, [sp, #0x48]
0xfffffff009f33a20: e1031caa  mov	x1, x28
0xfffffff009f33a24: e20317aa  mov	x2, x23
0xfffffff009f33a28: ee868a97  bl	#0xfffffff0081d55e0
0xfffffff009f33a2c: c25a40f9  ldr	x2, [x22, #0xb0]
0xfffffff009f33a30: e0a30191  add	x0, sp, #0x68
0xfffffff009f33a34: e1830191  add	x1, sp, #0x60
0xfffffff009f33a38: 097a8097  bl	#0xfffffff007f5225c
0xfffffff009f33a3c: a00e0034  cbz	w0, #0xfffffff009f33c10
0xfffffff009f33a40: fa0300aa  mov	x26, x0
0xfffffff009f33a44: 083e8452  mov	w8, #0x21f0
0xfffffff009f33a48: 8802088b  add	x8, x20, x8
0xfffffff009f33a4c: 1fa80171  cmp	w0, #0x6a
0xfffffff009f33a50: 48110054  b.hi	#0xfffffff009f33c78
0xfffffff009f33a54: 09f0feb0  adrp	x9, #0xfffffff007d34000
0xfffffff009f33a58: 29011191  add	x9, x9, #0x440
0xfffffff009f33a5c: 29597af8  ldr	x9, [x9, w26, uxtw #3]
0xfffffff009f33a60: 88000014  b	#0xfffffff009f33c80
0xfffffff009f33a64: 093e8452  mov	w9, #0x21f0
0xfffffff009f33a68: 8902098b  add	x9, x20, x9
0xfffffff009f33a6c: aa620091  add	x10, x21, #0x18
0xfffffff009f33a70: ab0640f9  ldr	x11, [x21, #8]
0xfffffff009f33a74: e81b00f9  str	x8, [sp, #0x30]
0xfffffff009f33a78: 08068052  mov	w8, #0x30
0xfffffff009f33a7c: eb2302a9  stp	x11, x8, [sp, #0x20]
0xfffffff009f33a80: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff009f33a84: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33a88: 084d2f91  add	x8, x8, #0xbd3
0xfffffff009f33a8c: c97f8052  mov	w9, #0x3fe
0xfffffff009f33a90: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33a94: 00e03491  add	x0, x0, #0xd38
0xfffffff009f33a98: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33a9c: 8a2ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33aa0: da028052  mov	w26, #0x16
0xfffffff009f33aa4: df000014  b	#0xfffffff009f33e20
0xfffffff009f33aa8: a8124179  ldrh	w8, [x21, #0x88]
0xfffffff009f33aac: 080d1412  and	w8, w8, #0xf000
0xfffffff009f33ab0: 1f214071  cmp	w8, #8, lsl #12
0xfffffff009f33ab4: 411b0054  b.ne	#0xfffffff009f33e1c
0xfffffff009f33ab8: 083e8452  mov	w8, #0x21f0
0xfffffff009f33abc: 8802088b  add	x8, x20, x8
0xfffffff009f33ac0: a90640f9  ldr	x9, [x21, #8]
0xfffffff009f33ac4: aa2240f9  ldr	x10, [x21, #0x40]
0xfffffff009f33ac8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f33acc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f33ad0: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33ad4: 084d2f91  add	x8, x8, #0xbd3
0xfffffff009f33ad8: 097e8052  mov	w9, #0x3f0
0xfffffff009f33adc: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33ae0: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33ae4: 00d03391  add	x0, x0, #0xcf4
0xfffffff009f33ae8: 772ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33aec: cc000014  b	#0xfffffff009f33e1c
0xfffffff009f33af0: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009f33af4: c6198097  bl	#0xfffffff007f3a20c
0xfffffff009f33af8: f50300aa  mov	x21, x0
0xfffffff009f33afc: 4921fd97  bl	#0xfffffff009e7c020
0xfffffff009f33b00: 80040034  cbz	w0, #0xfffffff009f33b90
0xfffffff009f33b04: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009f33b08: a10640f9  ldr	x1, [x21, #8]
0xfffffff009f33b0c: a3e20291  add	x3, x21, #0xb8
