; Candidate 1547
; ADRP+ADD at VM 0xfffffff008493cfc (fileoff 0x148fcfc): page=0x1ff4ee000 add_imm=0xcf0

0xfffffff008493c7c: 5f2403d5  bti	c
0xfffffff008493c80: 00008052  mov	w0, #0
0xfffffff008493c84: c0035fd6  ret	
0xfffffff008493c88: 7f2303d5  pacibsp	
0xfffffff008493c8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008493c90: fd030091  mov	x29, sp
0xfffffff008493c94: e10300aa  mov	x1, x0
0xfffffff008493c98: 082440f9  ldr	x8, [x0, #0x48]
0xfffffff008493c9c: 000540f9  ldr	x0, [x8, #8]
0xfffffff008493ca0: 10000090  adrp	x16, #0xfffffff008493000
0xfffffff008493ca4: 10323391  add	x16, x16, #0xccc
0xfffffff008493ca8: f1048dd2  mov	x17, #0x6827
0xfffffff008493cac: 3002c1da  pacia	x16, x17
0xfffffff008493cb0: e20310aa  mov	x2, x16
0xfffffff008493cb4: d80de497  bl	#0xfffffff007d97414
0xfffffff008493cb8: 1f000071  cmp	w0, #0
0xfffffff008493cbc: 68008052  mov	w8, #3
0xfffffff008493cc0: e003881a  csel	w0, wzr, w8, eq
0xfffffff008493cc4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008493cc8: ff0f5fd6  retab	
0xfffffff008493ccc: 7f2303d5  pacibsp	
0xfffffff008493cd0: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008493cd4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008493cd8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008493cdc: fd830091  add	x29, sp, #0x20
0xfffffff008493ce0: f50301aa  mov	x21, x1
0xfffffff008493ce4: f60300aa  mov	x22, x0
0xfffffff008493ce8: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493cec: 00c03291  add	x0, x0, #0xcb0
0xfffffff008493cf0: 01008052  mov	w1, #0
0xfffffff008493cf4: 334be497  bl	#0xfffffff007da69c0
0xfffffff008493cf8: f30300aa  mov	x19, x0
0xfffffff008493cfc: 60a7ffd0  adrp	x0, #0xfffffff007981000
0xfffffff008493d00: 00c03391  add	x0, x0, #0xcf0
0xfffffff008493d04: 01008052  mov	w1, #0
0xfffffff008493d08: 2e4be497  bl	#0xfffffff007da69c0
0xfffffff008493d0c: f40300aa  mov	x20, x0
0xfffffff008493d10: 08388052  mov	w8, #0x1c0
0xfffffff008493d14: 080800f9  str	x8, [x0, #0x10]
0xfffffff008493d18: bc0de497  bl	#0xfffffff007d97408
0xfffffff008493d1c: 084000b1  adds	x8, x0, #0x10
0xfffffff008493d20: 880200f9  str	x8, [x20]
0xfffffff008493d24: a0040054  b.eq	#0xfffffff008493db8
0xfffffff008493d28: 9f0600f9  str	xzr, [x20, #8]
0xfffffff008493d2c: 9ffe01a9  stp	xzr, xzr, [x20, #0x18]
0xfffffff008493d30: e00313aa  mov	x0, x19
0xfffffff008493d34: e10314aa  mov	x1, x20
0xfffffff008493d38: 22008052  mov	w2, #1
0xfffffff008493d3c: adfcff97  bl	#0xfffffff008492ff0
0xfffffff008493d40: e00313aa  mov	x0, x19
0xfffffff008493d44: 81008052  mov	w1, #4
0xfffffff008493d48: e8fcff97  bl	#0xfffffff0084930e8
0xfffffff008493d4c: c01a40f9  ldr	x0, [x22, #0x30]
0xfffffff008493d50: 000500b4  cbz	x0, #0xfffffff008493df0
0xfffffff008493d54: e80300aa  mov	x8, x0
0xfffffff008493d58: 090d41f8  ldr	x9, [x8, #0x10]!
0xfffffff008493d5c: e10313aa  mov	x1, x19
0xfffffff008493d60: 28093fd7  blraa	x9, x8
0xfffffff008493d64: e00000b4  cbz	x0, #0xfffffff008493d80
0xfffffff008493d68: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008493d6c: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff008493d70: 081d0011  add	w8, w8, #7
0xfffffff008493d74: e966a252  mov	w9, #0x13370000
0xfffffff008493d78: 092143b3  bfxil	x9, x8, #3, #6
