; Candidate 9155
; ADRP+ADD at VM 0xfffffff0089fec74 (fileoff 0x19fac74): page=0x1fe896000 add_imm=0xdf4

0xfffffff0089febf4: 10000090  adrp	x16, #0xfffffff0089fe000
0xfffffff0089febf8: 10223991  add	x16, x16, #0xe48
0xfffffff0089febfc: 3001c1da  pacia	x16, x9
0xfffffff0089fec00: f02300f9  str	x16, [sp, #0x40]
0xfffffff0089fec04: 08610091  add	x8, x8, #0x18
0xfffffff0089fec08: 5082fff0  adrp	x16, #0xfffffff007a49000
0xfffffff0089fec0c: 10822e91  add	x16, x16, #0xba0
0xfffffff0089fec10: f10308aa  mov	x17, x8
0xfffffff0089fec14: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff0089fec18: 300ac1da  pacda	x16, x17
0xfffffff0089fec1c: f0d304a9  stp	x16, x20, [sp, #0x48]
0xfffffff0089fec20: 28008052  mov	w8, #1
0xfffffff0089fec24: e84f0b29  stp	w8, w19, [sp, #0x58]
0xfffffff0089fec28: e2c30091  add	x2, sp, #0x30
0xfffffff0089fec2c: 00008052  mov	w0, #0
0xfffffff0089fec30: 81008052  mov	w1, #4
0xfffffff0089fec34: 6b77ce97  bl	#0xfffffff007d9c9e0
0xfffffff0089fec38: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0089fec3c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0089fec40: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0089fec44: ff430291  add	sp, sp, #0x90
0xfffffff0089fec48: ff0f5fd6  retab	
0xfffffff0089fec4c: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fec50: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fec54: e9458052  mov	w9, #0x22f
0xfffffff0089fec58: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fec5c: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fec60: cb44ff90  adrp	x11, #0xfffffff007296000
0xfffffff0089fec64: 6b212191  add	x11, x11, #0x848
0xfffffff0089fec68: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089fec6c: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089fec70: eb0300f9  str	x11, [sp]
0xfffffff0089fec74: a044ffd0  adrp	x0, #0xfffffff007294000
0xfffffff0089fec78: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fec7c: f9e1ce97  bl	#0xfffffff007db7460
0xfffffff0089fec80: 205b8052  mov	w0, #0x2d9
0xfffffff0089fec84: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089fec88: ecffff17  b	#0xfffffff0089fec38
0xfffffff0089fec8c: 5f2403d5  bti	c
0xfffffff0089fec90: 00d840b9  ldr	w0, [x0, #0xd8]
0xfffffff0089fec94: c0035fd6  ret	
0xfffffff0089fec98: 7f2303d5  pacibsp	
0xfffffff0089fec9c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0089feca0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0089feca4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0089feca8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0089fecac: fd430191  add	x29, sp, #0x50
0xfffffff0089fecb0: f50302aa  mov	x21, x2
0xfffffff0089fecb4: f40301aa  mov	x20, x1
0xfffffff0089fecb8: f30300aa  mov	x19, x0
0xfffffff0089fecbc: 00a840f9  ldr	x0, [x0, #0x150]
0xfffffff0089fecc0: 83b3ce97  bl	#0xfffffff007dabacc
0xfffffff0089fecc4: 68da40b9  ldr	w8, [x19, #0xd8]
0xfffffff0089fecc8: 1f01156b  cmp	w8, w21
0xfffffff0089feccc: c9060054  b.ls	#0xfffffff0089feda4
0xfffffff0089fecd0: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff0089fecd4: 080100b4  cbz	x8, #0xfffffff0089fecf4
0xfffffff0089fecd8: 69ea40b9  ldr	w9, [x19, #0xe8]
0xfffffff0089fecdc: 090d098b  add	x9, x8, x9, lsl #3
0xfffffff0089fece0: 290108eb  subs	x9, x9, x8
0xfffffff0089fece4: a3050054  b.lo	#0xfffffff0089fed98
0xfffffff0089fece8: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0089fecec: 6a0000b4  cbz	x10, #0xfffffff0089fecf8
0xfffffff0089fecf0: 2a000014  b	#0xfffffff0089fed98
