; Candidate 4973
; ADRP+ADD at VM 0xfffffff0087cfea8 (fileoff 0x17cbea8): page=0x1fea1a000 add_imm=0xe80

0xfffffff0087cfe28: 1a52ffb0  adrp	x26, #0xfffffff007210000
0xfffffff0087cfe2c: 5a273391  add	x26, x26, #0xcc9
0xfffffff0087cfe30: 1952ffb0  adrp	x25, #0xfffffff007210000
0xfffffff0087cfe34: 39f73291  add	x25, x25, #0xcbd
0xfffffff0087cfe38: 580c0034  cbz	w24, #0xfffffff0087cffc0
0xfffffff0087cfe3c: fcef03a9  stp	x28, x27, [sp, #0x38]
0xfffffff0087cfe40: fadf02a9  stp	x26, x23, [sp, #0x28]
0xfffffff0087cfe44: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfe48: 08712591  add	x8, x8, #0x95c
0xfffffff0087cfe4c: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff0087cfe50: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087cfe54: 080a8052  mov	w8, #0x50
0xfffffff0087cfe58: 0052ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087cfe5c: 00403291  add	x0, x0, #0xc90
0xfffffff0087cfe60: f62300a9  stp	x22, x8, [sp]
0xfffffff0087cfe64: 7f9dd797  bl	#0xfffffff007db7460
0xfffffff0087cfe68: 6a000014  b	#0xfffffff0087d0010
0xfffffff0087cfe6c: d0900394  bl	#0xfffffff0088b41ac
0xfffffff0087cfe70: f60300aa  mov	x22, x0
0xfffffff0087cfe74: 00018052  mov	w0, #8
0xfffffff0087cfe78: 76ae0294  bl	#0xfffffff00887b850
0xfffffff0087cfe7c: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087cfe80: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087cfe84: c81d8052  mov	w8, #0xee
0xfffffff0087cfe88: 0952ffb0  adrp	x9, #0xfffffff007210000
0xfffffff0087cfe8c: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087cfe90: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cfe94: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfe98: 08712591  add	x8, x8, #0x95c
0xfffffff0087cfe9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cfea0: 080a8052  mov	w8, #0x50
0xfffffff0087cfea4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087cfea8: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cfeac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cfeb0: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cfeb4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cfeb8: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cfebc: 63642a91  add	x3, x3, #0xa99
0xfffffff0087cfec0: 02008052  mov	w2, #0
0xfffffff0087cfec4: 9b8ced97  bl	#0xfffffff008333130
0xfffffff0087cfec8: 68030b91  add	x8, x27, #0x2c0
0xfffffff0087cfecc: 696341f9  ldr	x9, [x27, #0x2c0]
0xfffffff0087cfed0: e00313aa  mov	x0, x19
0xfffffff0087cfed4: e10314aa  mov	x1, x20
0xfffffff0087cfed8: f10308aa  mov	x17, x8
0xfffffff0087cfedc: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0087cfee0: 31093fd7  blraa	x9, x17
0xfffffff0087cfee4: 80030036  tbz	w0, #0, #0xfffffff0087cff54
0xfffffff0087cfee8: 000a8052  mov	w0, #0x50
0xfffffff0087cfeec: 01018052  mov	w1, #8
0xfffffff0087cfef0: 38ae0294  bl	#0xfffffff00887b7d0
0xfffffff0087cfef4: 60190034  cbz	w0, #0xfffffff0087d0220
0xfffffff0087cfef8: 000a8052  mov	w0, #0x50
0xfffffff0087cfefc: 47ae0294  bl	#0xfffffff00887b818
0xfffffff0087cff00: f70300aa  mov	x23, x0
0xfffffff0087cff04: aa900394  bl	#0xfffffff0088b41ac
0xfffffff0087cff08: f60300aa  mov	x22, x0
0xfffffff0087cff0c: 00018052  mov	w0, #8
0xfffffff0087cff10: 50ae0294  bl	#0xfffffff00887b850
0xfffffff0087cff14: 97150034  cbz	w23, #0xfffffff0087d01c4
0xfffffff0087cff18: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087cff1c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087cff20: c81e8052  mov	w8, #0xf6
0xfffffff0087cff24: 0952ffb0  adrp	x9, #0xfffffff007210000
