; Candidate 15358
; ADRP+ADD at VM 0xfffffff009b54ce4 (fileoff 0x2b50ce4): page=0x1fdad4000 add_imm=0xed0

0xfffffff009b54c64: 40000054  b.eq	#0xfffffff009b54c6c
0xfffffff009b54c68: 408e38d4  brk	#0xc472
0xfffffff009b54c6c: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b54c70: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b54c74: e00313aa  mov	x0, x19
0xfffffff009b54c78: 010080d2  mov	x1, #0
0xfffffff009b54c7c: f10308aa  mov	x17, x8
0xfffffff009b54c80: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b54c84: 31093fd7  blraa	x9, x17
0xfffffff009b54c88: f50300aa  mov	x21, x0
0xfffffff009b54c8c: 700240f9  ldr	x16, [x19]
0xfffffff009b54c90: f10313aa  mov	x17, x19
0xfffffff009b54c94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b54c98: 301ac1da  autda	x16, x17
0xfffffff009b54c9c: f10310aa  mov	x17, x16
0xfffffff009b54ca0: f147c1da  xpacd	x17
0xfffffff009b54ca4: 1f0211eb  cmp	x16, x17
0xfffffff009b54ca8: 40000054  b.eq	#0xfffffff009b54cb0
0xfffffff009b54cac: 408e38d4  brk	#0xc472
0xfffffff009b54cb0: 08620891  add	x8, x16, #0x218
0xfffffff009b54cb4: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b54cb8: e00313aa  mov	x0, x19
0xfffffff009b54cbc: 010080d2  mov	x1, #0
0xfffffff009b54cc0: f10308aa  mov	x17, x8
0xfffffff009b54cc4: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b54cc8: 31093fd7  blraa	x9, x17
0xfffffff009b54ccc: a8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b54cd0: 08412c91  add	x8, x8, #0xb10
0xfffffff009b54cd4: a9d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b54cd8: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b54cdc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b54ce0: f50300a9  stp	x21, x0, [sp]
0xfffffff009b54ce4: a0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b54ce8: 00403b91  add	x0, x0, #0xed0
0xfffffff009b54cec: c3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b54cf0: 63a82191  add	x3, x3, #0x86a
0xfffffff009b54cf4: e10314aa  mov	x1, x20
0xfffffff009b54cf8: 02028052  mov	w2, #0x10
0xfffffff009b54cfc: 0d799f97  bl	#0xfffffff008333130
0xfffffff009b54d00: df020072  tst	w22, #1
0xfffffff009b54d04: e0179f1a  cset	w0, eq
0xfffffff009b54d08: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009b54d0c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009b54d10: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009b54d14: ff430191  add	sp, sp, #0x50
0xfffffff009b54d18: ff0f5fd6  retab	
0xfffffff009b54d1c: 5f2403d5  bti	c
0xfffffff009b54d20: 088c41f9  ldr	x8, [x0, #0x318]
0xfffffff009b54d24: 090548b9  ldr	w9, [x8, #0x804]
0xfffffff009b54d28: 29011132  orr	w9, w9, #0x8000
0xfffffff009b54d2c: 090508b9  str	w9, [x8, #0x804]
0xfffffff009b54d30: 0910a052  mov	w9, #0x800000
0xfffffff009b54d34: 090108b9  str	w9, [x8, #0x800]
0xfffffff009b54d38: c0035fd6  ret	
0xfffffff009b54d3c: 7f2303d5  pacibsp	
0xfffffff009b54d40: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009b54d44: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009b54d48: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009b54d4c: fd830091  add	x29, sp, #0x20
0xfffffff009b54d50: f30300aa  mov	x19, x0
0xfffffff009b54d54: 28400011  add	w8, w1, #0x10
0xfffffff009b54d58: 5f000271  cmp	w2, #0x80
0xfffffff009b54d5c: 3600881a  csel	w22, w1, w8, eq
0xfffffff009b54d60: 147c41f9  ldr	x20, [x0, #0x2f8]
