; Candidate 13957
; ADRP+ADD at VM 0xfffffff00963b6a0 (fileoff 0x26376a0): page=0xd4e000 add_imm=0xec0

0xfffffff00963b620: e10314aa  mov	x1, x20
0xfffffff00963b624: a81bb697  bl	#0xfffffff0083c24c4
0xfffffff00963b628: 702effb0  adrp	x16, #0xfffffff007c08000
0xfffffff00963b62c: 10c23791  add	x16, x16, #0xdf0
0xfffffff00963b630: 10420091  add	x16, x16, #0x10
0xfffffff00963b634: f10300aa  mov	x17, x0
0xfffffff00963b638: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963b63c: 300ac1da  pacda	x16, x17
0xfffffff00963b640: 100000f9  str	x16, [x0]
0xfffffff00963b644: e00314aa  mov	x0, x20
0xfffffff00963b648: bba6b297  bl	#0xfffffff0082e5134
0xfffffff00963b64c: e00313aa  mov	x0, x19
0xfffffff00963b650: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00963b654: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00963b658: ff0f5fd6  retab	
0xfffffff00963b65c: 7f2303d5  pacibsp	
0xfffffff00963b660: ffc301d1  sub	sp, sp, #0x70
0xfffffff00963b664: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff00963b668: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00963b66c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00963b670: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00963b674: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00963b678: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00963b67c: fd830191  add	x29, sp, #0x60
0xfffffff00963b680: f80307aa  mov	x24, x7
0xfffffff00963b684: f40306aa  mov	x20, x6
0xfffffff00963b688: f50305aa  mov	x21, x5
0xfffffff00963b68c: f60304aa  mov	x22, x4
0xfffffff00963b690: f70303aa  mov	x23, x3
0xfffffff00963b694: f90302aa  mov	x25, x2
0xfffffff00963b698: fa0301aa  mov	x26, x1
0xfffffff00963b69c: fb0300aa  mov	x27, x0
0xfffffff00963b6a0: 606a00d0  adrp	x0, #0xfffffff00a389000
0xfffffff00963b6a4: 00003b91  add	x0, x0, #0xec0
0xfffffff00963b6a8: 100040f9  ldr	x16, [x0]
0xfffffff00963b6ac: f10300aa  mov	x17, x0
0xfffffff00963b6b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963b6b4: 301ac1da  autda	x16, x17
0xfffffff00963b6b8: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff00963b6bc: e90310aa  mov	x9, x16
0xfffffff00963b6c0: f10309aa  mov	x17, x9
0xfffffff00963b6c4: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff00963b6c8: 11093fd7  blraa	x8, x17
0xfffffff00963b6cc: f30300aa  mov	x19, x0
0xfffffff00963b6d0: e00300b4  cbz	x0, #0xfffffff00963b74c
0xfffffff00963b6d4: 700240f9  ldr	x16, [x19]
0xfffffff00963b6d8: f10313aa  mov	x17, x19
0xfffffff00963b6dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963b6e0: 301ac1da  autda	x16, x17
0xfffffff00963b6e4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00963b6e8: e90310aa  mov	x9, x16
0xfffffff00963b6ec: f80300f9  str	x24, [sp]
0xfffffff00963b6f0: e00313aa  mov	x0, x19
0xfffffff00963b6f4: e1031baa  mov	x1, x27
0xfffffff00963b6f8: e2031aaa  mov	x2, x26
0xfffffff00963b6fc: e30319aa  mov	x3, x25
0xfffffff00963b700: e40317aa  mov	x4, x23
0xfffffff00963b704: e50316aa  mov	x5, x22
0xfffffff00963b708: e60315aa  mov	x6, x21
0xfffffff00963b70c: e70314aa  mov	x7, x20
0xfffffff00963b710: f10309aa  mov	x17, x9
0xfffffff00963b714: 517ce3f2  movk	x17, #0x1be2, lsl #48
0xfffffff00963b718: 11093fd7  blraa	x8, x17
0xfffffff00963b71c: 80010037  tbnz	w0, #0, #0xfffffff00963b74c
