; Candidate 5279
; ADRP+ADD at VM 0xfffffff0087e4378 (fileoff 0x17e0378): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e42f8: b00240f9  ldr	x16, [x21]
0xfffffff0087e42fc: f10315aa  mov	x17, x21
0xfffffff0087e4300: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087e4304: 301ac1da  autda	x16, x17
0xfffffff0087e4308: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087e430c: e90310aa  mov	x9, x16
0xfffffff0087e4310: e00315aa  mov	x0, x21
0xfffffff0087e4314: f10309aa  mov	x17, x9
0xfffffff0087e4318: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087e431c: 11093fd7  blraa	x8, x17
0xfffffff0087e4320: befdff17  b	#0xfffffff0087e3a18
0xfffffff0087e4324: a23f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e4328: f80300aa  mov	x24, x0
0xfffffff0087e432c: 99008052  mov	w25, #4
0xfffffff0087e4330: 80008052  mov	w0, #4
0xfffffff0087e4334: 475d0294  bl	#0xfffffff00887b850
0xfffffff0087e4338: e80317aa  mov	x8, x23
0xfffffff0087e433c: 693240b9  ldr	w9, [x19, #0x30]
0xfffffff0087e4340: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e4344: f6e703a9  stp	x22, x25, [sp, #0x38]
0xfffffff0087e4348: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e434c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4350: c97b8052  mov	w9, #0x3de
0xfffffff0087e4354: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4358: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e435c: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4360: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e4364: 680e8052  mov	w8, #0x73
0xfffffff0087e4368: c352ffb0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e436c: 63b43691  add	x3, x3, #0xdad
0xfffffff0087e4370: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e4374: f80300f9  str	x24, [sp]
0xfffffff0087e4378: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e437c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4380: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e4384: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4388: 02008052  mov	w2, #0
0xfffffff0087e438c: 693bed97  bl	#0xfffffff008333130
0xfffffff0087e4390: d0ffff17  b	#0xfffffff0087e42d0
0xfffffff0087e4394: 601e40fd  ldr	d0, [x19, #0x38]
0xfffffff0087e4398: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e439c: 00d82291  add	x0, x0, #0x8b6
0xfffffff0087e43a0: e10316aa  mov	x1, x22
0xfffffff0087e43a4: c9060094  bl	#0xfffffff0087e5ec8
0xfffffff0087e43a8: 80070034  cbz	w0, #0xfffffff0087e4498
0xfffffff0087e43ac: f70300aa  mov	x23, x0
0xfffffff0087e43b0: 600e8052  mov	w0, #0x73
0xfffffff0087e43b4: 81008052  mov	w1, #4
0xfffffff0087e43b8: 065d0294  bl	#0xfffffff00887b7d0
0xfffffff0087e43bc: a0f8ff34  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e43c0: 600e8052  mov	w0, #0x73
0xfffffff0087e43c4: 155d0294  bl	#0xfffffff00887b818
0xfffffff0087e43c8: f90300aa  mov	x25, x0
0xfffffff0087e43cc: 783f0394  bl	#0xfffffff0088b41ac
0xfffffff0087e43d0: f80300aa  mov	x24, x0
0xfffffff0087e43d4: 80008052  mov	w0, #4
0xfffffff0087e43d8: 1e5d0294  bl	#0xfffffff00887b850
0xfffffff0087e43dc: 99090034  cbz	w25, #0xfffffff0087e450c
0xfffffff0087e43e0: 601e40fd  ldr	d0, [x19, #0x38]
0xfffffff0087e43e4: 0800789e  fcvtzs	x8, d0
0xfffffff0087e43e8: e90317aa  mov	x9, x23
0xfffffff0087e43ec: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff0087e43f0: c9008052  mov	w9, #6
0xfffffff0087e43f4: f6a703a9  stp	x22, x9, [sp, #0x38]
