; Candidate 3211
; ADRP+ADD at VM 0xfffffff00871c89c (fileoff 0x171889c): page=0x1fea15000 add_imm=0xd90

0xfffffff00871c81c: 6b050091  add	x11, x11, #1
0xfffffff00871c820: 6bf97f92  and	x11, x11, #0xfffffffffffffffe
0xfffffff00871c824: 220d040e  dup	v2.2s, w9
0xfffffff00871c828: 4184a10e  add	v1.2s, v2.2s, v1.2s
0xfffffff00871c82c: 82c9400d  ld1r	{v2.2s}, [x12]
0xfffffff00871c830: 4c52fff0  adrp	x12, #0xfffffff007167000
0xfffffff00871c834: 83a5c03d  ldr	q3, [x12, #0x290]
0xfffffff00871c838: 8c038052  mov	w12, #0x1c
0xfffffff00871c83c: 4404000f  movi	v4.2s, #2
0xfffffff00871c840: 050d084e  dup	v5.2d, x8
0xfffffff00871c844: 0d0109aa  orr	x13, x8, x9
0xfffffff00871c848: a51ca34e  orr	v5.16b, v5.16b, v3.16b
0xfffffff00871c84c: 053ce56e  cmhs	v5.2d, v0.2d, v5.2d
0xfffffff00871c850: a628a10e  xtn	v6.2s, v5.2d
0xfffffff00871c854: 256ca22e  umin	v5.2s, v1.2s, v2.2s
0xfffffff00871c858: ce00261e  fmov	w14, s6
0xfffffff00871c85c: 6e000036  tbz	w14, #0, #0xfffffff00871c868
0xfffffff00871c860: ae290c9b  madd	x14, x13, x12, x10
0xfffffff00871c864: c50500bd  str	s5, [x14, #4]
0xfffffff00871c868: ce3c0c0e  mov	w14, v6.s[1]
0xfffffff00871c86c: 8e000036  tbz	w14, #0, #0xfffffff00871c87c
0xfffffff00871c870: ad290c9b  madd	x13, x13, x12, x10
0xfffffff00871c874: ad810091  add	x13, x13, #0x20
0xfffffff00871c878: a591000d  st1	{v5.s}[1], [x13]
0xfffffff00871c87c: 08090091  add	x8, x8, #2
0xfffffff00871c880: 2184a40e  add	v1.2s, v1.2s, v4.2s
0xfffffff00871c884: 7f0108eb  cmp	x11, x8
0xfffffff00871c888: c1fdff54  b.ne	#0xfffffff00871c840
0xfffffff00871c88c: 3c000014  b	#0xfffffff00871c97c
0xfffffff00871c890: c851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff00871c894: 08f52c91  add	x8, x8, #0xb3d
0xfffffff00871c898: e85700a9  stp	x8, x21, [sp]
0xfffffff00871c89c: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c8a0: 00403691  add	x0, x0, #0xd90
0xfffffff00871c8a4: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c8a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c8ac: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c8b0: 63080d91  add	x3, x3, #0x342
0xfffffff00871c8b4: 02008052  mov	w2, #0
0xfffffff00871c8b8: 1e5af097  bl	#0xfffffff008333130
0xfffffff00871c8bc: 08fcff17  b	#0xfffffff00871b8dc
0xfffffff00871c8c0: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c8c4: 29053391  add	x9, x9, #0xcc1
0xfffffff00871c8c8: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff00871c8cc: e95b01a9  stp	x9, x22, [sp, #0x10]
0xfffffff00871c8d0: 48758052  mov	w8, #0x3aa
0xfffffff00871c8d4: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c8d8: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871c8dc: e92300a9  stp	x9, x8, [sp]
0xfffffff00871c8e0: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c8e4: 00403691  add	x0, x0, #0xd90
0xfffffff00871c8e8: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c8ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c8f0: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c8f4: 63e80791  add	x3, x3, #0x1fa
0xfffffff00871c8f8: 02008052  mov	w2, #0
0xfffffff00871c8fc: 0d5af097  bl	#0xfffffff008333130
0xfffffff00871c900: f7fbff17  b	#0xfffffff00871b8dc
0xfffffff00871c904: 15008052  mov	w21, #0
0xfffffff00871c908: 88224039  ldrb	w8, [x20, #8]
0xfffffff00871c90c: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff00871c910: 3f010071  cmp	w9, #0
0xfffffff00871c914: 0409407a  ccmp	w8, #0, #4, eq
0xfffffff00871c918: 21030054  b.ne	#0xfffffff00871c97c
