; Candidate 6301
; ADRP+ADD at VM 0xfffffff008821160 (fileoff 0x181d160): page=0x1fe9c8000 add_imm=0xe80

0xfffffff0088210e0: f72305a9  stp	x23, x8, [sp, #0x50]
0xfffffff0088210e4: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff0088210e8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088210ec: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff0088210f0: 08cd1791  add	x8, x8, #0x5f3
0xfffffff0088210f4: a9348252  mov	w9, #0x11a5
0xfffffff0088210f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088210fc: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff008821100: 08051691  add	x8, x8, #0x581
0xfffffff008821104: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008821108: a80e8052  mov	w8, #0x75
0xfffffff00882110c: e04ffff0  adrp	x0, #0xfffffff007220000
0xfffffff008821110: 00741691  add	x0, x0, #0x59d
0xfffffff008821114: f52300a9  stp	x21, x8, [sp]
0xfffffff008821118: d258d697  bl	#0xfffffff007db7460
0xfffffff00882111c: 69000014  b	#0xfffffff0088212c0
0xfffffff008821120: 234c0294  bl	#0xfffffff0088b41ac
0xfffffff008821124: f40300aa  mov	x20, x0
0xfffffff008821128: 80008052  mov	w0, #4
0xfffffff00882112c: c9690194  bl	#0xfffffff00887b850
0xfffffff008821130: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008821134: e8db03a9  stp	x8, x22, [sp, #0x38]
0xfffffff008821138: a84fff90  adrp	x8, #0xfffffff007215000
0xfffffff00882113c: 08691591  add	x8, x8, #0x55a
0xfffffff008821140: a9338252  mov	w9, #0x119d
0xfffffff008821144: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008821148: e84ffff0  adrp	x8, #0xfffffff007220000
0xfffffff00882114c: 08051691  add	x8, x8, #0x581
0xfffffff008821150: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008821154: a80e8052  mov	w8, #0x75
0xfffffff008821158: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882115c: f40300f9  str	x20, [sp]
0xfffffff008821160: 404eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008821164: 00003a91  add	x0, x0, #0xe80
0xfffffff008821168: 218ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00882116c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008821170: 4351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff008821174: 63bc2491  add	x3, x3, #0x92f
0xfffffff008821178: 02008052  mov	w2, #0
0xfffffff00882117c: ed47ec97  bl	#0xfffffff008333130
0xfffffff008821180: e07d8012  mov	w0, #-0x3f0
0xfffffff008821184: 50000014  b	#0xfffffff0088212c4
0xfffffff008821188: 280340b9  ldr	w8, [x25]
0xfffffff00882118c: 1f050071  cmp	w8, #1
0xfffffff008821190: a1010054  b.ne	#0xfffffff0088211c4
0xfffffff008821194: 68021a8b  add	x8, x19, x26
0xfffffff008821198: 082145b9  ldr	w8, [x8, #0x520]
0xfffffff00882119c: 48010034  cbz	w8, #0xfffffff0088211c4
0xfffffff0088211a0: e00317aa  mov	x0, x23
0xfffffff0088211a4: e10315aa  mov	x1, x21
0xfffffff0088211a8: 00ffff97  bl	#0xfffffff008820da8
0xfffffff0088211ac: e80300aa  mov	x8, x0
0xfffffff0088211b0: 00008012  mov	w0, #-1
0xfffffff0088211b4: 88080035  cbnz	w8, #0xfffffff0088212c4
0xfffffff0088211b8: bf020071  cmp	w21, #0
0xfffffff0088211bc: 8c000054  b.gt	#0xfffffff0088211cc
0xfffffff0088211c0: 41000014  b	#0xfffffff0088212c4
0xfffffff0088211c4: bf060071  cmp	w21, #1
0xfffffff0088211c8: cb070054  b.lt	#0xfffffff0088212c0
0xfffffff0088211cc: 08008052  mov	w8, #0
0xfffffff0088211d0: 190080d2  mov	x25, #0
0xfffffff0088211d4: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088211d8: ea03152a  mov	w10, w21
0xfffffff0088211dc: 6bee4091  add	x11, x19, #0x3b, lsl #12
