; Candidate 14877
; ADRP+ADD at VM 0xfffffff0099d960c (fileoff 0x29d560c): page=0x1fdc1a000 add_imm=0xd4b

0xfffffff0099d958c: fdc30091  add	x29, sp, #0x30
0xfffffff0099d9590: f30300aa  mov	x19, x0
0xfffffff0099d9594: a0e0fe90  adrp	x0, #0xfffffff0075ed000
0xfffffff0099d9598: 00781291  add	x0, x0, #0x49e
0xfffffff0099d959c: a1e0fe90  adrp	x1, #0xfffffff0075ed000
0xfffffff0099d95a0: 21801491  add	x1, x1, #0x520
0xfffffff0099d95a4: a2e0fe90  adrp	x2, #0xfffffff0075ed000
0xfffffff0099d95a8: 42642291  add	x2, x2, #0x899
0xfffffff0099d95ac: c4e0fe90  adrp	x4, #0xfffffff0075f1000
0xfffffff0099d95b0: 84c42c91  add	x4, x4, #0xb31
0xfffffff0099d95b4: b4fe8152  mov	w20, #0xff5
0xfffffff0099d95b8: 030080d2  mov	x3, #0
0xfffffff0099d95bc: a5fe8152  mov	w5, #0xff5
0xfffffff0099d95c0: 06008052  mov	w6, #0
0xfffffff0099d95c4: 6dfdff97  bl	#0xfffffff0099d8b78
0xfffffff0099d95c8: c8e0fe90  adrp	x8, #0xfffffff0075f1000
0xfffffff0099d95cc: 08f53691  add	x8, x8, #0xdbd
0xfffffff0099d95d0: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff0099d95d4: f30300f9  str	x19, [sp]
0xfffffff0099d95d8: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d95dc: 00b81f91  add	x0, x0, #0x7ee
0xfffffff0099d95e0: cbebaa97  bl	#0xfffffff00849450c
0xfffffff0099d95e4: 7f2303d5  pacibsp	
0xfffffff0099d95e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099d95ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099d95f0: fd830091  add	x29, sp, #0x20
0xfffffff0099d95f4: 080040f9  ldr	x8, [x0]
0xfffffff0099d95f8: 89138052  mov	w9, #0x9c
0xfffffff0099d95fc: cae0fed0  adrp	x10, #0xfffffff0075f3000
0xfffffff0099d9600: 4ab53491  add	x10, x10, #0xd2d
0xfffffff0099d9604: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0099d9608: e80300f9  str	x8, [sp]
0xfffffff0099d960c: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d9610: 002c3591  add	x0, x0, #0xd4b
0xfffffff0099d9614: beebaa97  bl	#0xfffffff00849450c
0xfffffff0099d9618: 7f2303d5  pacibsp	
0xfffffff0099d961c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0099d9620: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0099d9624: fd830091  add	x29, sp, #0x20
0xfffffff0099d9628: 080040f9  ldr	x8, [x0]
0xfffffff0099d962c: c9148052  mov	w9, #0xa6
0xfffffff0099d9630: cae0fed0  adrp	x10, #0xfffffff0075f3000
0xfffffff0099d9634: 4ab53491  add	x10, x10, #0xd2d
0xfffffff0099d9638: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0099d963c: e80300f9  str	x8, [sp]
0xfffffff0099d9640: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d9644: 00283691  add	x0, x0, #0xd8a
0xfffffff0099d9648: b1ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d964c: 7f2303d5  pacibsp	
0xfffffff0099d9650: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9654: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9658: fd430091  add	x29, sp, #0x10
0xfffffff0099d965c: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d9660: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d9664: c9158052  mov	w9, #0xae
0xfffffff0099d9668: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d966c: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d9670: 00203791  add	x0, x0, #0xdc8
0xfffffff0099d9674: a6ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d9678: 7f2303d5  pacibsp	
0xfffffff0099d967c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9680: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9684: fd430091  add	x29, sp, #0x10
0xfffffff0099d9688: c8e0fed0  adrp	x8, #0xfffffff0075f3000
