; Candidate 14758
; ADRP+ADD at VM 0xfffffff0098f6654 (fileoff 0x28f2654): page=0x1fdce7000 add_imm=0xdd0

0xfffffff0098f65d4: 29dd2291  add	x9, x9, #0x8b7
0xfffffff0098f65d8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0098f65dc: e00300f9  str	x0, [sp]
0xfffffff0098f65e0: 20e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098f65e4: 00ac2291  add	x0, x0, #0x8ab
0xfffffff0098f65e8: c977ae97  bl	#0xfffffff00849450c
0xfffffff0098f65ec: 7f2303d5  pacibsp	
0xfffffff0098f65f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0098f65f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0098f65f8: fd430091  add	x29, sp, #0x10
0xfffffff0098f65fc: e05400f0  adrp	x0, #0xfffffff00a395000
0xfffffff0098f6600: 00002f91  add	x0, x0, #0xbc0
0xfffffff0098f6604: 21e7fef0  adrp	x1, #0xfffffff0075dd000
0xfffffff0098f6608: 21283a91  add	x1, x1, #0xe8a
0xfffffff0098f660c: c21bfff0  adrp	x2, #0xfffffff007c71000
0xfffffff0098f6610: 425842f9  ldr	x2, [x2, #0x4b0]
0xfffffff0098f6614: 03198052  mov	w3, #0xc8
0xfffffff0098f6618: 48b5a797  bl	#0xfffffff0082e3b38
0xfffffff0098f661c: 101cff90  adrp	x16, #0xfffffff007c76000
0xfffffff0098f6620: 10022591  add	x16, x16, #0x940
0xfffffff0098f6624: 10420091  add	x16, x16, #0x10
0xfffffff0098f6628: f10300aa  mov	x17, x0
0xfffffff0098f662c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098f6630: 300ac1da  pacda	x16, x17
0xfffffff0098f6634: 100000f9  str	x16, [x0]
0xfffffff0098f6638: 33e7fef0  adrp	x19, #0xfffffff0075dd000
0xfffffff0098f663c: 73da3691  add	x19, x19, #0xdb6
0xfffffff0098f6640: e00313aa  mov	x0, x19
0xfffffff0098f6644: fdcaa897  bl	#0xfffffff008329238
0xfffffff0098f6648: 14550090  adrp	x20, #0xfffffff00a396000
0xfffffff0098f664c: 94820591  add	x20, x20, #0x160
0xfffffff0098f6650: 800200f9  str	x0, [x20]
0xfffffff0098f6654: 20e7fef0  adrp	x0, #0xfffffff0075dd000
0xfffffff0098f6658: 00403791  add	x0, x0, #0xdd0
0xfffffff0098f665c: f7caa897  bl	#0xfffffff008329238
0xfffffff0098f6660: 800600f9  str	x0, [x20, #8]
0xfffffff0098f6664: 290580d2  mov	x9, #0x29
0xfffffff0098f6668: e900c0f2  movk	x9, #7, lsl #32
0xfffffff0098f666c: e85400f0  adrp	x8, #0xfffffff00a395000
0xfffffff0098f6670: 08a12f91  add	x8, x8, #0xbe8
0xfffffff0098f6674: 2add0291  add	x10, x9, #0xb7
0xfffffff0098f6678: 0a0100f9  str	x10, [x8]
0xfffffff0098f667c: 1f210039  strb	wzr, [x8, #8]
0xfffffff0098f6680: 2a008052  mov	w10, #1
0xfffffff0098f6684: 0a1100b9  str	w10, [x8, #0x10]
0xfffffff0098f6688: 2bed0291  add	x11, x9, #0xbb
0xfffffff0098f668c: 0b0d00f9  str	x11, [x8, #0x18]
0xfffffff0098f6690: 1f810039  strb	wzr, [x8, #0x20]
0xfffffff0098f6694: 0a2900b9  str	w10, [x8, #0x28]
0xfffffff0098f6698: 2ae10291  add	x10, x9, #0xb8
0xfffffff0098f669c: 0a1900f9  str	x10, [x8, #0x30]
0xfffffff0098f66a0: 1fe10039  strb	wzr, [x8, #0x38]
0xfffffff0098f66a4: 4a008052  mov	w10, #2
0xfffffff0098f66a8: 0a4100b9  str	w10, [x8, #0x40]
0xfffffff0098f66ac: 2bf10291  add	x11, x9, #0xbc
0xfffffff0098f66b0: 0b2500f9  str	x11, [x8, #0x48]
0xfffffff0098f66b4: 1f410139  strb	wzr, [x8, #0x50]
0xfffffff0098f66b8: 0a5900b9  str	w10, [x8, #0x58]
0xfffffff0098f66bc: 2ae50291  add	x10, x9, #0xb9
0xfffffff0098f66c0: 0a3100f9  str	x10, [x8, #0x60]
0xfffffff0098f66c4: 1fa10139  strb	wzr, [x8, #0x68]
0xfffffff0098f66c8: 8a008052  mov	w10, #4
0xfffffff0098f66cc: 0a7100b9  str	w10, [x8, #0x70]
0xfffffff0098f66d0: 2bf50291  add	x11, x9, #0xbd
