; Candidate 14590
; ADRP+ADD at VM 0xfffffff00985e274 (fileoff 0x285a274): page=0x1fe3fe000 add_imm=0xe10

0xfffffff00985e1f4: 10421991  add	x16, x16, #0x650
0xfffffff00985e1f8: f10308aa  mov	x17, x8
0xfffffff00985e1fc: b193faf2  movk	x17, #0xd49d, lsl #48
0xfffffff00985e200: 300ac1da  pacda	x16, x17
0xfffffff00985e204: 104800f9  str	x16, [x0, #0x90]
0xfffffff00985e208: 08400391  add	x8, x0, #0xd0
0xfffffff00985e20c: f01fff90  adrp	x16, #0xfffffff007c5a000
0xfffffff00985e210: 10820391  add	x16, x16, #0xe0
0xfffffff00985e214: 10621a91  add	x16, x16, #0x698
0xfffffff00985e218: f10308aa  mov	x17, x8
0xfffffff00985e21c: 5156faf2  movk	x17, #0xd2b2, lsl #48
0xfffffff00985e220: 300ac1da  pacda	x16, x17
0xfffffff00985e224: 106800f9  str	x16, [x0, #0xd0]
0xfffffff00985e228: 08600391  add	x8, x0, #0xd8
0xfffffff00985e22c: f01fff90  adrp	x16, #0xfffffff007c5a000
0xfffffff00985e230: 10820391  add	x16, x16, #0xe0
0xfffffff00985e234: 10e21a91  add	x16, x16, #0x6b8
0xfffffff00985e238: f10308aa  mov	x17, x8
0xfffffff00985e23c: f1b7eef2  movk	x17, #0x75bf, lsl #48
0xfffffff00985e240: 300ac1da  pacda	x16, x17
0xfffffff00985e244: 106c00f9  str	x16, [x0, #0xd8]
0xfffffff00985e248: e00314aa  mov	x0, x20
0xfffffff00985e24c: ba1baa97  bl	#0xfffffff0082e5134
0xfffffff00985e250: e00313aa  mov	x0, x19
0xfffffff00985e254: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985e258: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985e25c: ff0f5fd6  retab	
0xfffffff00985e260: 7f2303d5  pacibsp	
0xfffffff00985e264: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985e268: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985e26c: fd430091  add	x29, sp, #0x10
0xfffffff00985e270: f40300aa  mov	x20, x0
0xfffffff00985e274: e01fffd0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985e278: 00403891  add	x0, x0, #0xe10
0xfffffff00985e27c: 01248052  mov	w1, #0x120
0xfffffff00985e280: ee24aa97  bl	#0xfffffff0082e7638
0xfffffff00985e284: f30300aa  mov	x19, x0
0xfffffff00985e288: c0ffff97  bl	#0xfffffff00985e188
0xfffffff00985e28c: 000300b4  cbz	x0, #0xfffffff00985e2ec
0xfffffff00985e290: 700240f9  ldr	x16, [x19]
0xfffffff00985e294: f10313aa  mov	x17, x19
0xfffffff00985e298: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985e29c: 301ac1da  autda	x16, x17
0xfffffff00985e2a0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00985e2a4: e90310aa  mov	x9, x16
0xfffffff00985e2a8: e00313aa  mov	x0, x19
0xfffffff00985e2ac: e10314aa  mov	x1, x20
0xfffffff00985e2b0: f10309aa  mov	x17, x9
0xfffffff00985e2b4: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00985e2b8: 11093fd7  blraa	x8, x17
0xfffffff00985e2bc: 80010037  tbnz	w0, #0, #0xfffffff00985e2ec
0xfffffff00985e2c0: 700240f9  ldr	x16, [x19]
0xfffffff00985e2c4: f10313aa  mov	x17, x19
0xfffffff00985e2c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985e2cc: 301ac1da  autda	x16, x17
0xfffffff00985e2d0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00985e2d4: e90310aa  mov	x9, x16
0xfffffff00985e2d8: e00313aa  mov	x0, x19
0xfffffff00985e2dc: f10309aa  mov	x17, x9
0xfffffff00985e2e0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00985e2e4: 11093fd7  blraa	x8, x17
0xfffffff00985e2e8: 130080d2  mov	x19, #0
0xfffffff00985e2ec: e00313aa  mov	x0, x19
0xfffffff00985e2f0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
