; Candidate 10099
; ADRP+ADD at VM 0xfffffff008ca4d7c (fileoff 0x1ca0d7c): page=0x1fe6b0000 add_imm=0xce6

0xfffffff008ca4cfc: f60300aa  mov	x22, x0
0xfffffff008ca4d00: 00008052  mov	w0, #0
0xfffffff008ca4d04: 2870ff90  adrp	x8, #0xfffffff007aa8000
0xfffffff008ca4d08: 08e940f9  ldr	x8, [x8, #0x1d0]
0xfffffff008ca4d0c: 080140f9  ldr	x8, [x8]
0xfffffff008ca4d10: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff008ca4d14: 7f000171  cmp	w3, #0x40
0xfffffff008ca4d18: 68050054  b.hi	#0xfffffff008ca4dc4
0xfffffff008ca4d1c: c89e7d39  ldrb	w8, [x22, #0xf67]
0xfffffff008ca4d20: 28050035  cbnz	w8, #0xfffffff008ca4dc4
0xfffffff008ca4d24: f50303aa  mov	x21, x3
0xfffffff008ca4d28: f30302aa  mov	x19, x2
0xfffffff008ca4d2c: f40301aa  mov	x20, x1
0xfffffff008ca4d30: c8f27d39  ldrb	w8, [x22, #0xf7c]
0xfffffff008ca4d34: a8021036  tbz	w8, #2, #0xfffffff008ca4d88
0xfffffff008ca4d38: fff305b8  stur	wzr, [sp, #0x5f]
0xfffffff008ca4d3c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ca4d40: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff008ca4d44: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff008ca4d48: f30300f9  str	x19, [sp]
0xfffffff008ca4d4c: 4235ffd0  adrp	x2, #0xfffffff00734e000
0xfffffff008ca4d50: 429c0b91  add	x2, x2, #0x2e7
0xfffffff008ca4d54: f7830091  add	x23, sp, #0x20
0xfffffff008ca4d58: e0830091  add	x0, sp, #0x20
0xfffffff008ca4d5c: 61088052  mov	w1, #0x43
0xfffffff008ca4d60: ff57d597  bl	#0xfffffff0081fad5c
0xfffffff008ca4d64: c8f27d39  ldrb	w8, [x22, #0xf7c]
0xfffffff008ca4d68: 08011036  tbz	w8, #2, #0xfffffff008ca4d88
0xfffffff008ca4d6c: c8a27c39  ldrb	w8, [x22, #0xf28]
0xfffffff008ca4d70: e903142a  mov	w9, w20
0xfffffff008ca4d74: e9df00a9  stp	x9, x23, [sp, #8]
0xfffffff008ca4d78: e80300f9  str	x8, [sp]
0xfffffff008ca4d7c: 8035ff90  adrp	x0, #0xfffffff007354000
0xfffffff008ca4d80: 00983391  add	x0, x0, #0xce6
0xfffffff008ca4d84: a7c8da97  bl	#0xfffffff008357020
0xfffffff008ca4d88: c02247f9  ldr	x0, [x22, #0xe40]
0xfffffff008ca4d8c: e303152a  mov	w3, w21
0xfffffff008ca4d90: 100040f9  ldr	x16, [x0]
0xfffffff008ca4d94: f10300aa  mov	x17, x0
0xfffffff008ca4d98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca4d9c: 301ac1da  autda	x16, x17
0xfffffff008ca4da0: 11d780d2  mov	x17, #0x6b8
0xfffffff008ca4da4: 1002118b  add	x16, x16, x17
0xfffffff008ca4da8: 080240f9  ldr	x8, [x16]
0xfffffff008ca4dac: e90310aa  mov	x9, x16
0xfffffff008ca4db0: 811e0012  and	w1, w20, #0xff
0xfffffff008ca4db4: e20313aa  mov	x2, x19
0xfffffff008ca4db8: f10309aa  mov	x17, x9
0xfffffff008ca4dbc: 51dff5f2  movk	x17, #0xaefa, lsl #48
0xfffffff008ca4dc0: 11093fd7  blraa	x8, x17
0xfffffff008ca4dc4: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008ca4dc8: 2970ff90  adrp	x9, #0xfffffff007aa8000
0xfffffff008ca4dcc: 29e940f9  ldr	x9, [x9, #0x1d0]
0xfffffff008ca4dd0: 290140f9  ldr	x9, [x9]
0xfffffff008ca4dd4: 3f0108eb  cmp	x9, x8
0xfffffff008ca4dd8: e1000054  b.ne	#0xfffffff008ca4df4
0xfffffff008ca4ddc: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008ca4de0: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008ca4de4: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008ca4de8: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008ca4dec: ffc30291  add	sp, sp, #0xb0
0xfffffff008ca4df0: ff0f5fd6  retab	
0xfffffff008ca4df4: 16e4c297  bl	#0xfffffff007d5de4c
0xfffffff008ca4df8: 7f2303d5  pacibsp	
