; Candidate 9704
; ADRP+ADD at VM 0xfffffff008ad4c44 (fileoff 0x1ad0c44): page=0x1fe7ee000 add_imm=0xeb9

0xfffffff008ad4bc4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008ad4bc8: 02413a8b  add	x2, x8, w26, uxtw
0xfffffff008ad4bcc: 23031a4b  sub	w3, w25, w26
0xfffffff008ad4bd0: 641e40f9  ldr	x4, [x19, #0x38]
0xfffffff008ad4bd4: e50318aa  mov	x5, x24
0xfffffff008ad4bd8: 15f9ff97  bl	#0xfffffff008ad302c
0xfffffff008ad4bdc: a00300b4  cbz	x0, #0xfffffff008ad4c50
0xfffffff008ad4be0: f60300aa  mov	x22, x0
0xfffffff008ad4be4: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff008ad4be8: 480500b4  cbz	x8, #0xfffffff008ad4c90
0xfffffff008ad4bec: 680240f9  ldr	x8, [x19]
0xfffffff008ad4bf0: 000140f9  ldr	x0, [x8]
0xfffffff008ad4bf4: 83fdff97  bl	#0xfffffff008ad4200
0xfffffff008ad4bf8: f30300aa  mov	x19, x0
0xfffffff008ad4bfc: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff008ad4c00: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad4c04: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad4c08: 09508052  mov	w9, #0x280
0xfffffff008ad4c0c: e82700a9  stp	x8, x9, [sp]
0xfffffff008ad4c10: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad4c14: 00283c91  add	x0, x0, #0xf0a
0xfffffff008ad4c18: 19000014  b	#0xfffffff008ad4c7c
0xfffffff008ad4c1c: 680240f9  ldr	x8, [x19]
0xfffffff008ad4c20: 000140f9  ldr	x0, [x8]
0xfffffff008ad4c24: 77fdff97  bl	#0xfffffff008ad4200
0xfffffff008ad4c28: f30300aa  mov	x19, x0
0xfffffff008ad4c2c: f6e301a9  stp	x22, x24, [sp, #0x18]
0xfffffff008ad4c30: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad4c34: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad4c38: a94e8052  mov	w9, #0x275
0xfffffff008ad4c3c: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff008ad4c40: e80300f9  str	x8, [sp]
0xfffffff008ad4c44: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad4c48: 00e43a91  add	x0, x0, #0xeb9
0xfffffff008ad4c4c: 9fffff17  b	#0xfffffff008ad4ac8
0xfffffff008ad4c50: 680240f9  ldr	x8, [x19]
0xfffffff008ad4c54: 000140f9  ldr	x0, [x8]
0xfffffff008ad4c58: 6afdff97  bl	#0xfffffff008ad4200
0xfffffff008ad4c5c: f30300aa  mov	x19, x0
0xfffffff008ad4c60: e06301a9  stp	x0, x24, [sp, #0x10]
0xfffffff008ad4c64: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad4c68: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad4c6c: 894f8052  mov	w9, #0x27c
0xfffffff008ad4c70: e82700a9  stp	x8, x9, [sp]
0xfffffff008ad4c74: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad4c78: 00f03891  add	x0, x0, #0xe3c
0xfffffff008ad4c7c: f989cb97  bl	#0xfffffff007db7460
0xfffffff008ad4c80: 73d6ffb4  cbz	x19, #0xfffffff008ad474c
0xfffffff008ad4c84: 618e5fb8  ldr	w1, [x19, #-8]!
0xfffffff008ad4c88: e00313aa  mov	x0, x19
0xfffffff008ad4c8c: affeff17  b	#0xfffffff008ad4748
0xfffffff008ad4c90: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008ad4c94: e10316aa  mov	x1, x22
0xfffffff008ad4c98: 42008052  mov	w2, #2
0xfffffff008ad4c9c: f9feff17  b	#0xfffffff008ad4880
0xfffffff008ad4ca0: 6b24ca97  bl	#0xfffffff007d5de4c
0xfffffff008ad4ca4: 00000000  udf	#0
0xfffffff008ad4ca8: 00000000  udf	#0
0xfffffff008ad4cac: 00000000  udf	#0
0xfffffff008ad4cb0: 7f2303d5  pacibsp	
0xfffffff008ad4cb4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ad4cb8: fd030091  mov	x29, sp
0xfffffff008ad4cbc: 613ffff0  adrp	x1, #0xfffffff0072c3000
0xfffffff008ad4cc0: 21601791  add	x1, x1, #0x5d8
