; Candidate 15355
; ADRP+ADD at VM 0xfffffff009b54338 (fileoff 0x2b50338): page=0x1fdad4000 add_imm=0xed0

0xfffffff009b542b8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b542bc: e00313aa  mov	x0, x19
0xfffffff009b542c0: 010080d2  mov	x1, #0
0xfffffff009b542c4: f10308aa  mov	x17, x8
0xfffffff009b542c8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b542cc: 31093fd7  blraa	x9, x17
0xfffffff009b542d0: f60300aa  mov	x22, x0
0xfffffff009b542d4: 700240f9  ldr	x16, [x19]
0xfffffff009b542d8: f10313aa  mov	x17, x19
0xfffffff009b542dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b542e0: 301ac1da  autda	x16, x17
0xfffffff009b542e4: f10310aa  mov	x17, x16
0xfffffff009b542e8: f147c1da  xpacd	x17
0xfffffff009b542ec: 1f0211eb  cmp	x16, x17
0xfffffff009b542f0: 40000054  b.eq	#0xfffffff009b542f8
0xfffffff009b542f4: 408e38d4  brk	#0xc472
0xfffffff009b542f8: 08620891  add	x8, x16, #0x218
0xfffffff009b542fc: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b54300: e00313aa  mov	x0, x19
0xfffffff009b54304: 010080d2  mov	x1, #0
0xfffffff009b54308: f10308aa  mov	x17, x8
0xfffffff009b5430c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b54310: 31093fd7  blraa	x9, x17
0xfffffff009b54314: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b54318: 092540b9  ldr	w9, [x8, #0x24]
0xfffffff009b5431c: a8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b54320: 08052d91  add	x8, x8, #0xb41
0xfffffff009b54324: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009b54328: a8d6feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b5432c: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b54330: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff009b54334: f60300f9  str	x22, [sp]
0xfffffff009b54338: a0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b5433c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b54340: c3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b54344: 63102491  add	x3, x3, #0x904
0xfffffff009b54348: e10315aa  mov	x1, x21
0xfffffff009b5434c: e20314aa  mov	x2, x20
0xfffffff009b54350: 787b9f97  bl	#0xfffffff008333130
0xfffffff009b54354: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b54358: 69438052  mov	w9, #0x21b
0xfffffff009b5435c: 0902a072  movk	w9, #0x10, lsl #16
0xfffffff009b54360: 092900b9  str	w9, [x8, #0x28]
0xfffffff009b54364: 74c641b9  ldr	w20, [x19, #0x1c4]
0xfffffff009b54368: 14101836  tbz	w20, #3, #0xfffffff009b54568
0xfffffff009b5436c: 9405f036  tbz	w20, #0x1e, #0xfffffff009b5441c
0xfffffff009b54370: cbe68d97  bl	#0xfffffff007ecde9c
0xfffffff009b54374: 1f040071  cmp	w0, #1
0xfffffff009b54378: 21050054  b.ne	#0xfffffff009b5441c
0xfffffff009b5437c: 700240f9  ldr	x16, [x19]
0xfffffff009b54380: f10313aa  mov	x17, x19
0xfffffff009b54384: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b54388: 301ac1da  autda	x16, x17
0xfffffff009b5438c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b54390: 1002118b  add	x16, x16, x17
0xfffffff009b54394: 080240f9  ldr	x8, [x16]
0xfffffff009b54398: e90310aa  mov	x9, x16
0xfffffff009b5439c: e00313aa  mov	x0, x19
0xfffffff009b543a0: 010080d2  mov	x1, #0
0xfffffff009b543a4: f10309aa  mov	x17, x9
0xfffffff009b543a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b543ac: 11093fd7  blraa	x8, x17
0xfffffff009b543b0: f40300aa  mov	x20, x0
0xfffffff009b543b4: 700240f9  ldr	x16, [x19]
