; Candidate 5762
; ADRP+ADD at VM 0xfffffff008803328 (fileoff 0x17ff328): page=0x1fe9e6000 add_imm=0xe80

0xfffffff0088032a8: 81008052  mov	w1, #4
0xfffffff0088032ac: 49e10194  bl	#0xfffffff00887b7d0
0xfffffff0088032b0: e0060034  cbz	w0, #0xfffffff00880338c
0xfffffff0088032b4: 400a8052  mov	w0, #0x52
0xfffffff0088032b8: 58e10194  bl	#0xfffffff00887b818
0xfffffff0088032bc: f40300aa  mov	x20, x0
0xfffffff0088032c0: bbc30294  bl	#0xfffffff0088b41ac
0xfffffff0088032c4: f30300aa  mov	x19, x0
0xfffffff0088032c8: 80008052  mov	w0, #4
0xfffffff0088032cc: 61e10194  bl	#0xfffffff00887b850
0xfffffff0088032d0: f4030034  cbz	w20, #0xfffffff00880334c
0xfffffff0088032d4: e80240b9  ldr	w8, [x23]
0xfffffff0088032d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088032dc: 480a8052  mov	w8, #0x52
0xfffffff0088032e0: f32300a9  stp	x19, x8, [sp]
0xfffffff0088032e4: a050ffd0  adrp	x0, #0xfffffff007219000
0xfffffff0088032e8: 00b03491  add	x0, x0, #0xd2c
0xfffffff0088032ec: 5dd0d697  bl	#0xfffffff007db7460
0xfffffff0088032f0: 27000014  b	#0xfffffff00880338c
0xfffffff0088032f4: aec30294  bl	#0xfffffff0088b41ac
0xfffffff0088032f8: f30300aa  mov	x19, x0
0xfffffff0088032fc: 80008052  mov	w0, #4
0xfffffff008803300: 54e10194  bl	#0xfffffff00887b850
0xfffffff008803304: a850ff90  adrp	x8, #0xfffffff007217000
0xfffffff008803308: 08012191  add	x8, x8, #0x840
0xfffffff00880330c: 093d8052  mov	w9, #0x1e8
0xfffffff008803310: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008803314: a850ffd0  adrp	x8, #0xfffffff007219000
0xfffffff008803318: 08493491  add	x8, x8, #0xd12
0xfffffff00880331c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008803320: 880e8052  mov	w8, #0x74
0xfffffff008803324: f32300a9  stp	x19, x8, [sp]
0xfffffff008803328: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880332c: 00003a91  add	x0, x0, #0xe80
0xfffffff008803330: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008803334: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008803338: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff00880333c: 63fc2d91  add	x3, x3, #0xb7f
0xfffffff008803340: 02008052  mov	w2, #0
0xfffffff008803344: 7bbfec97  bl	#0xfffffff008333130
0xfffffff008803348: 11000014  b	#0xfffffff00880338c
0xfffffff00880334c: 98c30294  bl	#0xfffffff0088b41ac
0xfffffff008803350: f30300aa  mov	x19, x0
0xfffffff008803354: 80008052  mov	w0, #4
0xfffffff008803358: 3ee10194  bl	#0xfffffff00887b850
0xfffffff00880335c: e80240b9  ldr	w8, [x23]
0xfffffff008803360: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008803364: 480a8052  mov	w8, #0x52
0xfffffff008803368: f32300a9  stp	x19, x8, [sp]
0xfffffff00880336c: 204fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008803370: 00003a91  add	x0, x0, #0xe80
0xfffffff008803374: 2190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008803378: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880337c: 0352ffb0  adrp	x3, #0xfffffff007244000
0xfffffff008803380: 63ec2e91  add	x3, x3, #0xbbb
0xfffffff008803384: 02008052  mov	w2, #0
0xfffffff008803388: 6abfec97  bl	#0xfffffff008333130
0xfffffff00880338c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008803390: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008803394: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008803398: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00880339c: ffc30191  add	sp, sp, #0x70
0xfffffff0088033a0: ff0f5fd6  retab	
0xfffffff0088033a4: 7f2303d5  pacibsp	
