; Candidate 9210
; ADRP+ADD at VM 0xfffffff008a0cfbc (fileoff 0x1a08fbc): page=0x1ff04c000 add_imm=0xdd8

0xfffffff008a0cf3c: 10820691  add	x16, x16, #0x1a0
0xfffffff008a0cf40: 10420091  add	x16, x16, #0x10
0xfffffff008a0cf44: f10300aa  mov	x17, x0
0xfffffff008a0cf48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0cf4c: 300ac1da  pacda	x16, x17
0xfffffff008a0cf50: 100000f9  str	x16, [x0]
0xfffffff008a0cf54: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a0cf58: ff0f5fd6  retab	
0xfffffff008a0cf5c: 5f2403d5  bti	c
0xfffffff008a0cf60: 7b69e317  b	#0xfffffff0082e754c
0xfffffff008a0cf64: 5f2403d5  bti	c
0xfffffff008a0cf68: 7969e317  b	#0xfffffff0082e754c
0xfffffff008a0cf6c: 7f2303d5  pacibsp	
0xfffffff008a0cf70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a0cf74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a0cf78: fd430091  add	x29, sp, #0x10
0xfffffff008a0cf7c: f30300aa  mov	x19, x0
0xfffffff008a0cf80: 7369e397  bl	#0xfffffff0082e754c
0xfffffff008a0cf84: 6082ff90  adrp	x0, #0xfffffff007a58000
0xfffffff008a0cf88: 00603791  add	x0, x0, #0xdd8
0xfffffff008a0cf8c: e10313aa  mov	x1, x19
0xfffffff008a0cf90: 02038052  mov	w2, #0x18
0xfffffff008a0cf94: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a0cf98: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a0cf9c: ff2303d5  autibsp	
0xfffffff008a0cfa0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a0cfa4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a0cfac
0xfffffff008a0cfa8: 208e38d4  brk	#0xc471
0xfffffff008a0cfac: bc69e317  b	#0xfffffff0082e769c
0xfffffff008a0cfb0: 5f2403d5  bti	c
0xfffffff008a0cfb4: e20301aa  mov	x2, x1
0xfffffff008a0cfb8: e10300aa  mov	x1, x0
0xfffffff008a0cfbc: 6082ff90  adrp	x0, #0xfffffff007a58000
0xfffffff008a0cfc0: 00603791  add	x0, x0, #0xdd8
0xfffffff008a0cfc4: b669e317  b	#0xfffffff0082e769c
0xfffffff008a0cfc8: 5f2403d5  bti	c
0xfffffff008a0cfcc: 80c600d0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a0cfd0: 00a02391  add	x0, x0, #0x8e8
0xfffffff008a0cfd4: c0035fd6  ret	
0xfffffff008a0cfd8: 7f2303d5  pacibsp	
0xfffffff008a0cfdc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a0cfe0: fd030091  mov	x29, sp
0xfffffff008a0cfe4: 6144fff0  adrp	x1, #0xfffffff00729b000
0xfffffff008a0cfe8: 21600f91  add	x1, x1, #0x3d8
0xfffffff008a0cfec: e281fff0  adrp	x2, #0xfffffff007a4b000
0xfffffff008a0cff0: 422446f9  ldr	x2, [x2, #0xc48]
0xfffffff008a0cff4: 03038052  mov	w3, #0x18
0xfffffff008a0cff8: d05ae397  bl	#0xfffffff0082e3b38
0xfffffff008a0cffc: 3082ff90  adrp	x16, #0xfffffff007a50000
0xfffffff008a0d000: 10c20891  add	x16, x16, #0x230
0xfffffff008a0d004: 10420091  add	x16, x16, #0x10
0xfffffff008a0d008: f10300aa  mov	x17, x0
0xfffffff008a0d00c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d010: 300ac1da  pacda	x16, x17
0xfffffff008a0d014: 100000f9  str	x16, [x0]
0xfffffff008a0d018: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a0d01c: ff0f5fd6  retab	
0xfffffff008a0d020: 7f2303d5  pacibsp	
0xfffffff008a0d024: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a0d028: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a0d02c: fd430091  add	x29, sp, #0x10
0xfffffff008a0d030: 4082fff0  adrp	x0, #0xfffffff007a58000
0xfffffff008a0d034: 00603791  add	x0, x0, #0xdd8
0xfffffff008a0d038: 01038052  mov	w1, #0x18
