; Candidate 1197
; ADRP+ADD at VM 0xfffffff00829447c (fileoff 0x129047c): page=0x1f21000 add_imm=0xe98

0xfffffff0082943fc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008294404
0xfffffff008294400: 208e38d4  brk	#0xc471
0xfffffff008294404: fb190014  b	#0xfffffff00829abf0
0xfffffff008294408: e10313aa  mov	x1, x19
0xfffffff00829440c: e20315aa  mov	x2, x21
0xfffffff008294410: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008294414: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008294418: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00829441c: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff008294420: ff2303d5  autibsp	
0xfffffff008294424: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008294428: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008294430
0xfffffff00829442c: 208e38d4  brk	#0xc471
0xfffffff008294430: 041a0014  b	#0xfffffff00829ac40
0xfffffff008294434: 7f2303d5  pacibsp	
0xfffffff008294438: ffc300d1  sub	sp, sp, #0x30
0xfffffff00829443c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008294440: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008294444: fd830091  add	x29, sp, #0x20
0xfffffff008294448: ff0700f9  str	xzr, [sp, #8]
0xfffffff00829444c: 00f900b0  adrp	x0, #0xfffffff00a1b5000
0xfffffff008294450: 00201091  add	x0, x0, #0x408
0xfffffff008294454: 41000094  bl	#0xfffffff008294558
0xfffffff008294458: 00f900f0  adrp	x0, #0xfffffff00a1b7000
0xfffffff00829445c: 00601391  add	x0, x0, #0x4d8
0xfffffff008294460: 3e000094  bl	#0xfffffff008294558
0xfffffff008294464: 00f900f0  adrp	x0, #0xfffffff00a1b7000
0xfffffff008294468: 00c03b91  add	x0, x0, #0xef0
0xfffffff00829446c: 3b000094  bl	#0xfffffff008294558
0xfffffff008294470: 00f900d0  adrp	x0, #0xfffffff00a1b6000
0xfffffff008294474: 00c02291  add	x0, x0, #0x8b0
0xfffffff008294478: 38000094  bl	#0xfffffff008294558
0xfffffff00829447c: 00f900b0  adrp	x0, #0xfffffff00a1b5000
0xfffffff008294480: 00603a91  add	x0, x0, #0xe98
0xfffffff008294484: 35000094  bl	#0xfffffff008294558
0xfffffff008294488: 08f900b0  adrp	x8, #0xfffffff00a1b5000
0xfffffff00829448c: 13b941f9  ldr	x19, [x8, #0x370]
0xfffffff008294490: b30300b5  cbnz	x19, #0xfffffff008294504
0xfffffff008294494: 10000090  adrp	x16, #0xfffffff008294000
0xfffffff008294498: 10e21891  add	x16, x16, #0x638
0xfffffff00829449c: f1a09ad2  mov	x17, #0xd507
0xfffffff0082944a0: 3002c1da  pacia	x16, x17
0xfffffff0082944a4: e00310aa  mov	x0, x16
0xfffffff0082944a8: e2230091  add	x2, sp, #8
0xfffffff0082944ac: 010080d2  mov	x1, #0
0xfffffff0082944b0: c656ed97  bl	#0xfffffff007de9fc8
0xfffffff0082944b4: 60040035  cbnz	w0, #0xfffffff008294540
0xfffffff0082944b8: e00740f9  ldr	x0, [sp, #8]
0xfffffff0082944bc: e00000b4  cbz	x0, #0xfffffff0082944d8
0xfffffff0082944c0: 08400691  add	x8, x0, #0x190
0xfffffff0082944c4: 09008012  mov	w9, #-1
0xfffffff0082944c8: 090169b8  ldaddl	w9, w9, [x8]
0xfffffff0082944cc: e9020034  cbz	w9, #0xfffffff008294528
0xfffffff0082944d0: 3f050071  cmp	w9, #1
0xfffffff0082944d4: e0020054  b.eq	#0xfffffff008294530
0xfffffff0082944d8: 88fd00f0  adrp	x8, #0xfffffff00a247000
0xfffffff0082944dc: 29008052  mov	w9, #1
0xfffffff0082944e0: 09a11f39  strb	w9, [x8, #0x7e8]
0xfffffff0082944e4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0082944e8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0082944ec: ffc30091  add	sp, sp, #0x30
0xfffffff0082944f0: ff0f5fd6  retab	
0xfffffff0082944f4: 08010032  orr	w8, w8, #1
0xfffffff0082944f8: 682600b9  str	w8, [x19, #0x24]
