; Candidate 10018
; ADRP+ADD at VM 0xfffffff008c74358 (fileoff 0x1c70358): page=0x1671000 add_imm=0xe58

0xfffffff008c742d8: f00308aa  mov	x16, x8
0xfffffff008c742dc: e00314aa  mov	x0, x20
0xfffffff008c742e0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008c742e4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008c742e8: ff2303d5  autibsp	
0xfffffff008c742ec: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008c742f0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008c742f8
0xfffffff008c742f4: 208e38d4  brk	#0xc471
0xfffffff008c742f8: f10301aa  mov	x17, x1
0xfffffff008c742fc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008c74300: 110a1fd7  braa	x16, x17
0xfffffff008c74304: 7f2303d5  pacibsp	
0xfffffff008c74308: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c7430c: fd030091  mov	x29, sp
0xfffffff008c74310: 80b300b0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c74314: 00603991  add	x0, x0, #0xe58
0xfffffff008c74318: a136ff90  adrp	x1, #0xfffffff007348000
0xfffffff008c7431c: 21ac2f91  add	x1, x1, #0xbeb
0xfffffff008c74320: 6271fff0  adrp	x2, #0xfffffff007aa3000
0xfffffff008c74324: 42a445f9  ldr	x2, [x2, #0xb48]
0xfffffff008c74328: 03538052  mov	w3, #0x298
0xfffffff008c7432c: 03bed997  bl	#0xfffffff0082e3b38
0xfffffff008c74330: 9071ffd0  adrp	x16, #0xfffffff007aa6000
0xfffffff008c74334: 10e21791  add	x16, x16, #0x5f8
0xfffffff008c74338: 10420091  add	x16, x16, #0x10
0xfffffff008c7433c: f10300aa  mov	x17, x0
0xfffffff008c74340: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c74344: 300ac1da  pacda	x16, x17
0xfffffff008c74348: 100000f9  str	x16, [x0]
0xfffffff008c7434c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008c74350: ff0f5fd6  retab	
0xfffffff008c74354: 5f2403d5  bti	c
0xfffffff008c74358: 80b300b0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c7435c: 00603991  add	x0, x0, #0xe58
0xfffffff008c74360: e5c0d917  b	#0xfffffff0082e46f4
0xfffffff008c74364: 7f2303d5  pacibsp	
0xfffffff008c74368: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c7436c: fd030091  mov	x29, sp
0xfffffff008c74370: a136ffb0  adrp	x1, #0xfffffff007349000
0xfffffff008c74374: 21b83e91  add	x1, x1, #0xfae
0xfffffff008c74378: 6271fff0  adrp	x2, #0xfffffff007aa3000
0xfffffff008c7437c: 42b045f9  ldr	x2, [x2, #0xb60]
0xfffffff008c74380: 033a8052  mov	w3, #0x1d0
0xfffffff008c74384: edbdd997  bl	#0xfffffff0082e3b38
0xfffffff008c74388: 9071ffd0  adrp	x16, #0xfffffff007aa6000
0xfffffff008c7438c: 10c23891  add	x16, x16, #0xe30
0xfffffff008c74390: 10420091  add	x16, x16, #0x10
0xfffffff008c74394: f10300aa  mov	x17, x0
0xfffffff008c74398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7439c: 300ac1da  pacda	x16, x17
0xfffffff008c743a0: 100000f9  str	x16, [x0]
0xfffffff008c743a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008c743a8: ff0f5fd6  retab	
0xfffffff008c743ac: 5f2403d5  bti	c
0xfffffff008c743b0: d1c0d917  b	#0xfffffff0082e46f4
0xfffffff008c743b4: 7f2303d5  pacibsp	
0xfffffff008c743b8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c743bc: fd030091  mov	x29, sp
0xfffffff008c743c0: fa8ffe97  bl	#0xfffffff008c183a8
0xfffffff008c743c4: 9071ffd0  adrp	x16, #0xfffffff007aa6000
0xfffffff008c743c8: 10421c91  add	x16, x16, #0x710
0xfffffff008c743cc: 10420091  add	x16, x16, #0x10
0xfffffff008c743d0: f10300aa  mov	x17, x0
0xfffffff008c743d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
