; Candidate 4115
; ADRP+ADD at VM 0xfffffff00879289c (fileoff 0x178e89c): page=0x1ff273000 add_imm=0xce8

0xfffffff00879281c: 08410591  add	x8, x8, #0x150
0xfffffff008792820: e80300f9  str	x8, [sp]
0xfffffff008792824: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792828: 00403691  add	x0, x0, #0xd90
0xfffffff00879282c: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792830: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792834: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792838: 631c3291  add	x3, x3, #0xc87
0xfffffff00879283c: 02008052  mov	w2, #0
0xfffffff008792840: 3c82ee97  bl	#0xfffffff008333130
0xfffffff008792844: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff008792848: d6268052  mov	w22, #0x136
0xfffffff00879284c: 80228052  mov	w0, #0x114
0xfffffff008792850: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008792854: 020080d2  mov	x2, #0
0xfffffff008792858: 030080d2  mov	x3, #0
0xfffffff00879285c: c4268052  mov	w4, #0x136
0xfffffff008792860: 050080d2  mov	x5, #0
0xfffffff008792864: a8ade797  bl	#0xfffffff00817df04
0xfffffff008792868: b4000014  b	#0xfffffff008792b38
0xfffffff00879286c: 9f2403d5  bti	j
0xfffffff008792870: 8093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff008792874: 00a03291  add	x0, x0, #0xca8
0xfffffff008792878: 1f0fef97  bl	#0xfffffff0083564f4
0xfffffff00879287c: 62926ab9  ldr	w2, [x19, #0x2a90]
0xfffffff008792880: 886e4039  ldrb	w8, [x20, #0x1b]
0xfffffff008792884: 1f010071  cmp	w8, #0
0xfffffff008792888: e3079f1a  cset	w3, ne
0xfffffff00879288c: e10313aa  mov	x1, x19
0xfffffff008792890: a583fd97  bl	#0xfffffff0086f3724
0xfffffff008792894: 15000014  b	#0xfffffff0087928e8
0xfffffff008792898: 9f2403d5  bti	j
0xfffffff00879289c: 8093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff0087928a0: 00a03391  add	x0, x0, #0xce8
0xfffffff0087928a4: 140fef97  bl	#0xfffffff0083564f4
0xfffffff0087928a8: 62926ab9  ldr	w2, [x19, #0x2a90]
0xfffffff0087928ac: 886e4039  ldrb	w8, [x20, #0x1b]
0xfffffff0087928b0: 1f010071  cmp	w8, #0
0xfffffff0087928b4: e3079f1a  cset	w3, ne
0xfffffff0087928b8: e10313aa  mov	x1, x19
0xfffffff0087928bc: 638ffd97  bl	#0xfffffff0086f6648
0xfffffff0087928c0: 0a000014  b	#0xfffffff0087928e8
0xfffffff0087928c4: 8093fff0  adrp	x0, #0xfffffff007a05000
0xfffffff0087928c8: 00a03091  add	x0, x0, #0xc28
0xfffffff0087928cc: 0a0fef97  bl	#0xfffffff0083564f4
0xfffffff0087928d0: 62926ab9  ldr	w2, [x19, #0x2a90]
0xfffffff0087928d4: 886e4039  ldrb	w8, [x20, #0x1b]
0xfffffff0087928d8: 1f010071  cmp	w8, #0
0xfffffff0087928dc: e3079f1a  cset	w3, ne
0xfffffff0087928e0: e10313aa  mov	x1, x19
0xfffffff0087928e4: b2eafd97  bl	#0xfffffff00870d3ac
0xfffffff0087928e8: 60be01f9  str	x0, [x19, #0x378]
0xfffffff0087928ec: 000300b4  cbz	x0, #0xfffffff00879294c
0xfffffff0087928f0: 100040f9  ldr	x16, [x0]
0xfffffff0087928f4: f10300aa  mov	x17, x0
0xfffffff0087928f8: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087928fc: 301ac1da  autda	x16, x17
0xfffffff008792900: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008792904: e90310aa  mov	x9, x16
0xfffffff008792908: f10309aa  mov	x17, x9
0xfffffff00879290c: 1105eff2  movk	x17, #0x7828, lsl #48
0xfffffff008792910: 11093fd7  blraa	x8, x17
0xfffffff008792914: 60040034  cbz	w0, #0xfffffff0087929a0
0xfffffff008792918: 484effb0  adrp	x8, #0xfffffff00715b000
