; Candidate 12370
; ADRP+ADD at VM 0xfffffff00909028c (fileoff 0x208c28c): page=0x1fe3c9000 add_imm=0xe24

0xfffffff00909020c: e102138b  add	x1, x23, x19
0xfffffff009090210: 820240b9  ldr	w2, [x20]
0xfffffff009090214: e0031baa  mov	x0, x27
0xfffffff009090218: def1b297  bl	#0xfffffff007d4c990
0xfffffff00909021c: 880240b9  ldr	w8, [x20]
0xfffffff009090220: 7302088b  add	x19, x19, x8
0xfffffff009090224: 9c630091  add	x28, x28, #0x18
0xfffffff009090228: 5f031ceb  cmp	x26, x28
0xfffffff00909022c: 41faff54  b.ne	#0xfffffff009090174
0xfffffff009090230: 751efff0  adrp	x21, #0xfffffff00745f000
0xfffffff009090234: b5f61e91  add	x21, x21, #0x7bd
0xfffffff009090238: 781effb0  adrp	x24, #0xfffffff00745d000
0xfffffff00909023c: 18433c91  add	x24, x24, #0xf10
0xfffffff009090240: fc9300f0  adrp	x28, #0xfffffff00a30f000
0xfffffff009090244: fad343a9  ldp	x26, x20, [sp, #0x38]
0xfffffff009090248: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff00909024c: 03000014  b	#0xfffffff009090258
0xfffffff009090250: 09008052  mov	w9, #0
0xfffffff009090254: 190080d2  mov	x25, #0
0xfffffff009090258: 1b008052  mov	w27, #0
0xfffffff00909025c: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff009090260: 190100f9  str	x25, [x8]
0xfffffff009090264: 490300b9  str	w9, [x26]
0xfffffff009090268: 48018052  mov	w8, #0xa
0xfffffff00909026c: 930200f9  str	x19, [x20]
0xfffffff009090270: 89434c39  ldrb	w9, [x28, #0x310]
0xfffffff009090274: 1f01096b  cmp	w8, w9
0xfffffff009090278: 03010054  b.lo	#0xfffffff009090298
0xfffffff00909027c: e8031baa  mov	x8, x27
0xfffffff009090280: 087d4093  sxtw	x8, w8
0xfffffff009090284: f85700a9  stp	x24, x21, [sp]
0xfffffff009090288: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909028c: 401effb0  adrp	x0, #0xfffffff007459000
0xfffffff009090290: 00903891  add	x0, x0, #0xe24
0xfffffff009090294: 631bcb97  bl	#0xfffffff008357020
0xfffffff009090298: e0031baa  mov	x0, x27
0xfffffff00909029c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090902a0: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090902a4: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090902a8: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090902ac: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090902b0: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0090902b4: ffc30291  add	sp, sp, #0xb0
0xfffffff0090902b8: ff0f5fd6  retab	
0xfffffff0090902bc: e8188052  mov	w8, #0xc7
0xfffffff0090902c0: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090902c4: 481effb0  adrp	x8, #0xfffffff007459000
0xfffffff0090902c8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090902cc: 691efff0  adrp	x9, #0xfffffff00745f000
0xfffffff0090902d0: 29c52191  add	x9, x9, #0x871
0xfffffff0090902d4: 0e000014  b	#0xfffffff00909030c
0xfffffff0090902d8: 48198052  mov	w8, #0xca
0xfffffff0090902dc: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090902e0: 481effb0  adrp	x8, #0xfffffff007459000
0xfffffff0090902e4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090902e8: 691efff0  adrp	x9, #0xfffffff00745f000
0xfffffff0090902ec: 29152091  add	x9, x9, #0x805
0xfffffff0090902f0: 07000014  b	#0xfffffff00909030c
0xfffffff0090902f4: c8198052  mov	w8, #0xce
0xfffffff0090902f8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090902fc: 481effb0  adrp	x8, #0xfffffff007459000
0xfffffff009090300: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009090304: 691efff0  adrp	x9, #0xfffffff00745f000
0xfffffff009090308: 29cd2291  add	x9, x9, #0x8b3
