; Candidate 15973
; ADRP+ADD at VM 0xfffffff009df3380 (fileoff 0x2def380): page=0x5cb000 add_imm=0xe98

0xfffffff009df3300: 33a2ff97  bl	#0xfffffff009ddbbcc
0xfffffff009df3304: e00313aa  mov	x0, x19
0xfffffff009df3308: 29089797  bl	#0xfffffff0083b53ac
0xfffffff009df330c: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff009df3310: 5b99ff97  bl	#0xfffffff009dd987c
0xfffffff009df3314: 00008052  mov	w0, #0
0xfffffff009df3318: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009df331c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009df3320: ff0f5fd6  retab	
0xfffffff009df3324: 5f2403d5  bti	c
0xfffffff009df3328: f3c49317  b	#0xfffffff0082e46f4
0xfffffff009df332c: 7f2303d5  pacibsp	
0xfffffff009df3330: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df3334: fd030091  mov	x29, sp
0xfffffff009df3338: 402e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df333c: 00603a91  add	x0, x0, #0xe98
0xfffffff009df3340: 61c5fef0  adrp	x1, #0xfffffff0076a2000
0xfffffff009df3344: 21101d91  add	x1, x1, #0x744
0xfffffff009df3348: 42f9fed0  adrp	x2, #0xfffffff007d1d000
0xfffffff009df334c: 424043f9  ldr	x2, [x2, #0x680]
0xfffffff009df3350: 030a8052  mov	w3, #0x50
0xfffffff009df3354: f9c19397  bl	#0xfffffff0082e3b38
0xfffffff009df3358: 90f9fef0  adrp	x16, #0xfffffff007d26000
0xfffffff009df335c: 10622691  add	x16, x16, #0x998
0xfffffff009df3360: 10420091  add	x16, x16, #0x10
0xfffffff009df3364: f10300aa  mov	x17, x0
0xfffffff009df3368: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df336c: 300ac1da  pacda	x16, x17
0xfffffff009df3370: 100000f9  str	x16, [x0]
0xfffffff009df3374: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df3378: ff0f5fd6  retab	
0xfffffff009df337c: 5f2403d5  bti	c
0xfffffff009df3380: 402e00f0  adrp	x0, #0xfffffff00a3be000
0xfffffff009df3384: 00603a91  add	x0, x0, #0xe98
0xfffffff009df3388: dbc49317  b	#0xfffffff0082e46f4
0xfffffff009df338c: 7f2303d5  pacibsp	
0xfffffff009df3390: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df3394: fd030091  mov	x29, sp
0xfffffff009df3398: 61c5fef0  adrp	x1, #0xfffffff0076a2000
0xfffffff009df339c: 21381e91  add	x1, x1, #0x78e
0xfffffff009df33a0: 422e00f0  adrp	x2, #0xfffffff00a3be000
0xfffffff009df33a4: 42e03091  add	x2, x2, #0xc38
0xfffffff009df33a8: 03248052  mov	w3, #0x120
0xfffffff009df33ac: e3c19397  bl	#0xfffffff0082e3b38
0xfffffff009df33b0: 90f9fef0  adrp	x16, #0xfffffff007d26000
0xfffffff009df33b4: 10422d91  add	x16, x16, #0xb50
0xfffffff009df33b8: 10420091  add	x16, x16, #0x10
0xfffffff009df33bc: f10300aa  mov	x17, x0
0xfffffff009df33c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df33c4: 300ac1da  pacda	x16, x17
0xfffffff009df33c8: 100000f9  str	x16, [x0]
0xfffffff009df33cc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df33d0: ff0f5fd6  retab	
0xfffffff009df33d4: 5f2403d5  bti	c
0xfffffff009df33d8: c7c49317  b	#0xfffffff0082e46f4
0xfffffff009df33dc: 7f2303d5  pacibsp	
0xfffffff009df33e0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009df33e4: fd030091  mov	x29, sp
0xfffffff009df33e8: ebb6ff97  bl	#0xfffffff009de0f94
0xfffffff009df33ec: 90f9fef0  adrp	x16, #0xfffffff007d26000
0xfffffff009df33f0: 10c22891  add	x16, x16, #0xa30
0xfffffff009df33f4: 10420091  add	x16, x16, #0x10
0xfffffff009df33f8: f10300aa  mov	x17, x0
0xfffffff009df33fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
