; Candidate 12501
; ADRP+ADD at VM 0xfffffff0090aa36c (fileoff 0x20a636c): page=0x1fe3af000 add_imm=0xe24

0xfffffff0090aa2ec: 39c30191  add	x25, x25, #0x70
0xfffffff0090aa2f0: 2901198b  add	x9, x9, x25
0xfffffff0090aa2f4: 3f010aeb  cmp	x9, x10
0xfffffff0090aa2f8: 83f6ff54  b.lo	#0xfffffff0090aa1c8
0xfffffff0090aa2fc: 18008052  mov	w24, #0
0xfffffff0090aa300: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0090aa304: 680200f9  str	x8, [x19]
0xfffffff0090aa308: 48018052  mov	w8, #0xa
0xfffffff0090aa30c: 971dfff0  adrp	x23, #0xfffffff00745d000
0xfffffff0090aa310: f7423c91  add	x23, x23, #0xf10
0xfffffff0090aa314: 349300b0  adrp	x20, #0xfffffff00a30f000
0xfffffff0090aa318: 94420c91  add	x20, x20, #0x310
0xfffffff0090aa31c: 89024039  ldrb	w9, [x20]
0xfffffff0090aa320: 137f4093  sxtw	x19, w24
0xfffffff0090aa324: 1f01096b  cmp	w8, w9
0xfffffff0090aa328: 03010054  b.lo	#0xfffffff0090aa348
0xfffffff0090aa32c: c81dffd0  adrp	x8, #0xfffffff007464000
0xfffffff0090aa330: 08412b91  add	x8, x8, #0xad0
0xfffffff0090aa334: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0090aa338: f70300f9  str	x23, [sp]
0xfffffff0090aa33c: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aa340: 00903891  add	x0, x0, #0xe24
0xfffffff0090aa344: 37b3ca97  bl	#0xfffffff008357020
0xfffffff0090aa348: 130e0035  cbnz	w19, #0xfffffff0090aa508
0xfffffff0090aa34c: 48018052  mov	w8, #0xa
0xfffffff0090aa350: 89024039  ldrb	w9, [x20]
0xfffffff0090aa354: 1f01096b  cmp	w8, w9
0xfffffff0090aa358: 03010054  b.lo	#0xfffffff0090aa378
0xfffffff0090aa35c: c81dffd0  adrp	x8, #0xfffffff007464000
0xfffffff0090aa360: 08151891  add	x8, x8, #0x605
0xfffffff0090aa364: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff0090aa368: f70300f9  str	x23, [sp]
0xfffffff0090aa36c: 601dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090aa370: 00903891  add	x0, x0, #0xe24
0xfffffff0090aa374: 2bb3ca97  bl	#0xfffffff008357020
0xfffffff0090aa378: e00313aa  mov	x0, x19
0xfffffff0090aa37c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0090aa380: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0090aa384: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0090aa388: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0090aa38c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0090aa390: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0090aa394: ffc30291  add	sp, sp, #0xb0
0xfffffff0090aa398: ff0f5fd6  retab	
0xfffffff0090aa39c: 68268052  mov	w8, #0x133
0xfffffff0090aa3a0: c91dffd0  adrp	x9, #0xfffffff007464000
0xfffffff0090aa3a4: 29b51691  add	x9, x9, #0x5ad
0xfffffff0090aa3a8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090aa3ac: 681dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aa3b0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aa3b4: ca1dffd0  adrp	x10, #0xfffffff007464000
0xfffffff0090aa3b8: 4ae52b91  add	x10, x10, #0xaf9
0xfffffff0090aa3bc: 12000014  b	#0xfffffff0090aa404
0xfffffff0090aa3c0: 88268052  mov	w8, #0x134
0xfffffff0090aa3c4: c91dffd0  adrp	x9, #0xfffffff007464000
0xfffffff0090aa3c8: 29b51691  add	x9, x9, #0x5ad
0xfffffff0090aa3cc: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090aa3d0: 681dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090aa3d4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090aa3d8: ca1dffd0  adrp	x10, #0xfffffff007464000
0xfffffff0090aa3dc: 4a3d2c91  add	x10, x10, #0xb0f
0xfffffff0090aa3e0: 09000014  b	#0xfffffff0090aa404
0xfffffff0090aa3e4: a8268052  mov	w8, #0x135
0xfffffff0090aa3e8: c91dffd0  adrp	x9, #0xfffffff007464000
