; Candidate 16082
; ADRP+ADD at VM 0xfffffff009e1402c (fileoff 0x2e1002c): page=0x1fd88f000 add_imm=0xe00

0xfffffff009e13fac: e81300fd  str	d8, [sp, #0x20]
0xfffffff009e13fb0: 100000b0  adrp	x16, #0xfffffff009e14000
0xfffffff009e13fb4: 10f20691  add	x16, x16, #0x1bc
0xfffffff009e13fb8: 1003c1da  pacia	x16, x24
0xfffffff009e13fbc: f01700f9  str	x16, [sp, #0x28]
0xfffffff009e13fc0: b0f8fef0  adrp	x16, #0xfffffff007d2a000
0xfffffff009e13fc4: 10021b91  add	x16, x16, #0x6c0
0xfffffff009e13fc8: f10319aa  mov	x17, x25
0xfffffff009e13fcc: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009e13fd0: 300ac1da  pacda	x16, x17
0xfffffff009e13fd4: f04f03a9  stp	x16, x19, [sp, #0x30]
0xfffffff009e13fd8: fb2300f9  str	x27, [sp, #0x40]
0xfffffff009e13fdc: e1830791  add	x1, sp, #0x1e0
0xfffffff009e13fe0: e00315aa  mov	x0, x21
0xfffffff009e13fe4: 02338052  mov	w2, #0x198
0xfffffff009e13fe8: 6ae27c97  bl	#0xfffffff007d4c990
0xfffffff009e13fec: e1630091  add	x1, sp, #0x18
0xfffffff009e13ff0: e0031caa  mov	x0, x28
0xfffffff009e13ff4: 7b000094  bl	#0xfffffff009e141e0
0xfffffff009e13ff8: 601340f9  ldr	x0, [x27, #0x20]
0xfffffff009e13ffc: 61030094  bl	#0xfffffff009e14d80
0xfffffff009e14000: 7f1300f9  str	xzr, [x27, #0x20]
0xfffffff009e14004: e0031aaa  mov	x0, x26
0xfffffff009e14008: e1031baa  mov	x1, x27
0xfffffff009e1400c: c0099597  bl	#0xfffffff00835670c
0xfffffff009e14010: c9ffff17  b	#0xfffffff009e13f34
0xfffffff009e14014: e0830791  add	x0, sp, #0x1e0
0xfffffff009e14018: f8040094  bl	#0xfffffff009e153f8
0xfffffff009e1401c: 0c000014  b	#0xfffffff009e1404c
0xfffffff009e14020: 28d0fed0  adrp	x8, #0xfffffff00781a000
0xfffffff009e14024: 08791691  add	x8, x8, #0x59e
0xfffffff009e14028: e80300a9  stp	x8, x0, [sp]
0xfffffff009e1402c: 60c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e14030: 00003891  add	x0, x0, #0xe00
0xfffffff009e14034: a1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e14038: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1403c: 63d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e14040: 63bc0391  add	x3, x3, #0xef
0xfffffff009e14044: 02028052  mov	w2, #0x10
0xfffffff009e14048: 3a7c9497  bl	#0xfffffff008333130
0xfffffff009e1404c: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff009e14050: a9f8feb0  adrp	x9, #0xfffffff007d29000
0xfffffff009e14054: 296544f9  ldr	x9, [x9, #0x8c8]
0xfffffff009e14058: 290140f9  ldr	x9, [x9]
0xfffffff009e1405c: 3f0108eb  cmp	x9, x8
0xfffffff009e14060: 41010054  b.ne	#0xfffffff009e14088
0xfffffff009e14064: ff430e91  add	sp, sp, #0x390
0xfffffff009e14068: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009e1406c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009e14070: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009e14074: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009e14078: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009e1407c: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff009e14080: e923c76c  ldp	d9, d8, [sp], #0x70
0xfffffff009e14084: ff0f5fd6  retab	
0xfffffff009e14088: 71277d97  bl	#0xfffffff007d5de4c
0xfffffff009e1408c: 7f2303d5  pacibsp	
0xfffffff009e14090: ff4301d1  sub	sp, sp, #0x50
0xfffffff009e14094: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009e14098: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009e1409c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009e140a0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009e140a4: fd030191  add	x29, sp, #0x40
0xfffffff009e140a8: f60302aa  mov	x22, x2
