; Candidate 12648
; ADRP+ADD at VM 0xfffffff0090e52b0 (fileoff 0x20e12b0): page=0x1fe38a000 add_imm=0xe86

0xfffffff0090e5230: 88041036  tbz	w8, #2, #0xfffffff0090e52c0
0xfffffff0090e5234: 5d260094  bl	#0xfffffff0090eeba8
0xfffffff0090e5238: f40300aa  mov	x20, x0
0xfffffff0090e523c: 361cfff0  adrp	x22, #0xfffffff00746c000
0xfffffff0090e5240: d6862c91  add	x22, x22, #0xb21
0xfffffff0090e5244: 371cfff0  adrp	x23, #0xfffffff00746c000
0xfffffff0090e5248: f7522c91  add	x23, x23, #0xb14
0xfffffff0090e524c: a80240f9  ldr	x8, [x21]
0xfffffff0090e5250: 1f0100f1  cmp	x8, #0
0xfffffff0090e5254: f802969a  csel	x24, x23, x22, eq
0xfffffff0090e5258: 481cff90  adrp	x8, #0xfffffff00746d000
0xfffffff0090e525c: 084d0b91  add	x8, x8, #0x2d3
0xfffffff0090e5260: f902889a  csel	x25, x23, x8, eq
0xfffffff0090e5264: 8f6ec397  bl	#0xfffffff0081c0ca0
0xfffffff0090e5268: a80240f9  ldr	x8, [x21]
0xfffffff0090e526c: 1f0100f1  cmp	x8, #0
0xfffffff0090e5270: e802969a  csel	x8, x23, x22, eq
0xfffffff0090e5274: f3a306a9  stp	x19, x8, [sp, #0x68]
0xfffffff0090e5278: e8030291  add	x8, sp, #0x80
0xfffffff0090e527c: e0a305a9  stp	x0, x8, [sp, #0x58]
0xfffffff0090e5280: f8e704a9  stp	x24, x25, [sp, #0x48]
0xfffffff0090e5284: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5288: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e528c: c9b58352  mov	w9, #0x1dae
0xfffffff0090e5290: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0090e5294: f7a702a9  stp	x23, x9, [sp, #0x28]
0xfffffff0090e5298: f7df01a9  stp	x23, x23, [sp, #0x18]
0xfffffff0090e529c: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e52a0: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e52a4: 291cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e52a8: 29dd2b91  add	x9, x9, #0xaf7
0xfffffff0090e52ac: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff0090e52b0: 401cffd0  adrp	x0, #0xfffffff00746f000
0xfffffff0090e52b4: 00183a91  add	x0, x0, #0xe86
0xfffffff0090e52b8: e90300f9  str	x9, [sp]
0xfffffff0090e52bc: 59c7c997  bl	#0xfffffff008357020
0xfffffff0090e52c0: 01008012  mov	w1, #-1
0xfffffff0090e52c4: caffff17  b	#0xfffffff0090e51ec
0xfffffff0090e52c8: e1e2b197  bl	#0xfffffff007d5de4c
0xfffffff0090e52cc: 7f2303d5  pacibsp	
0xfffffff0090e52d0: ff8304d1  sub	sp, sp, #0x120
0xfffffff0090e52d4: fc6f0ca9  stp	x28, x27, [sp, #0xc0]
0xfffffff0090e52d8: fa670da9  stp	x26, x25, [sp, #0xd0]
0xfffffff0090e52dc: f85f0ea9  stp	x24, x23, [sp, #0xe0]
0xfffffff0090e52e0: f6570fa9  stp	x22, x21, [sp, #0xf0]
0xfffffff0090e52e4: f44f10a9  stp	x20, x19, [sp, #0x100]
0xfffffff0090e52e8: fd7b11a9  stp	x29, x30, [sp, #0x110]
0xfffffff0090e52ec: fd430491  add	x29, sp, #0x110
0xfffffff0090e52f0: f40300aa  mov	x20, x0
0xfffffff0090e52f4: 4853ffb0  adrp	x8, #0xfffffff007b4e000
0xfffffff0090e52f8: 081d46f9  ldr	x8, [x8, #0xc38]
0xfffffff0090e52fc: 080140f9  ldr	x8, [x8]
0xfffffff0090e5300: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff0090e5304: f1a0ff97  bl	#0xfffffff0090cd6c8
0xfffffff0090e5308: f30300aa  mov	x19, x0
0xfffffff0090e530c: 08280051  sub	w8, w0, #0xa
0xfffffff0090e5310: 89fe9f52  mov	w9, #0xfff4
0xfffffff0090e5314: e9ffaf72  movk	w9, #0x7fff, lsl #16
0xfffffff0090e5318: 1f01096b  cmp	w8, w9
0xfffffff0090e531c: a8000054  b.hi	#0xfffffff0090e5330
0xfffffff0090e5320: 00008052  mov	w0, #0
0xfffffff0090e5324: e803134b  neg	w8, w19
0xfffffff0090e5328: 880200b9  str	w8, [x20]
0xfffffff0090e532c: 2e000014  b	#0xfffffff0090e53e4
