; Candidate 9228
; ADRP+ADD at VM 0xfffffff008a0fd60 (fileoff 0x1a0bd60): page=0x1fe88a000 add_imm=0xe40

0xfffffff008a0fce0: 40000054  b.eq	#0xfffffff008a0fce8
0xfffffff008a0fce4: 408e38d4  brk	#0xc472
0xfffffff008a0fce8: 08022a91  add	x8, x16, #0xa80
0xfffffff008a0fcec: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a0fcf0: e00313aa  mov	x0, x19
0xfffffff008a0fcf4: f10308aa  mov	x17, x8
0xfffffff008a0fcf8: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a0fcfc: 31093fd7  blraa	x9, x17
0xfffffff008a0fd00: f50300aa  mov	x21, x0
0xfffffff008a0fd04: 700240f9  ldr	x16, [x19]
0xfffffff008a0fd08: f10313aa  mov	x17, x19
0xfffffff008a0fd0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0fd10: 301ac1da  autda	x16, x17
0xfffffff008a0fd14: f10310aa  mov	x17, x16
0xfffffff008a0fd18: f147c1da  xpacd	x17
0xfffffff008a0fd1c: 1f0211eb  cmp	x16, x17
0xfffffff008a0fd20: 40000054  b.eq	#0xfffffff008a0fd28
0xfffffff008a0fd24: 408e38d4  brk	#0xc472
0xfffffff008a0fd28: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a0fd2c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a0fd30: e00313aa  mov	x0, x19
0xfffffff008a0fd34: 010080d2  mov	x1, #0
0xfffffff008a0fd38: f10308aa  mov	x17, x8
0xfffffff008a0fd3c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a0fd40: 31093fd7  blraa	x9, x17
0xfffffff008a0fd44: f60314aa  mov	x22, x20
0xfffffff008a0fd48: 77128052  mov	w23, #0x93
0xfffffff008a0fd4c: 7844ff90  adrp	x24, #0xfffffff00729b000
0xfffffff008a0fd50: 180f2091  add	x24, x24, #0x803
0xfffffff008a0fd54: f7db01a9  stp	x23, x22, [sp, #0x18]
0xfffffff008a0fd58: e0e300a9  stp	x0, x24, [sp, #8]
0xfffffff008a0fd5c: f50300f9  str	x21, [sp]
0xfffffff008a0fd60: 4044ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a0fd64: 00003991  add	x0, x0, #0xe40
0xfffffff008a0fd68: e181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0fd6c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0fd70: 8344ff90  adrp	x3, #0xfffffff00729f000
0xfffffff008a0fd74: 638c1091  add	x3, x3, #0x423
0xfffffff008a0fd78: 02028052  mov	w2, #0x10
0xfffffff008a0fd7c: ed8ce497  bl	#0xfffffff008333130
0xfffffff008a0fd80: 700240f9  ldr	x16, [x19]
0xfffffff008a0fd84: f10313aa  mov	x17, x19
0xfffffff008a0fd88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0fd8c: 301ac1da  autda	x16, x17
0xfffffff008a0fd90: f10310aa  mov	x17, x16
0xfffffff008a0fd94: f147c1da  xpacd	x17
0xfffffff008a0fd98: 1f0211eb  cmp	x16, x17
0xfffffff008a0fd9c: 40000054  b.eq	#0xfffffff008a0fda4
0xfffffff008a0fda0: 408e38d4  brk	#0xc472
0xfffffff008a0fda4: 08022a91  add	x8, x16, #0xa80
0xfffffff008a0fda8: 094245f9  ldr	x9, [x16, #0xa80]
0xfffffff008a0fdac: e00313aa  mov	x0, x19
0xfffffff008a0fdb0: f10308aa  mov	x17, x8
0xfffffff008a0fdb4: f130e9f2  movk	x17, #0x4987, lsl #48
0xfffffff008a0fdb8: 31093fd7  blraa	x9, x17
0xfffffff008a0fdbc: f50300aa  mov	x21, x0
0xfffffff008a0fdc0: 700240f9  ldr	x16, [x19]
0xfffffff008a0fdc4: f10313aa  mov	x17, x19
0xfffffff008a0fdc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0fdcc: 301ac1da  autda	x16, x17
0xfffffff008a0fdd0: f10310aa  mov	x17, x16
0xfffffff008a0fdd4: f147c1da  xpacd	x17
0xfffffff008a0fdd8: 1f0211eb  cmp	x16, x17
0xfffffff008a0fddc: 40000054  b.eq	#0xfffffff008a0fde4
