; Candidate 16876
; ADRP+ADD at VM 0xfffffff009fa896c (fileoff 0x2fa496c): page=0x1fd8c8000 add_imm=0xea7

0xfffffff009fa88ec: 09fe9f92  mov	x9, #-0xfff1
0xfffffff009fa88f0: 1f0109eb  cmp	x8, x9
0xfffffff009fa88f4: a3060054  b.lo	#0xfffffff009fa89c8
0xfffffff009fa88f8: 9f4240f1  cmp	x20, #0x10, lsl #12
0xfffffff009fa88fc: 68060054  b.hi	#0xfffffff009fa89c8
0xfffffff009fa8900: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009fa8904: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff009fa8908: e00f803d  str	q0, [sp, #0x30]
0xfffffff009fa890c: f45702a9  stp	x20, x21, [sp, #0x20]
0xfffffff009fa8910: f96b01a9  stp	x25, x26, [sp, #0x10]
0xfffffff009fa8914: e1c30091  add	x1, sp, #0x30
0xfffffff009fa8918: f66300a9  stp	x22, x24, [sp]
0xfffffff009fa891c: e00313aa  mov	x0, x19
0xfffffff009fa8920: 62008052  mov	w2, #3
0xfffffff009fa8924: 4a010094  bl	#0xfffffff009fa8e4c
0xfffffff009fa8928: 60080035  cbnz	w0, #0xfffffff009fa8a34
0xfffffff009fa892c: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff009fa8930: e10313aa  mov	x1, x19
0xfffffff009fa8934: fe1c0094  bl	#0xfffffff009fafd2c
0xfffffff009fa8938: 61820091  add	x1, x19, #0x20
0xfffffff009fa893c: 00028052  mov	w0, #0x10
0xfffffff009fa8940: fb1c0094  bl	#0xfffffff009fafd2c
0xfffffff009fa8944: e1c30091  add	x1, sp, #0x30
0xfffffff009fa8948: e00313aa  mov	x0, x19
0xfffffff009fa894c: 71010094  bl	#0xfffffff009fa8f10
0xfffffff009fa8950: 17008052  mov	w23, #0
0xfffffff009fa8954: 28008052  mov	w8, #1
0xfffffff009fa8958: 681a00f9  str	x8, [x19, #0x30]
0xfffffff009fa895c: e1c30091  add	x1, sp, #0x30
0xfffffff009fa8960: 00068052  mov	w0, #0x30
0xfffffff009fa8964: f21c0094  bl	#0xfffffff009fafd2c
0xfffffff009fa8968: 05000014  b	#0xfffffff009fa897c
0xfffffff009fa896c: 40c6fe90  adrp	x0, #0xfffffff007870000
0xfffffff009fa8970: 009c3a91  add	x0, x0, #0xea7
0xfffffff009fa8974: 95e7ff97  bl	#0xfffffff009fa27c8
0xfffffff009fa8978: d7078012  mov	w23, #-0x3f
0xfffffff009fa897c: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009fa8980: e9ecfe90  adrp	x9, #0xfffffff007d44000
0xfffffff009fa8984: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009fa8988: 290140f9  ldr	x9, [x9]
0xfffffff009fa898c: 3f0108eb  cmp	x9, x8
0xfffffff009fa8990: 61050054  b.ne	#0xfffffff009fa8a3c
0xfffffff009fa8994: e00317aa  mov	x0, x23
0xfffffff009fa8998: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009fa899c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff009fa89a0: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009fa89a4: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009fa89a8: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff009fa89ac: ff030391  add	sp, sp, #0xc0
0xfffffff009fa89b0: ff0f5fd6  retab	
0xfffffff009fa89b4: 08410091  add	x8, x8, #0x10
0xfffffff009fa89b8: 1f0114eb  cmp	x8, x20
0xfffffff009fa89bc: 002156fa  ccmp	x8, x22, #0, hs
0xfffffff009fa89c0: 40010054  b.eq	#0xfffffff009fa89e8
0xfffffff009fa89c4: d7078012  mov	w23, #-0x3f
0xfffffff009fa89c8: 00048052  mov	w0, #0x20
0xfffffff009fa89cc: e10313aa  mov	x1, x19
0xfffffff009fa89d0: d71c0094  bl	#0xfffffff009fafd2c
0xfffffff009fa89d4: 61820091  add	x1, x19, #0x20
0xfffffff009fa89d8: 00028052  mov	w0, #0x10
0xfffffff009fa89dc: d41c0094  bl	#0xfffffff009fafd2c
0xfffffff009fa89e0: 08008092  mov	x8, #-1
0xfffffff009fa89e4: ddffff17  b	#0xfffffff009fa8958
0xfffffff009fa89e8: 00e4006f  movi	v0.2d, #0000000000000000
