; Candidate 16285
; ADRP+ADD at VM 0xfffffff009e43b58 (fileoff 0x2e3fb58): page=0x1fd9e4000 add_imm=0xdb7

0xfffffff009e43ad8: f50302aa  mov	x21, x2
0xfffffff009e43adc: f30301aa  mov	x19, x1
0xfffffff009e43ae0: f40300aa  mov	x20, x0
0xfffffff009e43ae4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e43ae8: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff009e43aec: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff009e43af0: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff009e43af4: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009e43af8: e0830091  add	x0, sp, #0x20
0xfffffff009e43afc: 01008052  mov	w1, #0
0xfffffff009e43b00: 02108052  mov	w2, #0x80
0xfffffff009e43b04: 2f247c97  bl	#0xfffffff007d4cbc0
0xfffffff009e43b08: f31700f9  str	x19, [sp, #0x28]
0xfffffff009e43b0c: 28008052  mov	w8, #1
0xfffffff009e43b10: 0810a072  movk	w8, #0x80, lsl #16
0xfffffff009e43b14: e82300b9  str	w8, [sp, #0x20]
0xfffffff009e43b18: 847e40f9  ldr	x4, [x20, #0xf8]
0xfffffff009e43b1c: e3830091  add	x3, sp, #0x20
0xfffffff009e43b20: e00314aa  mov	x0, x20
0xfffffff009e43b24: 61008052  mov	w1, #3
0xfffffff009e43b28: 020080d2  mov	x2, #0
0xfffffff009e43b2c: e50315aa  mov	x5, x21
0xfffffff009e43b30: 977c0294  bl	#0xfffffff009ee2d8c
0xfffffff009e43b34: f60300aa  mov	x22, x0
0xfffffff009e43b38: 80010034  cbz	w0, #0xfffffff009e43b68
0xfffffff009e43b3c: 083e8452  mov	w8, #0x21f0
0xfffffff009e43b40: 8802088b  add	x8, x20, x8
0xfffffff009e43b44: c93c8052  mov	w9, #0x1e6
0xfffffff009e43b48: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e43b4c: 4a9d3791  add	x10, x10, #0xde7
0xfffffff009e43b50: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e43b54: e84f01a9  stp	x8, x19, [sp, #0x10]
0xfffffff009e43b58: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e43b5c: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009e43b60: 59ef0094  bl	#0xfffffff009e7f8c4
0xfffffff009e43b64: 04000014  b	#0xfffffff009e43b74
0xfffffff009e43b68: 88aa43b9  ldr	w8, [x20, #0x3a8]
0xfffffff009e43b6c: a90240f9  ldr	x9, [x21]
0xfffffff009e43b70: 282900b9  str	w8, [x9, #0x28]
0xfffffff009e43b74: e00316aa  mov	x0, x22
0xfffffff009e43b78: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff009e43b7c: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff009e43b80: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff009e43b84: ff430391  add	sp, sp, #0xd0
0xfffffff009e43b88: ff0f5fd6  retab	
0xfffffff009e43b8c: 7f2303d5  pacibsp	
0xfffffff009e43b90: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e43b94: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e43b98: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e43b9c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e43ba0: fdc30091  add	x29, sp, #0x30
0xfffffff009e43ba4: f30303aa  mov	x19, x3
0xfffffff009e43ba8: f40302aa  mov	x20, x2
0xfffffff009e43bac: ff0700f9  str	xzr, [sp, #8]
0xfffffff009e43bb0: e2230091  add	x2, sp, #8
0xfffffff009e43bb4: c3ffff97  bl	#0xfffffff009e43ac0
0xfffffff009e43bb8: c0040035  cbnz	w0, #0xfffffff009e43c50
0xfffffff009e43bbc: f50740f9  ldr	x21, [sp, #8]
0xfffffff009e43bc0: a8e24079  ldrh	w8, [x21, #0x70]
0xfffffff009e43bc4: 01810091  add	x1, x8, #0x20
0xfffffff009e43bc8: a0f7fed0  adrp	x0, #0xfffffff007d39000
0xfffffff009e43bcc: 00602f91  add	x0, x0, #0xbd8
0xfffffff009e43bd0: 804c9497  bl	#0xfffffff008356dd0
0xfffffff009e43bd4: a2e24079  ldrh	w2, [x21, #0x70]
