; Candidate 10500
; ADRP+ADD at VM 0xfffffff008d7bcf0 (fileoff 0x1d77cf0): page=0x1582000 add_imm=0xe20

0xfffffff008d7bc70: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d7bc74: c7b5d697  bl	#0xfffffff008329390
0xfffffff008d7bc78: 28ac0090  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7bc7c: 007d01f9  str	x0, [x8, #0x2f8]
0xfffffff008d7bc80: a031ff90  adrp	x0, #0xfffffff0073af000
0xfffffff008d7bc84: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d7bc88: c2b5d697  bl	#0xfffffff008329390
0xfffffff008d7bc8c: 28ac0090  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7bc90: 008101f9  str	x0, [x8, #0x300]
0xfffffff008d7bc94: a031ff90  adrp	x0, #0xfffffff0073af000
0xfffffff008d7bc98: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d7bc9c: bdb5d697  bl	#0xfffffff008329390
0xfffffff008d7bca0: 28ac0090  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7bca4: 008501f9  str	x0, [x8, #0x308]
0xfffffff008d7bca8: 00ac00d0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7bcac: 00803891  add	x0, x0, #0xe20
0xfffffff008d7bcb0: c131ffd0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7bcb4: 21d42a91  add	x1, x1, #0xab5
0xfffffff008d7bcb8: 02ac00f0  adrp	x2, #0xfffffff00a2fe000
0xfffffff008d7bcbc: 42202591  add	x2, x2, #0x948
0xfffffff008d7bcc0: 03258052  mov	w3, #0x128
0xfffffff008d7bcc4: 9d9fd597  bl	#0xfffffff0082e3b38
0xfffffff008d7bcc8: 106bff90  adrp	x16, #0xfffffff007adb000
0xfffffff008d7bccc: 10a21791  add	x16, x16, #0x5e8
0xfffffff008d7bcd0: 10420091  add	x16, x16, #0x10
0xfffffff008d7bcd4: f10300aa  mov	x17, x0
0xfffffff008d7bcd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7bcdc: 300ac1da  pacda	x16, x17
0xfffffff008d7bce0: 100000f9  str	x16, [x0]
0xfffffff008d7bce4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7bce8: ff0f5fd6  retab	
0xfffffff008d7bcec: 5f2403d5  bti	c
0xfffffff008d7bcf0: 00ac00d0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7bcf4: 00803891  add	x0, x0, #0xe20
0xfffffff008d7bcf8: 7fa2d517  b	#0xfffffff0082e46f4
0xfffffff008d7bcfc: 7f2303d5  pacibsp	
0xfffffff008d7bd00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7bd04: fd030091  mov	x29, sp
0xfffffff008d7bd08: c131ffd0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7bd0c: 21d82b91  add	x1, x1, #0xaf6
0xfffffff008d7bd10: 02ac00d0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008d7bd14: 42402891  add	x2, x2, #0xa10
0xfffffff008d7bd18: 03068052  mov	w3, #0x30
0xfffffff008d7bd1c: 879fd597  bl	#0xfffffff0082e3b38
0xfffffff008d7bd20: 106bff90  adrp	x16, #0xfffffff007adb000
0xfffffff008d7bd24: 10e21c91  add	x16, x16, #0x738
0xfffffff008d7bd28: 10420091  add	x16, x16, #0x10
0xfffffff008d7bd2c: f10300aa  mov	x17, x0
0xfffffff008d7bd30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7bd34: 300ac1da  pacda	x16, x17
0xfffffff008d7bd38: 100000f9  str	x16, [x0]
0xfffffff008d7bd3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7bd40: ff0f5fd6  retab	
0xfffffff008d7bd44: 5f2403d5  bti	c
0xfffffff008d7bd48: 6ba2d517  b	#0xfffffff0082e46f4
0xfffffff008d7bd4c: 7f2303d5  pacibsp	
0xfffffff008d7bd50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7bd54: fd030091  mov	x29, sp
0xfffffff008d7bd58: 69a1ff97  bl	#0xfffffff008d642fc
0xfffffff008d7bd5c: 106bff90  adrp	x16, #0xfffffff007adb000
0xfffffff008d7bd60: 10021a91  add	x16, x16, #0x680
0xfffffff008d7bd64: 10420091  add	x16, x16, #0x10
0xfffffff008d7bd68: f10300aa  mov	x17, x0
0xfffffff008d7bd6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
