; Candidate 3825
; ADRP+ADD at VM 0xfffffff008767174 (fileoff 0x1763174): page=0x1fe9ca000 add_imm=0xd90

0xfffffff0087670f4: ec3740f9  ldr	x12, [sp, #0x68]
0xfffffff0087670f8: 8b6d0b9b  madd	x11, x12, x11, x27
0xfffffff0087670fc: 0c2d8b52  mov	w12, #0x5968
0xfffffff008767100: 6b696cb8  ldr	w11, [x11, x12]
0xfffffff008767104: 4c050011  add	w12, w10, #1
0xfffffff008767108: 7f010c6b  cmp	w11, w12
0xfffffff00876710c: 68060054  b.hi	#0xfffffff0087671d8
0xfffffff008767110: b6000836  tbz	w22, #1, #0xfffffff008767124
0xfffffff008767114: 0bd08452  mov	w11, #0x2680
0xfffffff008767118: 8b5f0b9b  madd	x11, x28, x11, x23
0xfffffff00876711c: 6bd54039  ldrb	w11, [x11, #0x35]
0xfffffff008767120: cb030034  cbz	w11, #0xfffffff008767198
0xfffffff008767124: b6002836  tbz	w22, #5, #0xfffffff008767138
0xfffffff008767128: 0bd08452  mov	w11, #0x2680
0xfffffff00876712c: 8b5f0b9b  madd	x11, x28, x11, x23
0xfffffff008767130: 6bd54039  ldrb	w11, [x11, #0x35]
0xfffffff008767134: 6b040034  cbz	w11, #0xfffffff0087671c0
0xfffffff008767138: 0b008052  mov	w11, #0
0xfffffff00876713c: 2a000014  b	#0xfffffff0087671e4
0xfffffff008767140: 3f0b0071  cmp	w25, #2
0xfffffff008767144: 61000054  b.ne	#0xfffffff008767150
0xfffffff008767148: 3f210071  cmp	w9, #8
0xfffffff00876714c: c0000054  b.eq	#0xfffffff008767164
0xfffffff008767150: 3f0f0071  cmp	w25, #3
0xfffffff008767154: 21f1ff54  b.ne	#0xfffffff008766f78
0xfffffff008767158: 2a250051  sub	w10, w9, #9
0xfffffff00876715c: 5f050071  cmp	w10, #1
0xfffffff008767160: c8f0ff54  b.hi	#0xfffffff008766f78
0xfffffff008767164: e9e700a9  stp	x9, x25, [sp, #8]
0xfffffff008767168: 484fff90  adrp	x8, #0xfffffff00714f000
0xfffffff00876716c: 08bd1991  add	x8, x8, #0x66f
0xfffffff008767170: e80300f9  str	x8, [sp]
0xfffffff008767174: 404effd0  adrp	x0, #0xfffffff007131000
0xfffffff008767178: 00403691  add	x0, x0, #0xd90
0xfffffff00876717c: a194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008767180: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008767184: c34efff0  adrp	x3, #0xfffffff007142000
0xfffffff008767188: 63841991  add	x3, x3, #0x661
0xfffffff00876718c: 02008052  mov	w2, #0
0xfffffff008767190: e82fef97  bl	#0xfffffff008333130
0xfffffff008767194: 8b020014  b	#0xfffffff008767bc0
0xfffffff008767198: 4b004039  ldrb	w11, [x2]
0xfffffff00876719c: 4bfcff34  cbz	w11, #0xfffffff008767124
0xfffffff0087671a0: ab3e0012  and	w11, w21, #0xffff
0xfffffff0087671a4: ec1340f9  ldr	x12, [sp, #0x20]
0xfffffff0087671a8: 8c3d0012  and	w12, w12, #0xffff
0xfffffff0087671ac: 8b7d0b1b  mul	w11, w12, w11
0xfffffff0087671b0: 4c050011  add	w12, w10, #1
0xfffffff0087671b4: 7f010c6b  cmp	w11, w12
0xfffffff0087671b8: 08010054  b.hi	#0xfffffff0087671d8
0xfffffff0087671bc: daffff17  b	#0xfffffff008767124
0xfffffff0087671c0: 4c004039  ldrb	w12, [x2]
0xfffffff0087671c4: 0c010035  cbnz	w12, #0xfffffff0087671e4
0xfffffff0087671c8: 4a050011  add	w10, w10, #1
0xfffffff0087671cc: ec3f40b9  ldr	w12, [sp, #0x3c]
0xfffffff0087671d0: 9f010a6b  cmp	w12, w10
0xfffffff0087671d4: 89000054  b.ls	#0xfffffff0087671e4
0xfffffff0087671d8: 9f020071  cmp	w20, #0
0xfffffff0087671dc: ea179f1a  cset	w10, eq
0xfffffff0087671e0: 4b110553  lsl	w11, w10, #0x1b
0xfffffff0087671e4: 0bff0b29  stp	w11, wzr, [x24, #0x5c]
0xfffffff0087671e8: 0a518b52  mov	w10, #0x5a88
0xfffffff0087671ec: f63740f9  ldr	x22, [sp, #0x68]
0xfffffff0087671f0: da6e0a9b  madd	x26, x22, x10, x27
