; Candidate 3515
; ADRP+ADD at VM 0xfffffff008743b24 (fileoff 0x173fb24): page=0x1fe9ee000 add_imm=0xd90

0xfffffff008743aa4: 31093fd7  blraa	x9, x17
0xfffffff008743aa8: a08e4df8  ldr	x0, [x21, #0xd8]!
0xfffffff008743aac: 100040f9  ldr	x16, [x0]
0xfffffff008743ab0: f10300aa  mov	x17, x0
0xfffffff008743ab4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008743ab8: 301ac1da  autda	x16, x17
0xfffffff008743abc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008743ac0: e90310aa  mov	x9, x16
0xfffffff008743ac4: 010080d2  mov	x1, #0
0xfffffff008743ac8: f10309aa  mov	x17, x9
0xfffffff008743acc: 11efe3f2  movk	x17, #0x1f78, lsl #48
0xfffffff008743ad0: 11093fd7  blraa	x8, x17
0xfffffff008743ad4: a0025ff8  ldur	x0, [x21, #-0x10]
0xfffffff008743ad8: 21008052  mov	w1, #1
0xfffffff008743adc: 7ec50094  bl	#0xfffffff0087750d4
0xfffffff008743ae0: 88aa41b9  ldr	w8, [x20, #0x1a8]
0xfffffff008743ae4: 1f090071  cmp	w8, #2
0xfffffff008743ae8: 200e0054  b.eq	#0xfffffff008743cac
0xfffffff008743aec: f51300f9  str	x21, [sp, #0x20]
0xfffffff008743af0: f32f00b9  str	w19, [sp, #0x2c]
0xfffffff008743af4: e803132a  mov	w8, w19
0xfffffff008743af8: 9b0e088b  add	x27, x20, x8, lsl #3
0xfffffff008743afc: 608f4bf8  ldr	x0, [x27, #0xb8]!
0xfffffff008743b00: 21008052  mov	w1, #1
0xfffffff008743b04: de2b0094  bl	#0xfffffff00874ea7c
0xfffffff008743b08: 9fd231b9  str	wzr, [x20, #0x31d0]
0xfffffff008743b0c: 600340f9  ldr	x0, [x27]
0xfffffff008743b10: 8d2b0094  bl	#0xfffffff00874e944
0xfffffff008743b14: 20060034  cbz	w0, #0xfffffff008743bd8
0xfffffff008743b18: b550ff90  adrp	x21, #0xfffffff007157000
0xfffffff008743b1c: b5d62f91  add	x21, x21, #0xbf5
0xfffffff008743b20: f50300a9  stp	x21, x0, [sp]
0xfffffff008743b24: 604fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008743b28: 00403691  add	x0, x0, #0xd90
0xfffffff008743b2c: c195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008743b30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008743b34: c34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff008743b38: 63f81e91  add	x3, x3, #0x7be
0xfffffff008743b3c: 02008052  mov	w2, #0
0xfffffff008743b40: 7cbdef97  bl	#0xfffffff008333130
0xfffffff008743b44: 600340f9  ldr	x0, [x27]
0xfffffff008743b48: 88d271b9  ldr	w8, [x20, #0x31d0]
0xfffffff008743b4c: 19098052  mov	w25, #0x48
0xfffffff008743b50: 0851199b  madd	x8, x8, x25, x20
0xfffffff008743b54: 01413791  add	x1, x8, #0xdd0
0xfffffff008743b58: 402a0094  bl	#0xfffffff00874e458
0xfffffff008743b5c: e0030035  cbnz	w0, #0xfffffff008743bd8
0xfffffff008743b60: d695ffd0  adrp	x22, #0xfffffff0079fd000
0xfffffff008743b64: d6de41f9  ldr	x22, [x22, #0x3b8]
0xfffffff008743b68: 3c008052  mov	w28, #1
0xfffffff008743b6c: d74fffd0  adrp	x23, #0xfffffff00713d000
0xfffffff008743b70: f7fa1f91  add	x23, x23, #0x7fe
0xfffffff008743b74: 600340f9  ldr	x0, [x27]
0xfffffff008743b78: 732b0094  bl	#0xfffffff00874e944
0xfffffff008743b7c: 88d271b9  ldr	w8, [x20, #0x31d0]
0xfffffff008743b80: 93423791  add	x19, x20, #0xdd0
0xfffffff008743b84: 084d199b  madd	x8, x8, x25, x19
0xfffffff008743b88: 600340f9  ldr	x0, [x27]
0xfffffff008743b8c: 1a614429  ldp	w26, w24, [x8, #0x20]
0xfffffff008743b90: 6d2b0094  bl	#0xfffffff00874e944
0xfffffff008743b94: fa0301a9  stp	x26, x0, [sp, #0x10]
0xfffffff008743b98: f56300a9  stp	x21, x24, [sp]
0xfffffff008743b9c: 604fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008743ba0: 00403691  add	x0, x0, #0xd90
