; Candidate 16113
; ADRP+ADD at VM 0xfffffff009e21648 (fileoff 0x2e1d648): page=0x1fd882000 add_imm=0xe00

0xfffffff009e215c8: d1cb9997  bl	#0xfffffff00849450c
0xfffffff009e215cc: 7f2303d5  pacibsp	
0xfffffff009e215d0: ff4301d1  sub	sp, sp, #0x50
0xfffffff009e215d4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009e215d8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009e215dc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009e215e0: fd030191  add	x29, sp, #0x40
0xfffffff009e215e4: f40301aa  mov	x20, x1
0xfffffff009e215e8: f30300aa  mov	x19, x0
0xfffffff009e215ec: a8d889d2  mov	x8, #0x4ec5
0xfffffff009e215f0: 889db8f2  movk	x8, #0xc4ec, lsl #16
0xfffffff009e215f4: c889ddf2  movk	x8, #0xec4e, lsl #32
0xfffffff009e215f8: 88d8e9f2  movk	x8, #0x4ec4, lsl #48
0xfffffff009e215fc: 087cc89b  umulh	x8, x0, x8
0xfffffff009e21600: 08fd42d3  lsr	x8, x8, #2
0xfffffff009e21604: a9018052  mov	w9, #0xd
0xfffffff009e21608: 0881099b  msub	x8, x8, x9, x0
0xfffffff009e2160c: e92c00d0  adrp	x9, #0xfffffff00a3bf000
0xfffffff009e21610: 29411591  add	x9, x9, #0x550
0xfffffff009e21614: 3511088b  add	x21, x9, x8, lsl #4
0xfffffff009e21618: e00315aa  mov	x0, x21
0xfffffff009e2161c: 2c297e97  bl	#0xfffffff007dabacc
0xfffffff009e21620: 681e40f9  ldr	x8, [x19, #0x38]
0xfffffff009e21624: 1f0114eb  cmp	x8, x20
0xfffffff009e21628: 00080054  b.eq	#0xfffffff009e21728
0xfffffff009e2162c: 69da4039  ldrb	w9, [x19, #0x36]
0xfffffff009e21630: c9070034  cbz	w9, #0xfffffff009e21728
0xfffffff009e21634: 280400b4  cbz	x8, #0xfffffff009e216b8
0xfffffff009e21638: f40100b5  cbnz	x20, #0xfffffff009e21674
0xfffffff009e2163c: c8cffed0  adrp	x8, #0xfffffff00781b000
0xfffffff009e21640: 08693f91  add	x8, x8, #0xfda
0xfffffff009e21644: e80300f9  str	x8, [sp]
0xfffffff009e21648: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2164c: 00003891  add	x0, x0, #0xe00
0xfffffff009e21650: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e21654: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21658: e3cffef0  adrp	x3, #0xfffffff007820000
0xfffffff009e2165c: 63141291  add	x3, x3, #0x485
0xfffffff009e21660: 42008052  mov	w2, #2
0xfffffff009e21664: b3469497  bl	#0xfffffff008333130
0xfffffff009e21668: e00313aa  mov	x0, x19
0xfffffff009e2166c: bafdff97  bl	#0xfffffff009e20d54
0xfffffff009e21670: 681e40f9  ldr	x8, [x19, #0x38]
0xfffffff009e21674: c9cffed0  adrp	x9, #0xfffffff00781b000
0xfffffff009e21678: 29d53e91  add	x9, x9, #0xfb5
0xfffffff009e2167c: e92300a9  stp	x9, x8, [sp]
0xfffffff009e21680: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e21684: 00003891  add	x0, x0, #0xe00
0xfffffff009e21688: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e2168c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21690: e3cffef0  adrp	x3, #0xfffffff007820000
0xfffffff009e21694: 63c41191  add	x3, x3, #0x471
0xfffffff009e21698: 42008052  mov	w2, #2
0xfffffff009e2169c: a5469497  bl	#0xfffffff008333130
0xfffffff009e216a0: e82c00d0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e216a4: 081143f9  ldr	x8, [x8, #0x620]
0xfffffff009e216a8: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff009e216ac: d15785d2  mov	x17, #0x2abe
0xfffffff009e216b0: 11093fd7  blraa	x8, x17
0xfffffff009e216b4: 1c000014  b	#0xfffffff009e21724
0xfffffff009e216b8: 740300b4  cbz	x20, #0xfffffff009e21724
0xfffffff009e216bc: e80313aa  mov	x8, x19
0xfffffff009e216c0: 098d41f8  ldr	x9, [x8, #0x18]!
0xfffffff009e216c4: 690100b4  cbz	x9, #0xfffffff009e216f0
