; Candidate 3855
; ADRP+ADD at VM 0xfffffff00876b1b0 (fileoff 0x17671b0): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876b130: e00340f9  ldr	x0, [sp]
0xfffffff00876b134: e1230091  add	x1, sp, #8
0xfffffff00876b138: c2a5dd97  bl	#0xfffffff007ed4840
0xfffffff00876b13c: e00740f9  ldr	x0, [sp, #8]
0xfffffff00876b140: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00876b144: ff830091  add	sp, sp, #0x20
0xfffffff00876b148: ff0f5fd6  retab	
0xfffffff00876b14c: 7f2303d5  pacibsp	
0xfffffff00876b150: ffc300d1  sub	sp, sp, #0x30
0xfffffff00876b154: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00876b158: fd830091  add	x29, sp, #0x20
0xfffffff00876b15c: 28004079  ldrh	w8, [x1]
0xfffffff00876b160: 091040b9  ldr	w9, [x0, #0x10]
0xfffffff00876b164: 3f01086b  cmp	w9, w8
0xfffffff00876b168: c9010054  b.ls	#0xfffffff00876b1a0
0xfffffff00876b16c: 092c40f9  ldr	x9, [x0, #0x58]
0xfffffff00876b170: 5f080071  cmp	w2, #2
0xfffffff00876b174: 40030054  b.eq	#0xfffffff00876b1dc
0xfffffff00876b178: 5f040071  cmp	w2, #1
0xfffffff00876b17c: 81050054  b.ne	#0xfffffff00876b22c
0xfffffff00876b180: 00008052  mov	w0, #0
0xfffffff00876b184: 2a0840f9  ldr	x10, [x1, #0x10]
0xfffffff00876b188: 0b038052  mov	w11, #0x18
0xfffffff00876b18c: 08250b9b  madd	x8, x8, x11, x9
0xfffffff00876b190: 090540f9  ldr	x9, [x8, #8]
0xfffffff00876b194: 29010a8b  add	x9, x9, x10
0xfffffff00876b198: 090500f9  str	x9, [x8, #8]
0xfffffff00876b19c: 28000014  b	#0xfffffff00876b23c
0xfffffff00876b1a0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00876b1a4: 694fffd0  adrp	x9, #0xfffffff007159000
0xfffffff00876b1a8: 29d53f91  add	x9, x9, #0xff5
0xfffffff00876b1ac: e90300f9  str	x9, [sp]
0xfffffff00876b1b0: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876b1b4: 00403691  add	x0, x0, #0xd90
0xfffffff00876b1b8: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876b1bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876b1c0: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876b1c4: 63380891  add	x3, x3, #0x20e
0xfffffff00876b1c8: 02008052  mov	w2, #0
0xfffffff00876b1cc: d91fef97  bl	#0xfffffff008333130
0xfffffff00876b1d0: 40588052  mov	w0, #0x2c2
0xfffffff00876b1d4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00876b1d8: 19000014  b	#0xfffffff00876b23c
0xfffffff00876b1dc: 0a038052  mov	w10, #0x18
0xfffffff00876b1e0: 0a250a9b  madd	x10, x8, x10, x9
0xfffffff00876b1e4: 488d40f8  ldr	x8, [x10, #8]!
0xfffffff00876b1e8: 290840f9  ldr	x9, [x1, #0x10]
0xfffffff00876b1ec: 0b0109eb  subs	x11, x8, x9
0xfffffff00876b1f0: 22020054  b.hs	#0xfffffff00876b234
0xfffffff00876b1f4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00876b1f8: 694fffd0  adrp	x9, #0xfffffff007159000
0xfffffff00876b1fc: 29d53f91  add	x9, x9, #0xff5
0xfffffff00876b200: e90300f9  str	x9, [sp]
0xfffffff00876b204: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876b208: 00403691  add	x0, x0, #0xd90
0xfffffff00876b20c: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876b210: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876b214: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876b218: 63440991  add	x3, x3, #0x251
0xfffffff00876b21c: 02008052  mov	w2, #0
0xfffffff00876b220: c41fef97  bl	#0xfffffff008333130
0xfffffff00876b224: 00008052  mov	w0, #0
0xfffffff00876b228: 05000014  b	#0xfffffff00876b23c
0xfffffff00876b22c: 00008052  mov	w0, #0
