; Candidate 4213
; ADRP+ADD at VM 0xfffffff008796b04 (fileoff 0x1792b04): page=0x1fe99b000 add_imm=0xd90

0xfffffff008796a84: b58640b9  ldr	w21, [x21, #0x84]
0xfffffff008796a88: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008796a8c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008796a90: 020140b2  orr	x2, x8, #1
0xfffffff008796a94: e10315aa  mov	x1, x21
0xfffffff008796a98: 3ac4fe97  bl	#0xfffffff008747b80
0xfffffff008796a9c: 60020036  tbz	w0, #0, #0xfffffff008796ae8
0xfffffff008796aa0: 13008052  mov	w19, #0
0xfffffff008796aa4: e9ffff17  b	#0xfffffff008796a48
0xfffffff008796aa8: 53588052  mov	w19, #0x2c2
0xfffffff008796aac: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796ab0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008796ab4: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008796ab8: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796abc: 089d0991  add	x8, x8, #0x267
0xfffffff008796ac0: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008796ac4: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796ac8: 00403691  add	x0, x0, #0xd90
0xfffffff008796acc: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796ad0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796ad4: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796ad8: 63bc3891  add	x3, x3, #0xe2f
0xfffffff008796adc: 02008052  mov	w2, #0
0xfffffff008796ae0: 9471ee97  bl	#0xfffffff008333130
0xfffffff008796ae4: d9ffff17  b	#0xfffffff008796a48
0xfffffff008796ae8: 53588052  mov	w19, #0x2c2
0xfffffff008796aec: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008796af0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008796af4: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008796af8: 284effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008796afc: 089d0991  add	x8, x8, #0x267
0xfffffff008796b00: e87f00a9  stp	x8, xzr, [sp]
0xfffffff008796b04: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796b08: 00403691  add	x0, x0, #0xd90
0xfffffff008796b0c: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796b10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796b14: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796b18: 63f03a91  add	x3, x3, #0xebc
0xfffffff008796b1c: 02008052  mov	w2, #0
0xfffffff008796b20: 8471ee97  bl	#0xfffffff008333130
0xfffffff008796b24: c9ffff17  b	#0xfffffff008796a48
0xfffffff008796b28: 7f2303d5  pacibsp	
0xfffffff008796b2c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008796b30: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff008796b34: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff008796b38: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff008796b3c: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff008796b40: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008796b44: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008796b48: fd430391  add	x29, sp, #0xd0
0xfffffff008796b4c: f70304aa  mov	x23, x4
0xfffffff008796b50: f30303aa  mov	x19, x3
0xfffffff008796b54: f40302aa  mov	x20, x2
0xfffffff008796b58: f50301aa  mov	x21, x1
0xfffffff008796b5c: f60300aa  mov	x22, x0
0xfffffff008796b60: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff008796b64: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008796b68: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008796b6c: 795c8052  mov	w25, #0x2e3
0xfffffff008796b70: 1900bc72  movk	w25, #0xe000, lsl #16
0xfffffff008796b74: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008796b78: e0c30091  add	x0, sp, #0x30
0xfffffff008796b7c: 01008052  mov	w1, #0
0xfffffff008796b80: 02098052  mov	w2, #0x48
