; Candidate 12998
; ADRP+ADD at VM 0xfffffff0091afa14 (fileoff 0x21aba14): page=0x1167000 add_imm=0xe40

0xfffffff0091af994: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0091af998: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0091af99c: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0091af9a0: ff030291  add	sp, sp, #0x80
0xfffffff0091af9a4: ff0f5fd6  retab	
0xfffffff0091af9a8: f30300aa  mov	x19, x0
0xfffffff0091af9ac: ecffff17  b	#0xfffffff0091af95c
0xfffffff0091af9b0: 53588052  mov	w19, #0x2c2
0xfffffff0091af9b4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0091af9b8: 73160011  add	w19, w19, #5
0xfffffff0091af9bc: e8ffff17  b	#0xfffffff0091af95c
0xfffffff0091af9c0: 73160011  add	w19, w19, #5
0xfffffff0091af9c4: f0ffff17  b	#0xfffffff0091af984
0xfffffff0091af9c8: 7f2303d5  pacibsp	
0xfffffff0091af9cc: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0091af9d0: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0091af9d4: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0091af9d8: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0091af9dc: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0091af9e0: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0091af9e4: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0091af9e8: fd430391  add	x29, sp, #0xd0
0xfffffff0091af9ec: fc0304aa  mov	x28, x4
0xfffffff0091af9f0: f70303aa  mov	x23, x3
0xfffffff0091af9f4: f40301aa  mov	x20, x1
0xfffffff0091af9f8: f50300aa  mov	x21, x0
0xfffffff0091af9fc: e84dff90  adrp	x8, #0xfffffff007b6b000
0xfffffff0091afa00: 08dd40f9  ldr	x8, [x8, #0x1b8]
0xfffffff0091afa04: 080140f9  ldr	x8, [x8]
0xfffffff0091afa08: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff0091afa0c: b6578052  mov	w22, #0x2bd
0xfffffff0091afa10: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0091afa14: 208b00f0  adrp	x0, #0xfffffff00a316000
0xfffffff0091afa18: 00003991  add	x0, x0, #0xe40
0xfffffff0091afa1c: 100040f9  ldr	x16, [x0]
0xfffffff0091afa20: f10300aa  mov	x17, x0
0xfffffff0091afa24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091afa28: 301ac1da  autda	x16, x17
0xfffffff0091afa2c: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0091afa30: e90310aa  mov	x9, x16
0xfffffff0091afa34: f10309aa  mov	x17, x9
0xfffffff0091afa38: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff0091afa3c: 11093fd7  blraa	x8, x17
0xfffffff0091afa40: e04100b4  cbz	x0, #0xfffffff0091b027c
0xfffffff0091afa44: f30300aa  mov	x19, x0
0xfffffff0091afa48: 100040f9  ldr	x16, [x0]
0xfffffff0091afa4c: f10300aa  mov	x17, x0
0xfffffff0091afa50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091afa54: 301ac1da  autda	x16, x17
0xfffffff0091afa58: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0091afa5c: e90310aa  mov	x9, x16
0xfffffff0091afa60: f10309aa  mov	x17, x9
0xfffffff0091afa64: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff0091afa68: 11093fd7  blraa	x8, x17
0xfffffff0091afa6c: 403f0034  cbz	w0, #0xfffffff0091b0254
0xfffffff0091afa70: f00240f9  ldr	x16, [x23]
0xfffffff0091afa74: f10317aa  mov	x17, x23
0xfffffff0091afa78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091afa7c: 301ac1da  autda	x16, x17
0xfffffff0091afa80: 112780d2  mov	x17, #0x138
0xfffffff0091afa84: 1002118b  add	x16, x16, x17
0xfffffff0091afa88: 080240f9  ldr	x8, [x16]
0xfffffff0091afa8c: e90310aa  mov	x9, x16
0xfffffff0091afa90: 4117ff90  adrp	x1, #0xfffffff007497000
