; Candidate 11160
; ADRP+ADD at VM 0xfffffff008e821a0 (fileoff 0x1e7e1a0): page=0x1fec8b000 add_imm=0xe80

0xfffffff008e82120: 11093fd7  blraa	x8, x17
0xfffffff008e82124: e00313aa  mov	x0, x19
0xfffffff008e82128: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e8212c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e82130: ff0f5fd6  retab	
0xfffffff008e82134: 5f2403d5  bti	c
0xfffffff008e82138: e80300aa  mov	x8, x0
0xfffffff008e8213c: 095448f9  ldr	x9, [x0, #0x10a8]
0xfffffff008e82140: 290400f9  str	x9, [x1, #8]
0xfffffff008e82144: 015408f9  str	x1, [x0, #0x10a8]
0xfffffff008e82148: 300040f9  ldr	x16, [x1]
0xfffffff008e8214c: f10301aa  mov	x17, x1
0xfffffff008e82150: f102f2f2  movk	x17, #0x9017, lsl #48
0xfffffff008e82154: 301ac1da  autda	x16, x17
0xfffffff008e82158: 090240f9  ldr	x9, [x16]
0xfffffff008e8215c: e20310aa  mov	x2, x16
0xfffffff008e82160: f00309aa  mov	x16, x9
0xfffffff008e82164: e00301aa  mov	x0, x1
0xfffffff008e82168: e10308aa  mov	x1, x8
0xfffffff008e8216c: f10302aa  mov	x17, x2
0xfffffff008e82170: 51c9f7f2  movk	x17, #0xbe4a, lsl #48
0xfffffff008e82174: 110a1fd7  braa	x16, x17
0xfffffff008e82178: 5f2403d5  bti	c
0xfffffff008e8217c: b5ffff17  b	#0xfffffff008e82050
0xfffffff008e82180: 7f2303d5  pacibsp	
0xfffffff008e82184: ff4301d1  sub	sp, sp, #0x50
0xfffffff008e82188: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008e8218c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008e82190: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008e82194: fd030191  add	x29, sp, #0x40
0xfffffff008e82198: f30300aa  mov	x19, x0
0xfffffff008e8219c: 015008f9  str	x1, [x0, #0x10a0]
0xfffffff008e821a0: 4064fff0  adrp	x0, #0xfffffff007b0d000
0xfffffff008e821a4: 00003a91  add	x0, x0, #0xe80
0xfffffff008e821a8: d350d397  bl	#0xfffffff0083564f4
0xfffffff008e821ac: f40300aa  mov	x20, x0
0xfffffff008e821b0: ca4b2b94  bl	#0xfffffff0099550d8
0xfffffff008e821b4: 1064ffd0  adrp	x16, #0xfffffff007b04000
0xfffffff008e821b8: 10e20291  add	x16, x16, #0xb8
0xfffffff008e821bc: 10420091  add	x16, x16, #0x10
0xfffffff008e821c0: f10300aa  mov	x17, x0
0xfffffff008e821c4: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e821c8: 300ac1da  pacda	x16, x17
0xfffffff008e821cc: 100000f9  str	x16, [x0]
0xfffffff008e821d0: 1f600039  strb	wzr, [x0, #0x18]
0xfffffff008e821d4: a80b8052  mov	w8, #0x5d
0xfffffff008e821d8: 081c00b9  str	w8, [x0, #0x1c]
0xfffffff008e821dc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008e821e0: 001800fd  str	d0, [x0, #0x30]
0xfffffff008e821e4: 08268052  mov	w8, #0x130
0xfffffff008e821e8: 083800b9  str	w8, [x0, #0x38]
0xfffffff008e821ec: d563fff0  adrp	x21, #0xfffffff007afd000
0xfffffff008e821f0: b5b246f9  ldr	x21, [x21, #0xd60]
0xfffffff008e821f4: b60e42f8  ldr	x22, [x21, #0x20]!
0xfffffff008e821f8: f10315aa  mov	x17, x21
0xfffffff008e821fc: 51d4e2f2  movk	x17, #0x16a2, lsl #48
0xfffffff008e82200: d10a3fd7  blraa	x22, x17
0xfffffff008e82204: 1064ffd0  adrp	x16, #0xfffffff007b04000
0xfffffff008e82208: 10e20091  add	x16, x16, #0x38
0xfffffff008e8220c: 10420091  add	x16, x16, #0x10
0xfffffff008e82210: f10314aa  mov	x17, x20
0xfffffff008e82214: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e82218: 300ac1da  pacda	x16, x17
0xfffffff008e8221c: 900200f9  str	x16, [x20]
