; Candidate 6447
; ADRP+ADD at VM 0xfffffff00882bf34 (fileoff 0x1827f34): page=0x1fe9be000 add_imm=0xe80

0xfffffff00882beb4: 00050034  cbz	w0, #0xfffffff00882bf54
0xfffffff00882beb8: 400f8052  mov	w0, #0x7a
0xfffffff00882bebc: 573e0194  bl	#0xfffffff00887b818
0xfffffff00882bec0: f80300aa  mov	x24, x0
0xfffffff00882bec4: ba200294  bl	#0xfffffff0088b41ac
0xfffffff00882bec8: f70300aa  mov	x23, x0
0xfffffff00882becc: c0008052  mov	w0, #6
0xfffffff00882bed0: 603e0194  bl	#0xfffffff00887b850
0xfffffff00882bed4: 98010034  cbz	w24, #0xfffffff00882bf04
0xfffffff00882bed8: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff00882bedc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882bee0: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882bee4: 08690d91  add	x8, x8, #0x35a
0xfffffff00882bee8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882beec: 480f8052  mov	w8, #0x7a
0xfffffff00882bef0: 204fffd0  adrp	x0, #0xfffffff007211000
0xfffffff00882bef4: 00442b91  add	x0, x0, #0xad1
0xfffffff00882bef8: f72300a9  stp	x23, x8, [sp]
0xfffffff00882befc: 592dd697  bl	#0xfffffff007db7460
0xfffffff00882bf00: 15000014  b	#0xfffffff00882bf54
0xfffffff00882bf04: aa200294  bl	#0xfffffff0088b41ac
0xfffffff00882bf08: f70300aa  mov	x23, x0
0xfffffff00882bf0c: c0008052  mov	w0, #6
0xfffffff00882bf10: 503e0194  bl	#0xfffffff00887b850
0xfffffff00882bf14: e80316aa  mov	x8, x22
0xfffffff00882bf18: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00882bf1c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00882bf20: a84ffff0  adrp	x8, #0xfffffff007222000
0xfffffff00882bf24: 08690d91  add	x8, x8, #0x35a
0xfffffff00882bf28: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882bf2c: 480f8052  mov	w8, #0x7a
0xfffffff00882bf30: f72300a9  stp	x23, x8, [sp]
0xfffffff00882bf34: e04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882bf38: 00003a91  add	x0, x0, #0xe80
0xfffffff00882bf3c: e18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882bf40: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882bf44: 0351ffb0  adrp	x3, #0xfffffff00724c000
0xfffffff00882bf48: 63a41691  add	x3, x3, #0x5a9
0xfffffff00882bf4c: 02008052  mov	w2, #0
0xfffffff00882bf50: 781cec97  bl	#0xfffffff008333130
0xfffffff00882bf54: e00316aa  mov	x0, x22
0xfffffff00882bf58: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00882bf5c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00882bf60: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00882bf64: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00882bf68: ff430291  add	sp, sp, #0x90
0xfffffff00882bf6c: ff0f5fd6  retab	
0xfffffff00882bf70: 7f2303d5  pacibsp	
0xfffffff00882bf74: ffc301d1  sub	sp, sp, #0x70
0xfffffff00882bf78: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00882bf7c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00882bf80: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00882bf84: fd830191  add	x29, sp, #0x60
0xfffffff00882bf88: f30300aa  mov	x19, x0
0xfffffff00882bf8c: 400f8052  mov	w0, #0x7a
0xfffffff00882bf90: c1008052  mov	w1, #6
0xfffffff00882bf94: 0f3e0194  bl	#0xfffffff00887b7d0
0xfffffff00882bf98: 40020034  cbz	w0, #0xfffffff00882bfe0
0xfffffff00882bf9c: 400f8052  mov	w0, #0x7a
0xfffffff00882bfa0: 1e3e0194  bl	#0xfffffff00887b818
0xfffffff00882bfa4: f50300aa  mov	x21, x0
0xfffffff00882bfa8: 81200294  bl	#0xfffffff0088b41ac
0xfffffff00882bfac: f40300aa  mov	x20, x0
0xfffffff00882bfb0: c0008052  mov	w0, #6
