; Candidate 3496
; ADRP+ADD at VM 0xfffffff00874248c (fileoff 0x173e48c): page=0x1fe9ef000 add_imm=0xd90

0xfffffff00874240c: 23008052  mov	w3, #1
0xfffffff008742410: 7fa40094  bl	#0xfffffff00876b60c
0xfffffff008742414: 884a4a39  ldrb	w8, [x20, #0x292]
0xfffffff008742418: c8000034  cbz	w8, #0xfffffff008742430
0xfffffff00874241c: 885240f9  ldr	x8, [x20, #0xa0]
0xfffffff008742420: 007975f8  ldr	x0, [x8, x21, lsl #3]
0xfffffff008742424: e10317aa  mov	x1, x23
0xfffffff008742428: 02008052  mov	w2, #0
0xfffffff00874242c: 0c560194  bl	#0xfffffff008797c5c
0xfffffff008742430: 885240f9  ldr	x8, [x20, #0xa0]
0xfffffff008742434: 007975f8  ldr	x0, [x8, x21, lsl #3]
0xfffffff008742438: e5430291  add	x5, sp, #0x90
0xfffffff00874243c: e10317aa  mov	x1, x23
0xfffffff008742440: e20315aa  mov	x2, x21
0xfffffff008742444: e30318aa  mov	x3, x24
0xfffffff008742448: e41f40f9  ldr	x4, [sp, #0x38]
0xfffffff00874244c: 6d3c0194  bl	#0xfffffff008791600
0xfffffff008742450: e15f40b9  ldr	w1, [sp, #0x5c]
0xfffffff008742454: a100f837  tbnz	w1, #0x1f, #0xfffffff008742468
0xfffffff008742458: 480340f9  ldr	x8, [x26]
0xfffffff00874245c: 000540f9  ldr	x0, [x8, #8]
0xfffffff008742460: e24b40b9  ldr	w2, [sp, #0x48]
0xfffffff008742464: 06d4ff97  bl	#0xfffffff00873747c
0xfffffff008742468: 400340f9  ldr	x0, [x26]
0xfffffff00874246c: e1030191  add	x1, sp, #0x40
0xfffffff008742470: 482f0094  bl	#0xfffffff00874e190
0xfffffff008742474: 40020034  cbz	w0, #0xfffffff0087424bc
0xfffffff008742478: e84b40b9  ldr	w8, [sp, #0x48]
0xfffffff00874247c: ea6340b9  ldr	w10, [sp, #0x60]
0xfffffff008742480: e90313aa  mov	x9, x19
0xfffffff008742484: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff008742488: e80300f9  str	x8, [sp]
0xfffffff00874248c: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742490: 00403691  add	x0, x0, #0xd90
0xfffffff008742494: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008742498: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874249c: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087424a0: 63bc3f91  add	x3, x3, #0xfef
0xfffffff0087424a4: 02008052  mov	w2, #0
0xfffffff0087424a8: 22c3ef97  bl	#0xfffffff008333130
0xfffffff0087424ac: 04000014  b	#0xfffffff0087424bc
0xfffffff0087424b0: 3c008052  mov	w28, #1
0xfffffff0087424b4: 98278052  mov	w24, #0x13c
0xfffffff0087424b8: 57f9ff36  tbz	w23, #0x1f, #0xfffffff0087423e0
0xfffffff0087424bc: c0120011  add	w0, w22, #4
0xfffffff0087424c0: 010080d2  mov	x1, #0
0xfffffff0087424c4: 020080d2  mov	x2, #0
0xfffffff0087424c8: 030080d2  mov	x3, #0
0xfffffff0087424cc: 040080d2  mov	x4, #0
0xfffffff0087424d0: 050080d2  mov	x5, #0
0xfffffff0087424d4: 8ceee897  bl	#0xfffffff00817df04
0xfffffff0087424d8: 21ffff17  b	#0xfffffff00874215c
0xfffffff0087424dc: c8010000  udf	#0x1c8
0xfffffff0087424e0: 50020000  udf	#0x250
0xfffffff0087424e4: c8010000  udf	#0x1c8
0xfffffff0087424e8: 1c010000  udf	#0x11c
0xfffffff0087424ec: 0c000000  udf	#0xc
0xfffffff0087424f0: 1c010000  udf	#0x11c
0xfffffff0087424f4: 68010000  udf	#0x168
0xfffffff0087424f8: 50020000  udf	#0x250
0xfffffff0087424fc: 74010000  udf	#0x174
0xfffffff008742500: 54000000  udf	#0x54
0xfffffff008742504: 0c000000  udf	#0xc
0xfffffff008742508: a8000000  udf	#0xa8
