; Candidate 7779
; ADRP+ADD at VM 0xfffffff00887efa0 (fileoff 0x187afa0): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887ef20: e92b05a9  stp	x9, x10, [sp, #0x50]
0xfffffff00887ef24: e82700f9  str	x8, [sp, #0x48]
0xfffffff00887ef28: e083833c  stur	q0, [sp, #0x38]
0xfffffff00887ef2c: f3af02a9  stp	x19, x11, [sp, #0x28]
0xfffffff00887ef30: 88078052  mov	w8, #0x3c
0xfffffff00887ef34: e81300f9  str	x8, [sp, #0x20]
0xfffffff00887ef38: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ef3c: 08d91891  add	x8, x8, #0x636
0xfffffff00887ef40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887ef44: 680d8052  mov	w8, #0x6b
0xfffffff00887ef48: 604dffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00887ef4c: 00a81d91  add	x0, x0, #0x76a
0xfffffff00887ef50: f52300a9  stp	x21, x8, [sp]
0xfffffff00887ef54: 43e1d497  bl	#0xfffffff007db7460
0xfffffff00887ef58: 15008052  mov	w21, #0
0xfffffff00887ef5c: 62000014  b	#0xfffffff00887f0e4
0xfffffff00887ef60: 93d40094  bl	#0xfffffff0088b41ac
0xfffffff00887ef64: f60300aa  mov	x22, x0
0xfffffff00887ef68: 80008052  mov	w0, #4
0xfffffff00887ef6c: 39f2ff97  bl	#0xfffffff00887b850
0xfffffff00887ef70: e80314aa  mov	x8, x20
0xfffffff00887ef74: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff00887ef78: 884cffd0  adrp	x8, #0xfffffff007210000
0xfffffff00887ef7c: 08553791  add	x8, x8, #0xdd5
0xfffffff00887ef80: e9058052  mov	w9, #0x2f
0xfffffff00887ef84: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00887ef88: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ef8c: 08d91891  add	x8, x8, #0x636
0xfffffff00887ef90: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887ef94: 680d8052  mov	w8, #0x6b
0xfffffff00887ef98: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887ef9c: f60300f9  str	x22, [sp]
0xfffffff00887efa0: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887efa4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887efa8: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887efac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887efb0: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887efb4: 63441591  add	x3, x3, #0x551
0xfffffff00887efb8: 02008052  mov	w2, #0
0xfffffff00887efbc: 5dd0ea97  bl	#0xfffffff008333130
0xfffffff00887efc0: 16008052  mov	w22, #0
0xfffffff00887efc4: f57c8012  mov	w21, #-0x3e8
0xfffffff00887efc8: 19000014  b	#0xfffffff00887f02c
0xfffffff00887efcc: 78d40094  bl	#0xfffffff0088b41ac
0xfffffff00887efd0: f50300aa  mov	x21, x0
0xfffffff00887efd4: 80008052  mov	w0, #4
0xfffffff00887efd8: 1ef2ff97  bl	#0xfffffff00887b850
0xfffffff00887efdc: e80314aa  mov	x8, x20
0xfffffff00887efe0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00887efe4: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887efe8: 08991a91  add	x8, x8, #0x6a6
0xfffffff00887efec: 69058052  mov	w9, #0x2b
0xfffffff00887eff0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887eff4: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887eff8: 08d91891  add	x8, x8, #0x636
0xfffffff00887effc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887f000: 680d8052  mov	w8, #0x6b
0xfffffff00887f004: f52300a9  stp	x21, x8, [sp]
0xfffffff00887f008: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887f00c: 00003a91  add	x0, x0, #0xe80
0xfffffff00887f010: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887f014: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887f018: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f01c: 63301491  add	x3, x3, #0x50c
