; Candidate 16363
; ADRP+ADD at VM 0xfffffff009e70d40 (fileoff 0x2e6cd40): page=0x1fd9cf000 add_imm=0xdf2

0xfffffff009e70cc0: e8ff40f9  ldr	x8, [sp, #0x1f8]
0xfffffff009e70cc4: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009e70cc8: 015940f9  ldr	x1, [x8, #0xb0]
0xfffffff009e70ccc: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff009e70cd0: 02f94092  and	x2, x8, #0x7fffffffffffffff
0xfffffff009e70cd4: 03fd7fd3  lsr	x3, x8, #0x3f
0xfffffff009e70cd8: e00314aa  mov	x0, x20
0xfffffff009e70cdc: 04008052  mov	w4, #0
0xfffffff009e70ce0: 0d180194  bl	#0xfffffff009eb6d14
0xfffffff009e70ce4: f90300aa  mov	x25, x0
0xfffffff009e70ce8: a0f7ff35  cbnz	w0, #0xfffffff009e70bdc
0xfffffff009e70cec: e04fc03d  ldr	q0, [sp, #0x130]
0xfffffff009e70cf0: 1800261e  fmov	w24, s0
0xfffffff009e70cf4: e52341f9  ldr	x5, [sp, #0x240]
0xfffffff009e70cf8: e00314aa  mov	x0, x20
0xfffffff009e70cfc: e1ff40f9  ldr	x1, [sp, #0x1f8]
0xfffffff009e70d00: e2f340f9  ldr	x2, [sp, #0x1e0]
0xfffffff009e70d04: e30318aa  mov	x3, x24
0xfffffff009e70d08: 04008052  mov	w4, #0
0xfffffff009e70d0c: e32c0194  bl	#0xfffffff009ebc098
0xfffffff009e70d10: e0020034  cbz	w0, #0xfffffff009e70d6c
0xfffffff009e70d14: f90300aa  mov	x25, x0
0xfffffff009e70d18: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70d1c: 080140f9  ldr	x8, [x8]
0xfffffff009e70d20: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70d24: f86702a9  stp	x24, x25, [sp, #0x20]
0xfffffff009e70d28: e9f340f9  ldr	x9, [sp, #0x1e0]
0xfffffff009e70d2c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e70d30: 2a758352  mov	w10, #0x1ba9
0xfffffff009e70d34: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70d38: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70d3c: e82b00a9  stp	x8, x10, [sp]
0xfffffff009e70d40: 60cefef0  adrp	x0, #0xfffffff00783f000
0xfffffff009e70d44: 00c83791  add	x0, x0, #0xdf2
0xfffffff009e70d48: afffff17  b	#0xfffffff009e70c04
0xfffffff009e70d4c: f90300aa  mov	x25, x0
0xfffffff009e70d50: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70d54: 080140f9  ldr	x8, [x8]
0xfffffff009e70d58: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70d5c: f8e701a9  stp	x24, x25, [sp, #0x18]
0xfffffff009e70d60: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e70d64: 88d88052  mov	w8, #0x6c4
0xfffffff009e70d68: c5feff17  b	#0xfffffff009e7087c
0xfffffff009e70d6c: e04fc03d  ldr	q0, [sp, #0x130]
0xfffffff009e70d70: 183c0c0e  mov	w24, v0.s[1]
0xfffffff009e70d74: e52341f9  ldr	x5, [sp, #0x240]
0xfffffff009e70d78: e00314aa  mov	x0, x20
0xfffffff009e70d7c: e1ff40f9  ldr	x1, [sp, #0x1f8]
0xfffffff009e70d80: e2d740f9  ldr	x2, [sp, #0x1a8]
0xfffffff009e70d84: e30318aa  mov	x3, x24
0xfffffff009e70d88: 04008052  mov	w4, #0
0xfffffff009e70d8c: c32c0194  bl	#0xfffffff009ebc098
0xfffffff009e70d90: e0010034  cbz	w0, #0xfffffff009e70dcc
0xfffffff009e70d94: f90300aa  mov	x25, x0
0xfffffff009e70d98: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e70d9c: 080140f9  ldr	x8, [x8]
0xfffffff009e70da0: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e70da4: f86702a9  stp	x24, x25, [sp, #0x20]
0xfffffff009e70da8: e9d740f9  ldr	x9, [sp, #0x1a8]
0xfffffff009e70dac: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e70db0: aa758352  mov	w10, #0x1bad
0xfffffff009e70db4: 68cefef0  adrp	x8, #0xfffffff00783f000
0xfffffff009e70db8: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e70dbc: e82b00a9  stp	x8, x10, [sp]
