; Candidate 7187
; ADRP+ADD at VM 0xfffffff00885e080 (fileoff 0x185a080): page=0x1fe98b000 add_imm=0xe80

0xfffffff00885e000: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00885e004: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00885e008: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e00c: 08792491  add	x8, x8, #0x91e
0xfffffff00885e010: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885e014: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e018: 08811191  add	x8, x8, #0x460
0xfffffff00885e01c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885e020: 880c8052  mov	w8, #0x64
0xfffffff00885e024: 404effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885e028: 00b02391  add	x0, x0, #0x8ec
0xfffffff00885e02c: f72300a9  stp	x23, x8, [sp]
0xfffffff00885e030: 0c65d597  bl	#0xfffffff007db7460
0xfffffff00885e034: 940300b5  cbnz	x20, #0xfffffff00885e0a4
0xfffffff00885e038: 3a000014  b	#0xfffffff00885e120
0xfffffff00885e03c: 5c580194  bl	#0xfffffff0088b41ac
0xfffffff00885e040: f70300aa  mov	x23, x0
0xfffffff00885e044: 00018052  mov	w0, #8
0xfffffff00885e048: 02760094  bl	#0xfffffff00887b850
0xfffffff00885e04c: e80316aa  mov	x8, x22
0xfffffff00885e050: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885e054: ea0315aa  mov	x10, x21
0xfffffff00885e058: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff00885e05c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00885e060: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e064: 08792491  add	x8, x8, #0x91e
0xfffffff00885e068: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885e06c: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e070: 08811191  add	x8, x8, #0x460
0xfffffff00885e074: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885e078: 880c8052  mov	w8, #0x64
0xfffffff00885e07c: f72300a9  stp	x23, x8, [sp]
0xfffffff00885e080: 404cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885e084: 00003a91  add	x0, x0, #0xe80
0xfffffff00885e088: 418dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885e08c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885e090: a34ffff0  adrp	x3, #0xfffffff007255000
0xfffffff00885e094: 63241891  add	x3, x3, #0x609
0xfffffff00885e098: 02008052  mov	w2, #0
0xfffffff00885e09c: 2554eb97  bl	#0xfffffff008333130
0xfffffff00885e0a0: 140400b4  cbz	x20, #0xfffffff00885e120
0xfffffff00885e0a4: bf1e0171  cmp	w21, #0x47
0xfffffff00885e0a8: c9030054  b.ls	#0xfffffff00885e120
0xfffffff00885e0ac: 800c8052  mov	w0, #0x64
0xfffffff00885e0b0: e1008052  mov	w1, #7
0xfffffff00885e0b4: c7750094  bl	#0xfffffff00887b7d0
0xfffffff00885e0b8: c00a0034  cbz	w0, #0xfffffff00885e210
0xfffffff00885e0bc: 800c8052  mov	w0, #0x64
0xfffffff00885e0c0: d6750094  bl	#0xfffffff00887b818
0xfffffff00885e0c4: f80300aa  mov	x24, x0
0xfffffff00885e0c8: 39580194  bl	#0xfffffff0088b41ac
0xfffffff00885e0cc: f70300aa  mov	x23, x0
0xfffffff00885e0d0: e0008052  mov	w0, #7
0xfffffff00885e0d4: df750094  bl	#0xfffffff00887b850
0xfffffff00885e0d8: b8060034  cbz	w24, #0xfffffff00885e1ac
0xfffffff00885e0dc: 88024079  ldrh	w8, [x20]
0xfffffff00885e0e0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885e0e4: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff00885e0e8: 883f8052  mov	w8, #0x1fc
0xfffffff00885e0ec: 494effb0  adrp	x9, #0xfffffff007227000
0xfffffff00885e0f0: 29792491  add	x9, x9, #0x91e
0xfffffff00885e0f4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00885e0f8: 484effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885e0fc: 08811191  add	x8, x8, #0x460
