; Candidate 14167
; ADRP+ADD at VM 0xfffffff0097488f8 (fileoff 0x27448f8): page=0xc43000 add_imm=0xd08

0xfffffff009748878: 9ddefd17  b	#0xfffffff0096c02ec
0xfffffff00974887c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009748880: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009748884: ff0f5fd6  retab	
0xfffffff009748888: 5f2403d5  bti	c
0xfffffff00974888c: 9a6fae17  b	#0xfffffff0082e46f4
0xfffffff009748890: 7f2303d5  pacibsp	
0xfffffff009748894: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009748898: fd030091  mov	x29, sp
0xfffffff00974889c: 60f2fef0  adrp	x0, #0xfffffff007597000
0xfffffff0097488a0: 00142991  add	x0, x0, #0xa45
0xfffffff0097488a4: bb82af97  bl	#0xfffffff008329390
0xfffffff0097488a8: 086200f0  adrp	x8, #0xfffffff00a38b000
0xfffffff0097488ac: 008106f9  str	x0, [x8, #0xd00]
0xfffffff0097488b0: 006200f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097488b4: 00203491  add	x0, x0, #0xd08
0xfffffff0097488b8: 61f2fef0  adrp	x1, #0xfffffff007597000
0xfffffff0097488bc: 21702991  add	x1, x1, #0xa5c
0xfffffff0097488c0: 6226ffd0  adrp	x2, #0xfffffff007c16000
0xfffffff0097488c4: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff0097488c8: 03128052  mov	w3, #0x90
0xfffffff0097488cc: 9b6cae97  bl	#0xfffffff0082e3b38
0xfffffff0097488d0: 5027fff0  adrp	x16, #0xfffffff007c33000
0xfffffff0097488d4: 10623691  add	x16, x16, #0xd98
0xfffffff0097488d8: 10420091  add	x16, x16, #0x10
0xfffffff0097488dc: f10300aa  mov	x17, x0
0xfffffff0097488e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097488e4: 300ac1da  pacda	x16, x17
0xfffffff0097488e8: 100000f9  str	x16, [x0]
0xfffffff0097488ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097488f0: ff0f5fd6  retab	
0xfffffff0097488f4: 5f2403d5  bti	c
0xfffffff0097488f8: 006200f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097488fc: 00203491  add	x0, x0, #0xd08
0xfffffff009748900: 7d6fae17  b	#0xfffffff0082e46f4
0xfffffff009748904: 7f2303d5  pacibsp	
0xfffffff009748908: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00974890c: fd030091  mov	x29, sp
0xfffffff009748910: 61f2fef0  adrp	x1, #0xfffffff007597000
0xfffffff009748914: 21b82b91  add	x1, x1, #0xaee
0xfffffff009748918: 026200f0  adrp	x2, #0xfffffff00a38b000
0xfffffff00974891c: 42602f91  add	x2, x2, #0xbd8
0xfffffff009748920: 03318052  mov	w3, #0x188
0xfffffff009748924: 856cae97  bl	#0xfffffff0082e3b38
0xfffffff009748928: 7027ff90  adrp	x16, #0xfffffff007c34000
0xfffffff00974892c: 10c20f91  add	x16, x16, #0x3f0
0xfffffff009748930: 10420091  add	x16, x16, #0x10
0xfffffff009748934: f10300aa  mov	x17, x0
0xfffffff009748938: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974893c: 300ac1da  pacda	x16, x17
0xfffffff009748940: 100000f9  str	x16, [x0]
0xfffffff009748944: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009748948: ff0f5fd6  retab	
0xfffffff00974894c: 5f2403d5  bti	c
0xfffffff009748950: 696fae17  b	#0xfffffff0082e46f4
0xfffffff009748954: 7f2303d5  pacibsp	
0xfffffff009748958: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00974895c: fd030091  mov	x29, sp
0xfffffff009748960: a8c5ff97  bl	#0xfffffff00973a000
0xfffffff009748964: 5027fff0  adrp	x16, #0xfffffff007c33000
0xfffffff009748968: 10c23891  add	x16, x16, #0xe30
0xfffffff00974896c: 10420091  add	x16, x16, #0x10
0xfffffff009748970: f10300aa  mov	x17, x0
0xfffffff009748974: 31b4f9f2  movk	x17, #0xcda1, lsl #48
