; Candidate 14620
; ADRP+ADD at VM 0xfffffff00986dab4 (fileoff 0x2869ab4): page=0xb26000 add_imm=0xd20

0xfffffff00986da34: e90310aa  mov	x9, x16
0xfffffff00986da38: 01018052  mov	w1, #8
0xfffffff00986da3c: f10309aa  mov	x17, x9
0xfffffff00986da40: b1d8ebf2  movk	x17, #0x5ec5, lsl #48
0xfffffff00986da44: 11093fd7  blraa	x8, x17
0xfffffff00986da48: e0588052  mov	w0, #0x2c7
0xfffffff00986da4c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00986da50: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00986da54: ff0f5fd6  retab	
0xfffffff00986da58: 5f2403d5  bti	c
0xfffffff00986da5c: 26dba917  b	#0xfffffff0082e46f4
0xfffffff00986da60: 7f2303d5  pacibsp	
0xfffffff00986da64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986da68: fd030091  mov	x29, sp
0xfffffff00986da6c: 205900d0  adrp	x0, #0xfffffff00a393000
0xfffffff00986da70: 00803491  add	x0, x0, #0xd20
0xfffffff00986da74: e1eafe90  adrp	x1, #0xfffffff0075c9000
0xfffffff00986da78: 21a82b91  add	x1, x1, #0xaea
0xfffffff00986da7c: 821fff90  adrp	x2, #0xfffffff007c5d000
0xfffffff00986da80: 42b044f9  ldr	x2, [x2, #0x960]
0xfffffff00986da84: 03118052  mov	w3, #0x88
0xfffffff00986da88: 2cd8a997  bl	#0xfffffff0082e3b38
0xfffffff00986da8c: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986da90: 10823091  add	x16, x16, #0xc20
0xfffffff00986da94: 10420091  add	x16, x16, #0x10
0xfffffff00986da98: f10300aa  mov	x17, x0
0xfffffff00986da9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00986daa0: 300ac1da  pacda	x16, x17
0xfffffff00986daa4: 100000f9  str	x16, [x0]
0xfffffff00986daa8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00986daac: ff0f5fd6  retab	
0xfffffff00986dab0: 5f2403d5  bti	c
0xfffffff00986dab4: 205900d0  adrp	x0, #0xfffffff00a393000
0xfffffff00986dab8: 00803491  add	x0, x0, #0xd20
0xfffffff00986dabc: 0edba917  b	#0xfffffff0082e46f4
0xfffffff00986dac0: 7f2303d5  pacibsp	
0xfffffff00986dac4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986dac8: fd030091  mov	x29, sp
0xfffffff00986dacc: e1eafe90  adrp	x1, #0xfffffff0075c9000
0xfffffff00986dad0: 21c42c91  add	x1, x1, #0xb31
0xfffffff00986dad4: 821fff90  adrp	x2, #0xfffffff007c5d000
0xfffffff00986dad8: 42ac44f9  ldr	x2, [x2, #0x958]
0xfffffff00986dadc: 030b8052  mov	w3, #0x58
0xfffffff00986dae0: 16d8a997  bl	#0xfffffff0082e3b38
0xfffffff00986dae4: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986dae8: 10623591  add	x16, x16, #0xd58
0xfffffff00986daec: 10420091  add	x16, x16, #0x10
0xfffffff00986daf0: f10300aa  mov	x17, x0
0xfffffff00986daf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00986daf8: 300ac1da  pacda	x16, x17
0xfffffff00986dafc: 100000f9  str	x16, [x0]
0xfffffff00986db00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00986db04: ff0f5fd6  retab	
0xfffffff00986db08: 5f2403d5  bti	c
0xfffffff00986db0c: fadaa917  b	#0xfffffff0082e46f4
0xfffffff00986db10: 7f2303d5  pacibsp	
0xfffffff00986db14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00986db18: fd030091  mov	x29, sp
0xfffffff00986db1c: 14e7a997  bl	#0xfffffff0082e776c
0xfffffff00986db20: 901fffd0  adrp	x16, #0xfffffff007c5f000
0xfffffff00986db24: 10e23291  add	x16, x16, #0xcb8
0xfffffff00986db28: 10420091  add	x16, x16, #0x10
0xfffffff00986db2c: f10300aa  mov	x17, x0
0xfffffff00986db30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
