; Candidate 8076
; ADRP+ADD at VM 0xfffffff008892e04 (fileoff 0x188ee04): page=0x1fe957000 add_imm=0xe80

0xfffffff008892d84: a5a2ff97  bl	#0xfffffff00887b818
0xfffffff008892d88: f70300aa  mov	x23, x0
0xfffffff008892d8c: 08850094  bl	#0xfffffff0088b41ac
0xfffffff008892d90: f60300aa  mov	x22, x0
0xfffffff008892d94: 80008052  mov	w0, #4
0xfffffff008892d98: aea2ff97  bl	#0xfffffff00887b850
0xfffffff008892d9c: 77130034  cbz	w23, #0xfffffff008893008
0xfffffff008892da0: e80315aa  mov	x8, x21
0xfffffff008892da4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892da8: e8430291  add	x8, sp, #0x90
0xfffffff008892dac: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892db0: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892db4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892db8: 49ac8052  mov	w9, #0x562
0xfffffff008892dbc: ebfdff17  b	#0xfffffff008892568
0xfffffff008892dc0: fb840094  bl	#0xfffffff0088b41ac
0xfffffff008892dc4: f60300aa  mov	x22, x0
0xfffffff008892dc8: 80008052  mov	w0, #4
0xfffffff008892dcc: a1a2ff97  bl	#0xfffffff00887b850
0xfffffff008892dd0: e80315aa  mov	x8, x21
0xfffffff008892dd4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892dd8: e8430291  add	x8, sp, #0x90
0xfffffff008892ddc: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892de0: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892de4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892de8: c9a28052  mov	w9, #0x516
0xfffffff008892dec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892df0: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892df4: 08611691  add	x8, x8, #0x598
0xfffffff008892df8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892dfc: 88098052  mov	w8, #0x4c
0xfffffff008892e00: f62300a9  stp	x22, x8, [sp]
0xfffffff008892e04: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892e08: 00003a91  add	x0, x0, #0xe80
0xfffffff008892e0c: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892e10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892e14: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892e18: 63043291  add	x3, x3, #0xc81
0xfffffff008892e1c: 02008052  mov	w2, #0
0xfffffff008892e20: c480ea97  bl	#0xfffffff008333130
0xfffffff008892e24: 59ffff17  b	#0xfffffff008892b88
0xfffffff008892e28: e1840094  bl	#0xfffffff0088b41ac
0xfffffff008892e2c: f60300aa  mov	x22, x0
0xfffffff008892e30: 80008052  mov	w0, #4
0xfffffff008892e34: 87a2ff97  bl	#0xfffffff00887b850
0xfffffff008892e38: e80315aa  mov	x8, x21
0xfffffff008892e3c: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892e40: e8430291  add	x8, sp, #0x90
0xfffffff008892e44: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892e48: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892e4c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892e50: 09a58052  mov	w9, #0x528
0xfffffff008892e54: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892e58: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892e5c: 08611691  add	x8, x8, #0x598
0xfffffff008892e60: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892e64: 88098052  mov	w8, #0x4c
0xfffffff008892e68: f62300a9  stp	x22, x8, [sp]
0xfffffff008892e6c: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892e70: 00003a91  add	x0, x0, #0xe80
0xfffffff008892e74: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892e78: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892e7c: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892e80: 63f83291  add	x3, x3, #0xcbe
