; Candidate 145
; ADRP+ADD at VM 0xfffffff007e2b4a4 (fileoff 0xe274a4): page=0x23a6000 add_imm=0xd20

0xfffffff007e2b424: 5921099b  madd	x25, x10, x9, x8
0xfffffff007e2b428: 793a00f9  str	x25, [x19, #0x70]
0xfffffff007e2b42c: e00319aa  mov	x0, x25
0xfffffff007e2b430: e10317aa  mov	x1, x23
0xfffffff007e2b434: 22408052  mov	w2, #0x201
0xfffffff007e2b438: c3018052  mov	w3, #0xe
0xfffffff007e2b43c: a9600094  bl	#0xfffffff007e436e0
0xfffffff007e2b440: e00313aa  mov	x0, x19
0xfffffff007e2b444: e10318aa  mov	x1, x24
0xfffffff007e2b448: e20317aa  mov	x2, x23
0xfffffff007e2b44c: d7240094  bl	#0xfffffff007e347a8
0xfffffff007e2b450: f80300aa  mov	x24, x0
0xfffffff007e2b454: e0031aaa  mov	x0, x26
0xfffffff007e2b458: ac09fe97  bl	#0xfffffff007dadb08
0xfffffff007e2b45c: 98010034  cbz	w24, #0xfffffff007e2b48c
0xfffffff007e2b460: e00319aa  mov	x0, x25
0xfffffff007e2b464: e10317aa  mov	x1, x23
0xfffffff007e2b468: 02408052  mov	w2, #0x200
0xfffffff007e2b46c: c3018052  mov	w3, #0xe
0xfffffff007e2b470: a2610094  bl	#0xfffffff007e43af8
0xfffffff007e2b474: e00313aa  mov	x0, x19
0xfffffff007e2b478: 01008052  mov	w1, #0
0xfffffff007e2b47c: 22008052  mov	w2, #1
0xfffffff007e2b480: e30316aa  mov	x3, x22
0xfffffff007e2b484: 9f000094  bl	#0xfffffff007e2b700
0xfffffff007e2b488: 61000014  b	#0xfffffff007e2b60c
0xfffffff007e2b48c: 9f060071  cmp	w20, #1
0xfffffff007e2b490: e2079f1a  cset	w2, ne
0xfffffff007e2b494: e00313aa  mov	x0, x19
0xfffffff007e2b498: 21008052  mov	w1, #1
0xfffffff007e2b49c: e30316aa  mov	x3, x22
0xfffffff007e2b4a0: 98000094  bl	#0xfffffff007e2b700
0xfffffff007e2b4a4: 201d01d0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2b4a8: 00803491  add	x0, x0, #0xd20
0xfffffff007e2b4ac: 7c04fe97  bl	#0xfffffff007dac69c
0xfffffff007e2b4b0: 361d01d0  adrp	x22, #0xfffffff00a1d1000
0xfffffff007e2b4b4: d6a23491  add	x22, x22, #0xd28
0xfffffff007e2b4b8: 40030035  cbnz	w0, #0xfffffff007e2b520
0xfffffff007e2b4bc: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007e2b4c0: 69220091  add	x9, x19, #8
0xfffffff007e2b4c4: e20308aa  mov	x2, x8
0xfffffff007e2b4c8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e2b4cc: 5f00086b  cmp	w2, w8
0xfffffff007e2b4d0: e10d0054  b.ne	#0xfffffff007e2b68c
0xfffffff007e2b4d4: 080080d2  mov	x8, #0
0xfffffff007e2b4d8: a91a44b9  ldr	w9, [x21, #0x418]
0xfffffff007e2b4dc: aa4a41b9  ldr	w10, [x21, #0x148]
0xfffffff007e2b4e0: 4a050011  add	w10, w10, #1
0xfffffff007e2b4e4: aa4a01b9  str	w10, [x21, #0x148]
0xfffffff007e2b4e8: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2b4ec: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007e2b4f0: 1f0100f1  cmp	x8, #0
0xfffffff007e2b4f4: 410d0054  b.ne	#0xfffffff007e2b69c
0xfffffff007e2b4f8: 080080d2  mov	x8, #0
0xfffffff007e2b4fc: a91a44b9  ldr	w9, [x21, #0x418]
0xfffffff007e2b500: aa4a41b9  ldr	w10, [x21, #0x148]
0xfffffff007e2b504: 4a050011  add	w10, w10, #1
0xfffffff007e2b508: aa4a01b9  str	w10, [x21, #0x148]
0xfffffff007e2b50c: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2b510: 6a220091  add	x10, x19, #8
0xfffffff007e2b514: 497de8c8  casa	x8, x9, [x10]
0xfffffff007e2b518: 1f0100f1  cmp	x8, #0
0xfffffff007e2b51c: c10c0054  b.ne	#0xfffffff007e2b6b4
0xfffffff007e2b520: 772240f9  ldr	x23, [x19, #0x40]
