; Candidate 602
; ADRP+ADD at VM 0xfffffff007fa4d1c (fileoff 0xfa0d1c): page=0x1ff0c1000 add_imm=0xe21

0xfffffff007fa4c9c: 3d9ff697  bl	#0xfffffff007d4c990
0xfffffff007fa4ca0: bf731d38  sturb	wzr, [x29, #-0x29]
0xfffffff007fa4ca4: 68aa41b9  ldr	w8, [x19, #0x1a8]
0xfffffff007fa4ca8: 6976c179  ldrsh	w9, [x19, #0xba]
0xfffffff007fa4cac: a8273829  stp	w8, w9, [x29, #-0x40]
0xfffffff007fa4cb0: 08038052  mov	w8, #0x18
0xfffffff007fa4cb4: e83300b9  str	w8, [sp, #0x30]
0xfffffff007fa4cb8: a80301d1  sub	x8, x29, #0x40
0xfffffff007fa4cbc: e81f00f9  str	x8, [sp, #0x38]
0xfffffff007fa4cc0: 00008052  mov	w0, #0
0xfffffff007fa4cc4: d24d0194  bl	#0xfffffff007ff840c
0xfffffff007fa4cc8: e0830091  add	x0, sp, #0x20
0xfffffff007fa4ccc: 01008052  mov	w1, #0
0xfffffff007fa4cd0: 99f60794  bl	#0xfffffff0081a2734
0xfffffff007fa4cd4: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff007fa4cd8: 091101f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007fa4cdc: 29010091  add	x9, x9, #0
0xfffffff007fa4ce0: 290140f9  ldr	x9, [x9]
0xfffffff007fa4ce4: 3f0108eb  cmp	x9, x8
0xfffffff007fa4ce8: 41030054  b.ne	#0xfffffff007fa4d50
0xfffffff007fa4cec: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff007fa4cf0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff007fa4cf4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff007fa4cf8: ff430391  add	sp, sp, #0xd0
0xfffffff007fa4cfc: ff0f5fd6  retab	
0xfffffff007fa4d00: 08e38152  mov	w8, #0xf18
0xfffffff007fa4d04: 0986ffb0  adrp	x9, #0xfffffff007065000
0xfffffff007fa4d08: 29392291  add	x9, x9, #0x88e
0xfffffff007fa4d0c: 0a86ffb0  adrp	x10, #0xfffffff007065000
0xfffffff007fa4d10: 4a213991  add	x10, x10, #0xe48
0xfffffff007fa4d14: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fa4d18: ea0700a9  stp	x10, x1, [sp]
0xfffffff007fa4d1c: 0086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa4d20: 00843891  add	x0, x0, #0xe21
0xfffffff007fa4d24: fabd1394  bl	#0xfffffff00849450c
0xfffffff007fa4d28: a8e38152  mov	w8, #0xf1d
0xfffffff007fa4d2c: 0986ffb0  adrp	x9, #0xfffffff007065000
0xfffffff007fa4d30: 29392291  add	x9, x9, #0x88e
0xfffffff007fa4d34: 0a86ffb0  adrp	x10, #0xfffffff007065000
0xfffffff007fa4d38: 4a213991  add	x10, x10, #0xe48
0xfffffff007fa4d3c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fa4d40: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007fa4d44: 0086ffb0  adrp	x0, #0xfffffff007065000
0xfffffff007fa4d48: 004c3991  add	x0, x0, #0xe53
0xfffffff007fa4d4c: f0bd1394  bl	#0xfffffff00849450c
0xfffffff007fa4d50: 3fe4f697  bl	#0xfffffff007d5de4c
0xfffffff007fa4d54: 7f2303d5  pacibsp	
0xfffffff007fa4d58: ff4305d1  sub	sp, sp, #0x150
0xfffffff007fa4d5c: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff007fa4d60: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff007fa4d64: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff007fa4d68: fd030591  add	x29, sp, #0x140
0xfffffff007fa4d6c: f40301aa  mov	x20, x1
0xfffffff007fa4d70: 081101f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007fa4d74: 08010091  add	x8, x8, #0
0xfffffff007fa4d78: 080140f9  ldr	x8, [x8]
0xfffffff007fa4d7c: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff007fa4d80: e20b0129  stp	w2, w2, [sp, #8]
0xfffffff007fa4d84: e8430291  add	x8, sp, #0x90
0xfffffff007fa4d88: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fa4d8c: 000103ad  stp	q0, q0, [x8, #0x60]
0xfffffff007fa4d90: 000102ad  stp	q0, q0, [x8, #0x40]
0xfffffff007fa4d94: 000101ad  stp	q0, q0, [x8, #0x20]
0xfffffff007fa4d98: 000100ad  stp	q0, q0, [x8]
