; Candidate 13776
; ADRP+ADD at VM 0xfffffff00957ecb0 (fileoff 0x257acb0): page=0x1fdfe0000 add_imm=0xe49

0xfffffff00957ec30: 77eda697  bl	#0xfffffff007f3a20c
0xfffffff00957ec34: 168840b9  ldr	w22, [x0, #0x88]
0xfffffff00957ec38: e00314aa  mov	x0, x20
0xfffffff00957ec3c: 1beda697  bl	#0xfffffff007f3a0a8
0xfffffff00957ec40: f1e8a697  bl	#0xfffffff007f39004
0xfffffff00957ec44: 17700d91  add	x23, x0, #0x35c
0xfffffff00957ec48: e00314aa  mov	x0, x20
0xfffffff00957ec4c: 17eda697  bl	#0xfffffff007f3a0a8
0xfffffff00957ec50: 89e8a697  bl	#0xfffffff007f38e74
0xfffffff00957ec54: 08801191  add	x8, x0, #0x460
0xfffffff00957ec58: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff00957ec5c: f35b00a9  stp	x19, x22, [sp]
0xfffffff00957ec60: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ec64: 00c41891  add	x0, x0, #0x631
0xfffffff00957ec68: fee1a097  bl	#0xfffffff007db7460
0xfffffff00957ec6c: e00314aa  mov	x0, x20
0xfffffff00957ec70: 0eeda697  bl	#0xfffffff007f3a0a8
0xfffffff00957ec74: e4e8a697  bl	#0xfffffff007f39004
0xfffffff00957ec78: 01008052  mov	w1, #0
0xfffffff00957ec7c: a34b0094  bl	#0xfffffff009591b08
0xfffffff00957ec80: e00315aa  mov	x0, x21
0xfffffff00957ec84: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00957ec88: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00957ec8c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00957ec90: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00957ec94: ffc30191  add	sp, sp, #0x70
0xfffffff00957ec98: ff0f5fd6  retab	
0xfffffff00957ec9c: af280035  cbnz	w15, #0xfffffff00957f1b0
0xfffffff00957eca0: e8032b2a  mvn	w8, w11
0xfffffff00957eca4: c801080b  add	w8, w14, w8
0xfffffff00957eca8: e18f00a9  stp	x1, x3, [sp, #8]
0xfffffff00957ecac: e80300f9  str	x8, [sp]
0xfffffff00957ecb0: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ecb4: 00243991  add	x0, x0, #0xe49
0xfffffff00957ecb8: 5b000014  b	#0xfffffff00957ee24
0xfffffff00957ecbc: df060071  cmp	w22, #1
0xfffffff00957ecc0: 20290054  b.eq	#0xfffffff00957f1e4
0xfffffff00957ecc4: e8032c2a  mvn	w8, w12
0xfffffff00957ecc8: 08010b0b  add	w8, w8, w11
0xfffffff00957eccc: e84700a9  stp	x8, x17, [sp]
0xfffffff00957ecd0: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ecd4: 00c81a91  add	x0, x0, #0x6b2
0xfffffff00957ecd8: 53000014  b	#0xfffffff00957ee24
0xfffffff00957ecdc: df060071  cmp	w22, #1
0xfffffff00957ece0: a0290054  b.eq	#0xfffffff00957f214
0xfffffff00957ece4: c8010c4b  sub	w8, w14, w12
0xfffffff00957ece8: e84300a9  stp	x8, x16, [sp]
0xfffffff00957ecec: 00fffeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00957ecf0: 00d80391  add	x0, x0, #0xf6
0xfffffff00957ecf4: 4c000014  b	#0xfffffff00957ee24
0xfffffff00957ecf8: df060071  cmp	w22, #1
0xfffffff00957ecfc: 202a0054  b.eq	#0xfffffff00957f240
0xfffffff00957ed00: e8032b2a  mvn	w8, w11
0xfffffff00957ed04: e801080b  add	w8, w15, w8
0xfffffff00957ed08: e80700a9  stp	x8, x1, [sp]
0xfffffff00957ed0c: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ed10: 00881f91  add	x0, x0, #0x7e2
0xfffffff00957ed14: 44000014  b	#0xfffffff00957ee24
0xfffffff00957ed18: df060071  cmp	w22, #1
0xfffffff00957ed1c: 61060054  b.ne	#0xfffffff00957ede8
0xfffffff00957ed20: 08014079  ldrh	w8, [x8]
0xfffffff00957ed24: e9032c2a  mvn	w9, w12
0xfffffff00957ed28: 0801090b  add	w8, w8, w9
0xfffffff00957ed2c: 09024079  ldrh	w9, [x16]
