; Candidate 1144
; ADRP+ADD at VM 0xfffffff00823d5d4 (fileoff 0x12395d4): page=0x1fee4e000 add_imm=0xd5e

0xfffffff00823d554: b2a7ff97  bl	#0xfffffff00822741c
0xfffffff00823d558: e00313aa  mov	x0, x19
0xfffffff00823d55c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00823d560: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00823d564: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00823d568: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00823d56c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00823d570: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00823d574: ff030291  add	sp, sp, #0x80
0xfffffff00823d578: ff2303d5  autibsp	
0xfffffff00823d57c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00823d580: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00823d588
0xfffffff00823d584: 208e38d4  brk	#0xc471
0xfffffff00823d588: 43d5ff17  b	#0xfffffff008232a94
0xfffffff00823d58c: 400001b0  adrp	x0, #0xfffffff00a246000
0xfffffff00823d590: 00201191  add	x0, x0, #0x448
0xfffffff00823d594: e10314aa  mov	x1, x20
0xfffffff00823d598: 73bced97  bl	#0xfffffff007dac764
0xfffffff00823d59c: 10ffff17  b	#0xfffffff00823d1dc
0xfffffff00823d5a0: 6072ffd0  adrp	x0, #0xfffffff00708b000
0xfffffff00823d5a4: 00503091  add	x0, x0, #0xc14
0xfffffff00823d5a8: 6172ffd0  adrp	x1, #0xfffffff00708b000
0xfffffff00823d5ac: 21a43091  add	x1, x1, #0xc29
0xfffffff00823d5b0: e2ce8052  mov	w2, #0x677
0xfffffff00823d5b4: 98880994  bl	#0xfffffff00849f814
0xfffffff00823d5b8: 400001b0  adrp	x0, #0xfffffff00a246000
0xfffffff00823d5bc: 00201191  add	x0, x0, #0x448
0xfffffff00823d5c0: e10314aa  mov	x1, x20
0xfffffff00823d5c4: 68bced97  bl	#0xfffffff007dac764
0xfffffff00823d5c8: db1640f9  ldr	x27, [x22, #0x28]
0xfffffff00823d5cc: 9be2ffb5  cbnz	x27, #0xfffffff00823d21c
0xfffffff00823d5d0: 08ffff17  b	#0xfffffff00823d1f0
0xfffffff00823d5d4: 6072ffd0  adrp	x0, #0xfffffff00708b000
0xfffffff00823d5d8: 00783591  add	x0, x0, #0xd5e
0xfffffff00823d5dc: 6172ffd0  adrp	x1, #0xfffffff00708b000
0xfffffff00823d5e0: 21a43091  add	x1, x1, #0xc29
0xfffffff00823d5e4: 22d18052  mov	w2, #0x689
0xfffffff00823d5e8: 8b880994  bl	#0xfffffff00849f814
0xfffffff00823d5ec: 08d08052  mov	w8, #0x680
0xfffffff00823d5f0: 6972ffd0  adrp	x9, #0xfffffff00708b000
0xfffffff00823d5f4: 29cd2f91  add	x9, x9, #0xbf3
0xfffffff00823d5f8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00823d5fc: f62300a9  stp	x22, x8, [sp]
0xfffffff00823d600: a072ffb0  adrp	x0, #0xfffffff007092000
0xfffffff00823d604: 00243391  add	x0, x0, #0xcc9
0xfffffff00823d608: c15b0994  bl	#0xfffffff00849450c
0xfffffff00823d60c: 08d08052  mov	w8, #0x680
0xfffffff00823d610: 6972ffd0  adrp	x9, #0xfffffff00708b000
0xfffffff00823d614: 29cd2f91  add	x9, x9, #0xbf3
0xfffffff00823d618: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00823d61c: f62300a9  stp	x22, x8, [sp]
0xfffffff00823d620: a072ffb0  adrp	x0, #0xfffffff007092000
0xfffffff00823d624: 00703291  add	x0, x0, #0xc9c
0xfffffff00823d628: b95b0994  bl	#0xfffffff00849450c
0xfffffff00823d62c: 6872ffd0  adrp	x8, #0xfffffff00708b000
0xfffffff00823d630: 08cd2f91  add	x8, x8, #0xbf3
0xfffffff00823d634: 69ce8052  mov	w9, #0x673
0xfffffff00823d638: e82700a9  stp	x8, x9, [sp]
0xfffffff00823d63c: 6072ffd0  adrp	x0, #0xfffffff00708b000
0xfffffff00823d640: 00a03891  add	x0, x0, #0xe28
0xfffffff00823d644: b25b0994  bl	#0xfffffff00849450c
0xfffffff00823d648: 680a8079  ldrsh	x8, [x19, #4]
0xfffffff00823d64c: c9d38052  mov	w9, #0x69e
0xfffffff00823d650: 6a72ffd0  adrp	x10, #0xfffffff00708b000
