; Candidate 4519
; ADRP+ADD at VM 0xfffffff0087b8ef4 (fileoff 0x17b4ef4): page=0x1fe979000 add_imm=0xd90

0xfffffff0087b8e74: 28b38052  mov	w8, #0x599
0xfffffff0087b8e78: e94cffb0  adrp	x9, #0xfffffff007155000
0xfffffff0087b8e7c: 29d91091  add	x9, x9, #0x436
0xfffffff0087b8e80: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b8e84: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b8e88: 00403691  add	x0, x0, #0xd90
0xfffffff0087b8e8c: 2192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b8e90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b8e94: a34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b8e98: 63102991  add	x3, x3, #0xa44
0xfffffff0087b8e9c: 02008052  mov	w2, #0
0xfffffff0087b8ea0: a4e8ed97  bl	#0xfffffff008333130
0xfffffff0087b8ea4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087b8ea8: ff830091  add	sp, sp, #0x20
0xfffffff0087b8eac: ff0f5fd6  retab	
0xfffffff0087b8eb0: 7f2303d5  pacibsp	
0xfffffff0087b8eb4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087b8eb8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087b8ebc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087b8ec0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087b8ec4: fdc30091  add	x29, sp, #0x30
0xfffffff0087b8ec8: f30302aa  mov	x19, x2
0xfffffff0087b8ecc: f40301aa  mov	x20, x1
0xfffffff0087b8ed0: 350040f9  ldr	x21, [x1]
0xfffffff0087b8ed4: b50200b4  cbz	x21, #0xfffffff0087b8f28
0xfffffff0087b8ed8: a80240b9  ldr	w8, [x21]
0xfffffff0087b8edc: 1f010071  cmp	w8, #0
0xfffffff0087b8ee0: 0c020054  b.gt	#0xfffffff0087b8f20
0xfffffff0087b8ee4: 48b48052  mov	w8, #0x5a2
0xfffffff0087b8ee8: 294dffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087b8eec: 29b52391  add	x9, x9, #0x8ed
0xfffffff0087b8ef0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087b8ef4: c04bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b8ef8: 00403691  add	x0, x0, #0xd90
0xfffffff0087b8efc: 2192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b8f00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b8f04: a34cff90  adrp	x3, #0xfffffff00714c000
0xfffffff0087b8f08: 63dc2991  add	x3, x3, #0xa77
0xfffffff0087b8f0c: 02008052  mov	w2, #0
0xfffffff0087b8f10: 88e8ed97  bl	#0xfffffff008333130
0xfffffff0087b8f14: a80240b9  ldr	w8, [x21]
0xfffffff0087b8f18: 1f050071  cmp	w8, #1
0xfffffff0087b8f1c: 6b000054  b.lt	#0xfffffff0087b8f28
0xfffffff0087b8f20: 08050051  sub	w8, w8, #1
0xfffffff0087b8f24: a80200b9  str	w8, [x21]
0xfffffff0087b8f28: 930200f9  str	x19, [x20]
0xfffffff0087b8f2c: 680240b9  ldr	w8, [x19]
0xfffffff0087b8f30: 08050011  add	w8, w8, #1
0xfffffff0087b8f34: 680200b9  str	w8, [x19]
0xfffffff0087b8f38: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087b8f3c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087b8f40: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087b8f44: ff030191  add	sp, sp, #0x40
0xfffffff0087b8f48: ff0f5fd6  retab	
0xfffffff0087b8f4c: 5f2403d5  bti	c
0xfffffff0087b8f50: 080080d2  mov	x8, #0
0xfffffff0087b8f54: 093040f9  ldr	x9, [x0, #0x60]
0xfffffff0087b8f58: 2a3d40f9  ldr	x10, [x9, #0x78]
0xfffffff0087b8f5c: 2ba54929  ldp	w11, w9, [x9, #0x4c]
0xfffffff0087b8f60: 4b0500b9  str	w11, [x10, #4]
0xfffffff0087b8f64: 492500b9  str	w9, [x10, #0x24]
0xfffffff0087b8f68: 093040f9  ldr	x9, [x0, #0x60]
0xfffffff0087b8f6c: 2a09088b  add	x10, x9, x8, lsl #2
0xfffffff0087b8f70: 4a9d86b9  ldrsw	x10, [x10, #0x69c]
