; Candidate 7033
; ADRP+ADD at VM 0xfffffff0088520dc (fileoff 0x184e0dc): page=0x1fe997000 add_imm=0xe80

0xfffffff00885205c: 167d8012  mov	w22, #-0x3e9
0xfffffff008852060: 26000014  b	#0xfffffff0088520f8
0xfffffff008852064: 16008052  mov	w22, #0
0xfffffff008852068: 29000014  b	#0xfffffff00885210c
0xfffffff00885206c: 50880194  bl	#0xfffffff0088b41ac
0xfffffff008852070: f60300aa  mov	x22, x0
0xfffffff008852074: a0008052  mov	w0, #5
0xfffffff008852078: f6a50094  bl	#0xfffffff00887b850
0xfffffff00885207c: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008852080: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008852084: 0a0b8052  mov	w10, #0x58
0xfffffff008852088: 4a0140b9  ldr	w10, [x10]
0xfffffff00885208c: 8b8a40b9  ldr	w11, [x20, #0x88]
0xfffffff008852090: 0c128152  mov	w12, #0x890
0xfffffff008852094: eb3307a9  stp	x11, x12, [sp, #0x70]
0xfffffff008852098: ea5706a9  stp	x10, x21, [sp, #0x60]
0xfffffff00885209c: e97f05a9  stp	x9, xzr, [sp, #0x50]
0xfffffff0088520a0: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088520a4: a84eff90  adrp	x8, #0xfffffff007226000
0xfffffff0088520a8: 08090f91  add	x8, x8, #0x3c2
0xfffffff0088520ac: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088520b0: 08728052  mov	w8, #0x390
0xfffffff0088520b4: a94eff90  adrp	x9, #0xfffffff007226000
0xfffffff0088520b8: 29fd1891  add	x9, x9, #0x63f
0xfffffff0088520bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088520c0: a84effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088520c4: 08811191  add	x8, x8, #0x460
0xfffffff0088520c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088520cc: e80d8052  mov	w8, #0x6f
0xfffffff0088520d0: 0350ffb0  adrp	x3, #0xfffffff007253000
0xfffffff0088520d4: 63c40491  add	x3, x3, #0x131
0xfffffff0088520d8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088520dc: a04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088520e0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088520e4: a18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088520e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088520ec: 02008052  mov	w2, #0
0xfffffff0088520f0: 1084eb97  bl	#0xfffffff008333130
0xfffffff0088520f4: f67f8012  mov	w22, #-0x400
0xfffffff0088520f8: a1835bf8  ldur	x1, [x29, #-0x48]
0xfffffff0088520fc: 810000b4  cbz	x1, #0xfffffff00885210c
0xfffffff008852100: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008852104: 68990094  bl	#0xfffffff0088786a4
0xfffffff008852108: bf831bf8  stur	xzr, [x29, #-0x48]
0xfffffff00885210c: e00d8052  mov	w0, #0x6f
0xfffffff008852110: e1008052  mov	w1, #7
0xfffffff008852114: afa50094  bl	#0xfffffff00887b7d0
0xfffffff008852118: 20060034  cbz	w0, #0xfffffff0088521dc
0xfffffff00885211c: e00d8052  mov	w0, #0x6f
0xfffffff008852120: bea50094  bl	#0xfffffff00887b818
0xfffffff008852124: f80300aa  mov	x24, x0
0xfffffff008852128: 21880194  bl	#0xfffffff0088b41ac
0xfffffff00885212c: f70300aa  mov	x23, x0
0xfffffff008852130: e0008052  mov	w0, #7
0xfffffff008852134: c7a50094  bl	#0xfffffff00887b850
0xfffffff008852138: 38020034  cbz	w24, #0xfffffff00885217c
0xfffffff00885213c: e80316aa  mov	x8, x22
0xfffffff008852140: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008852144: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008852148: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00885214c: a84eff90  adrp	x8, #0xfffffff007226000
0xfffffff008852150: 08fd1891  add	x8, x8, #0x63f
0xfffffff008852154: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008852158: a84effb0  adrp	x8, #0xfffffff007227000
