; Candidate 506
; ADRP+ADD at VM 0xfffffff007f4c478 (fileoff 0xf48478): page=0x1ff113000 add_imm=0xddd

0xfffffff007f4c3f8: 00202e91  add	x0, x0, #0xb88
0xfffffff007f4c3fc: e10318aa  mov	x1, x24
0xfffffff007f4c400: 02008052  mov	w2, #0
0xfffffff007f4c404: bd7df997  bl	#0xfffffff007dabaf8
0xfffffff007f4c408: beffff17  b	#0xfffffff007f4c300
0xfffffff007f4c40c: e8e64079  ldrh	w8, [x23, #0x72]
0xfffffff007f4c410: e9e24079  ldrh	w9, [x23, #0x70]
0xfffffff007f4c414: ea5640b9  ldr	w10, [x23, #0x54]
0xfffffff007f4c418: cbeb8252  mov	w11, #0x175e
0xfffffff007f4c41c: 8c88ffb0  adrp	x12, #0xfffffff00705d000
0xfffffff007f4c420: 8c410791  add	x12, x12, #0x1d0
0xfffffff007f4c424: ec2f03a9  stp	x12, x11, [sp, #0x30]
0xfffffff007f4c428: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff007f4c42c: 0900b012  mov	w9, #0x7fffffff
0xfffffff007f4c430: 8a88ffb0  adrp	x10, #0xfffffff00705d000
0xfffffff007f4c434: 4a511991  add	x10, x10, #0x654
0xfffffff007f4c438: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f4c43c: 8088ffb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f4c440: 00001891  add	x0, x0, #0x600
0xfffffff007f4c444: ea5f00a9  stp	x10, x23, [sp]
0xfffffff007f4c448: 31201594  bl	#0xfffffff00849450c
0xfffffff007f4c44c: 8888fff0  adrp	x8, #0xfffffff00705f000
0xfffffff007f4c450: 08513691  add	x8, x8, #0xd94
0xfffffff007f4c454: c98d8052  mov	w9, #0x46e
0xfffffff007f4c458: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4c45c: 8088fff0  adrp	x0, #0xfffffff00705f000
0xfffffff007f4c460: 00843691  add	x0, x0, #0xda1
0xfffffff007f4c464: 2a201594  bl	#0xfffffff00849450c
0xfffffff007f4c468: 8888fff0  adrp	x8, #0xfffffff00705f000
0xfffffff007f4c46c: 08513691  add	x8, x8, #0xd94
0xfffffff007f4c470: c9a28052  mov	w9, #0x516
0xfffffff007f4c474: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4c478: 8088fff0  adrp	x0, #0xfffffff00705f000
0xfffffff007f4c47c: 00743791  add	x0, x0, #0xddd
0xfffffff007f4c480: 23201594  bl	#0xfffffff00849450c
0xfffffff007f4c484: 7f2303d5  pacibsp	
0xfffffff007f4c488: ffc300d1  sub	sp, sp, #0x30
0xfffffff007f4c48c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f4c490: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f4c494: fd830091  add	x29, sp, #0x20
0xfffffff007f4c498: f30300aa  mov	x19, x0
0xfffffff007f4c49c: 080440b9  ldr	w8, [x0, #4]
0xfffffff007f4c4a0: 08070034  cbz	w8, #0xfffffff007f4c580
0xfffffff007f4c4a4: 09050051  sub	w9, w8, #1
0xfffffff007f4c4a8: 690600b9  str	w9, [x19, #4]
0xfffffff007f4c4ac: 1f090071  cmp	w8, #2
0xfffffff007f4c4b0: 40010054  b.eq	#0xfffffff007f4c4d8
0xfffffff007f4c4b4: 1f050071  cmp	w8, #1
0xfffffff007f4c4b8: 41010054  b.ne	#0xfffffff007f4c4e0
0xfffffff007f4c4bc: 8888fff0  adrp	x8, #0xfffffff00705f000
0xfffffff007f4c4c0: 08513691  add	x8, x8, #0xd94
0xfffffff007f4c4c4: 69ab8052  mov	w9, #0x55b
0xfffffff007f4c4c8: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4c4cc: 8088fff0  adrp	x0, #0xfffffff00705f000
0xfffffff007f4c4d0: 003c3891  add	x0, x0, #0xe0f
0xfffffff007f4c4d4: 0e201594  bl	#0xfffffff00849450c
0xfffffff007f4c4d8: 68f24239  ldrb	w8, [x19, #0xbc]
0xfffffff007f4c4dc: a8000837  tbnz	w8, #1, #0xfffffff007f4c4f0
0xfffffff007f4c4e0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007f4c4e4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007f4c4e8: ffc30091  add	sp, sp, #0x30
0xfffffff007f4c4ec: ff0f5fd6  retab	
0xfffffff007f4c4f0: 680640b9  ldr	w8, [x19, #4]
0xfffffff007f4c4f4: 68040034  cbz	w8, #0xfffffff007f4c580
