; Candidate 362
; ADRP+ADD at VM 0xfffffff007ebd290 (fileoff 0xeb9290): page=0x1ff194000 add_imm=0xdb9

0xfffffff007ebd210: 1f01096a  tst	w8, w9
0xfffffff007ebd214: 41020054  b.ne	#0xfffffff007ebd25c
0xfffffff007ebd218: 330200b4  cbz	x19, #0xfffffff007ebd25c
0xfffffff007ebd21c: df0214eb  cmp	x22, x20
0xfffffff007ebd220: e2010054  b.hs	#0xfffffff007ebd25c
0xfffffff007ebd224: 1740a052  mov	w23, #0x2000000
0xfffffff007ebd228: c89a6792  and	x8, x22, #0xfffffffffe000000
0xfffffff007ebd22c: 0801178b  add	x8, x8, x23
0xfffffff007ebd230: 1f0114eb  cmp	x8, x20
0xfffffff007ebd234: 0231949a  csel	x2, x8, x20, lo
0xfffffff007ebd238: e00313aa  mov	x0, x19
0xfffffff007ebd23c: e10316aa  mov	x1, x22
0xfffffff007ebd240: e30315aa  mov	x3, x21
0xfffffff007ebd244: 4785fa97  bl	#0xfffffff007d5e760
0xfffffff007ebd248: f60300aa  mov	x22, x0
0xfffffff007ebd24c: e00313aa  mov	x0, x19
0xfffffff007ebd250: 640b0094  bl	#0xfffffff007ebffe0
0xfffffff007ebd254: df0214eb  cmp	x22, x20
0xfffffff007ebd258: 83feff54  b.lo	#0xfffffff007ebd228
0xfffffff007ebd25c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007ebd260: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007ebd264: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007ebd268: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007ebd26c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007ebd270: ff030291  add	sp, sp, #0x80
0xfffffff007ebd274: ff0f5fd6  retab	
0xfffffff007ebd278: 89dc8352  mov	w9, #0x1ee4
0xfffffff007ebd27c: 888cfff0  adrp	x8, #0xfffffff007050000
0xfffffff007ebd280: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007ebd284: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff007ebd288: f6d300a9  stp	x22, x20, [sp, #8]
0xfffffff007ebd28c: f30300f9  str	x19, [sp]
0xfffffff007ebd290: a08cff90  adrp	x0, #0xfffffff007051000
0xfffffff007ebd294: 00e43691  add	x0, x0, #0xdb9
0xfffffff007ebd298: 9d5c1794  bl	#0xfffffff00849450c
0xfffffff007ebd29c: 7f2303d5  pacibsp	
0xfffffff007ebd2a0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff007ebd2a4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff007ebd2a8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff007ebd2ac: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff007ebd2b0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff007ebd2b4: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff007ebd2b8: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff007ebd2bc: fd830291  add	x29, sp, #0xa0
0xfffffff007ebd2c0: 43050034  cbz	w3, #0xfffffff007ebd368
0xfffffff007ebd2c4: f70306aa  mov	x23, x6
0xfffffff007ebd2c8: f90305aa  mov	x25, x5
0xfffffff007ebd2cc: f80304aa  mov	x24, x4
0xfffffff007ebd2d0: f60303aa  mov	x22, x3
0xfffffff007ebd2d4: f30302aa  mov	x19, x2
0xfffffff007ebd2d8: f50301aa  mov	x21, x1
0xfffffff007ebd2dc: f40300aa  mov	x20, x0
0xfffffff007ebd2e0: 1b008052  mov	w27, #0
0xfffffff007ebd2e4: 9cd038d5  mrs	x28, tpidr_el1
0xfffffff007ebd2e8: e00314aa  mov	x0, x20
0xfffffff007ebd2ec: e10315aa  mov	x1, x21
0xfffffff007ebd2f0: e20313aa  mov	x2, x19
0xfffffff007ebd2f4: e30318aa  mov	x3, x24
0xfffffff007ebd2f8: 04008052  mov	w4, #0
0xfffffff007ebd2fc: e50319aa  mov	x5, x25
0xfffffff007ebd300: 26008052  mov	w6, #1
0xfffffff007ebd304: 27008052  mov	w7, #1
0xfffffff007ebd308: fc84fa97  bl	#0xfffffff007d5e6f8
0xfffffff007ebd30c: 1f380071  cmp	w0, #0xe
