; Candidate 6830
; ADRP+ADD at VM 0xfffffff008844b94 (fileoff 0x1840b94): page=0x1fe9a5000 add_imm=0xe80

0xfffffff008844b14: e82b40b9  ldr	w8, [sp, #0x28]
0xfffffff008844b18: 1f011b72  tst	w8, #0x20
0xfffffff008844b1c: e8179f1a  cset	w8, eq
0xfffffff008844b20: 1c00080a  and	w28, w0, w8
0xfffffff008844b24: a2bd0194  bl	#0xfffffff0088b41ac
0xfffffff008844b28: f90300aa  mov	x25, x0
0xfffffff008844b2c: e00315aa  mov	x0, x21
0xfffffff008844b30: 48db0094  bl	#0xfffffff00887b850
0xfffffff008844b34: 9f070071  cmp	w28, #1
0xfffffff008844b38: 01020054  b.ne	#0xfffffff008844b78
0xfffffff008844b3c: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff008844b40: f90300f9  str	x25, [sp]
0xfffffff008844b44: 004fff90  adrp	x0, #0xfffffff007224000
0xfffffff008844b48: 00282391  add	x0, x0, #0x8ca
0xfffffff008844b4c: 45cad597  bl	#0xfffffff007db7460
0xfffffff008844b50: 19000014  b	#0xfffffff008844bb4
0xfffffff008844b54: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008844b58: 00003a91  add	x0, x0, #0xe80
0xfffffff008844b5c: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844b60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844b64: 02008052  mov	w2, #0
0xfffffff008844b68: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008844b6c: 63441491  add	x3, x3, #0x511
0xfffffff008844b70: 70b9eb97  bl	#0xfffffff008333130
0xfffffff008844b74: 10000014  b	#0xfffffff008844bb4
0xfffffff008844b78: 8dbd0194  bl	#0xfffffff0088b41ac
0xfffffff008844b7c: f90300aa  mov	x25, x0
0xfffffff008844b80: e00315aa  mov	x0, x21
0xfffffff008844b84: 33db0094  bl	#0xfffffff00887b850
0xfffffff008844b88: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008844b8c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008844b90: f90300f9  str	x25, [sp]
0xfffffff008844b94: 204dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008844b98: 00003a91  add	x0, x0, #0xe80
0xfffffff008844b9c: 218eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008844ba0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008844ba4: 02008052  mov	w2, #0
0xfffffff008844ba8: 6350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008844bac: 634c1491  add	x3, x3, #0x513
0xfffffff008844bb0: 60b9eb97  bl	#0xfffffff008333130
0xfffffff008844bb4: 5a070091  add	x26, x26, #1
0xfffffff008844bb8: c8be80b9  ldrsw	x8, [x22, #0xbc]
0xfffffff008844bbc: 5f0308eb  cmp	x26, x8
0xfffffff008844bc0: abf7ff54  b.lt	#0xfffffff008844ab4
0xfffffff008844bc4: d7220291  add	x23, x22, #0x88
0xfffffff008844bc8: e00317aa  mov	x0, x23
0xfffffff008844bcc: efacff97  bl	#0xfffffff00882ff88
0xfffffff008844bd0: f80300aa  mov	x24, x0
0xfffffff008844bd4: e00317aa  mov	x0, x23
0xfffffff008844bd8: 01adff97  bl	#0xfffffff00882ffdc
0xfffffff008844bdc: 1f0300eb  cmp	x24, x0
0xfffffff008844be0: 20090054  b.eq	#0xfffffff008844d04
0xfffffff008844be4: e80313aa  mov	x8, x19
0xfffffff008844be8: e8a301a9  stp	x8, x8, [sp, #0x18]
0xfffffff008844bec: 3a4dffb0  adrp	x26, #0xfffffff0071e9000
0xfffffff008844bf0: 5a033a91  add	x26, x26, #0xe80
0xfffffff008844bf4: 3b8eff90  adrp	x27, #0xfffffff007a08000
0xfffffff008844bf8: 7b2f42f9  ldr	x27, [x27, #0x458]
0xfffffff008844bfc: e00318aa  mov	x0, x24
0xfffffff008844c00: e10313aa  mov	x1, x19
0xfffffff008844c04: e20314aa  mov	x2, x20
0xfffffff008844c08: 030080d2  mov	x3, #0
0xfffffff008844c0c: 04008052  mov	w4, #0
0xfffffff008844c10: 8cfbfe97  bl	#0xfffffff008803a40
