; Candidate 4326
; ADRP+ADD at VM 0xfffffff00879f1c4 (fileoff 0x179b1c4): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f144: 63cc3f91  add	x3, x3, #0xff3
0xfffffff00879f148: 02008052  mov	w2, #0
0xfffffff00879f14c: f94fee97  bl	#0xfffffff008333130
0xfffffff00879f150: 08008052  mov	w8, #0
0xfffffff00879f154: f6feff17  b	#0xfffffff00879ed2c
0xfffffff00879f158: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f15c: 08491591  add	x8, x8, #0x552
0xfffffff00879f160: e80300f9  str	x8, [sp]
0xfffffff00879f164: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f168: 00403691  add	x0, x0, #0xd90
0xfffffff00879f16c: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f170: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f174: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f178: 63400191  add	x3, x3, #0x50
0xfffffff00879f17c: 02008052  mov	w2, #0
0xfffffff00879f180: ec4fee97  bl	#0xfffffff008333130
0xfffffff00879f184: 08008052  mov	w8, #0
0xfffffff00879f188: 34268052  mov	w20, #0x131
0xfffffff00879f18c: fc3f40f9  ldr	x28, [sp, #0x78]
0xfffffff00879f190: f95740f9  ldr	x25, [sp, #0xa8]
0xfffffff00879f194: 1dfbff17  b	#0xfffffff00879de08
0xfffffff00879f198: 8c4e40b9  ldr	w12, [x20, #0x4c]
0xfffffff00879f19c: 8c7d0b9b  mul	x12, x12, x11
0xfffffff00879f1a0: ed030caa  mov	x13, x12
0xfffffff00879f1a4: 9f7d60f2  tst	x12, #-0x100000000
0xfffffff00879f1a8: c00d0054  b.eq	#0xfffffff00879f360
0xfffffff00879f1ac: 0c008052  mov	w12, #0
0xfffffff00879f1b0: 8e008052  mov	w14, #4
0xfffffff00879f1b4: f6000014  b	#0xfffffff00879f58c
0xfffffff00879f1b8: e84dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff00879f1bc: 08fd1a91  add	x8, x8, #0x6bf
0xfffffff00879f1c0: e80300f9  str	x8, [sp]
0xfffffff00879f1c4: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f1c8: 00403691  add	x0, x0, #0xd90
0xfffffff00879f1cc: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f1d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f1d4: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f1d8: 632c0e91  add	x3, x3, #0x38b
0xfffffff00879f1dc: 02008052  mov	w2, #0
0xfffffff00879f1e0: d44fee97  bl	#0xfffffff008333130
0xfffffff00879f1e4: 0c000014  b	#0xfffffff00879f214
0xfffffff00879f1e8: e84dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff00879f1ec: 08fd1a91  add	x8, x8, #0x6bf
0xfffffff00879f1f0: e80300f9  str	x8, [sp]
0xfffffff00879f1f4: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f1f8: 00403691  add	x0, x0, #0xd90
0xfffffff00879f1fc: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f200: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f204: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f208: 63f40e91  add	x3, x3, #0x3bd
0xfffffff00879f20c: 02008052  mov	w2, #0
0xfffffff00879f210: c84fee97  bl	#0xfffffff008333130
0xfffffff00879f214: 14268052  mov	w20, #0x130
0xfffffff00879f218: 08008052  mov	w8, #0
0xfffffff00879f21c: ddffff17  b	#0xfffffff00879f190
0xfffffff00879f220: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f224: 08491591  add	x8, x8, #0x552
0xfffffff00879f228: e87f00a9  stp	x8, xzr, [sp]
0xfffffff00879f22c: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f230: 00403691  add	x0, x0, #0xd90
0xfffffff00879f234: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f238: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f23c: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f240: 63e40191  add	x3, x3, #0x79
