; Candidate 14534
; ADRP+ADD at VM 0xfffffff00980b1a4 (fileoff 0x28071a4): page=0x1fddab000 add_imm=0xdc0

0xfffffff00980b124: e00317aa  mov	x0, x23
0xfffffff00980b128: e20318aa  mov	x2, x24
0xfffffff00980b12c: f10309aa  mov	x17, x9
0xfffffff00980b130: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff00980b134: 11093fd7  blraa	x8, x17
0xfffffff00980b138: 20270036  tbz	w0, #0, #0xfffffff00980b61c
0xfffffff00980b13c: 088340f9  ldr	x8, [x24, #0x100]
0xfffffff00980b140: 482f00b5  cbnz	x8, #0xfffffff00980b728
0xfffffff00980b144: 178300f9  str	x23, [x24, #0x100]
0xfffffff00980b148: 6d010014  b	#0xfffffff00980b6fc
0xfffffff00980b14c: f6cf01a9  stp	x22, x19, [sp, #0x18]
0xfffffff00980b150: 48edfef0  adrp	x8, #0xfffffff0075b6000
0xfffffff00980b154: 08f93591  add	x8, x8, #0xd7e
0xfffffff00980b158: 49edfed0  adrp	x9, #0xfffffff0075b5000
0xfffffff00980b15c: 29a53691  add	x9, x9, #0xda9
0xfffffff00980b160: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00980b164: e00300f9  str	x0, [sp]
0xfffffff00980b168: 40edfef0  adrp	x0, #0xfffffff0075b6000
0xfffffff00980b16c: 00383691  add	x0, x0, #0xd8e
0xfffffff00980b170: 0f000014  b	#0xfffffff00980b1ac
0xfffffff00980b174: f4cf01a9  stp	x20, x19, [sp, #0x18]
0xfffffff00980b178: 48edfef0  adrp	x8, #0xfffffff0075b6000
0xfffffff00980b17c: 08f93591  add	x8, x8, #0xd7e
0xfffffff00980b180: 49edfed0  adrp	x9, #0xfffffff0075b5000
0xfffffff00980b184: 29a53691  add	x9, x9, #0xda9
0xfffffff00980b188: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00980b18c: e00300f9  str	x0, [sp]
0xfffffff00980b190: 40edfef0  adrp	x0, #0xfffffff0075b6000
0xfffffff00980b194: 00703791  add	x0, x0, #0xddc
0xfffffff00980b198: 05000014  b	#0xfffffff00980b1ac
0xfffffff00980b19c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff00980b1a0: e02700a9  stp	x0, x9, [sp]
0xfffffff00980b1a4: 40edfef0  adrp	x0, #0xfffffff0075b6000
0xfffffff00980b1a8: 00003791  add	x0, x0, #0xdc0
0xfffffff00980b1ac: e990b197  bl	#0xfffffff00846f550
0xfffffff00980b1b0: 180080d2  mov	x24, #0
0xfffffff00980b1b4: e00318aa  mov	x0, x24
0xfffffff00980b1b8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00980b1bc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00980b1c0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00980b1c4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00980b1c8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00980b1cc: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff00980b1d0: ff830291  add	sp, sp, #0xa0
0xfffffff00980b1d4: ff0f5fd6  retab	
0xfffffff00980b1d8: 180080d2  mov	x24, #0
0xfffffff00980b1dc: 700240f9  ldr	x16, [x19]
0xfffffff00980b1e0: f10313aa  mov	x17, x19
0xfffffff00980b1e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980b1e8: 301ac1da  autda	x16, x17
0xfffffff00980b1ec: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00980b1f0: e90310aa  mov	x9, x16
0xfffffff00980b1f4: e00313aa  mov	x0, x19
0xfffffff00980b1f8: f10309aa  mov	x17, x9
0xfffffff00980b1fc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00980b200: 11093fd7  blraa	x8, x17
0xfffffff00980b204: ecffff17  b	#0xfffffff00980b1b4
0xfffffff00980b208: 250b9b97  bl	#0xfffffff007ecde9c
0xfffffff00980b20c: f30300aa  mov	x19, x0
0xfffffff00980b210: d00240f9  ldr	x16, [x22]
0xfffffff00980b214: f10316aa  mov	x17, x22
0xfffffff00980b218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00980b21c: 301ac1da  autda	x16, x17
0xfffffff00980b220: 113d80d2  mov	x17, #0x1e8
