; Candidate 15859
; ADRP+ADD at VM 0xfffffff009d7fce0 (fileoff 0x2d7bce0): page=0x1fdf9c000 add_imm=0xe80

0xfffffff009d7fc60: 10021491  add	x16, x16, #0x500
0xfffffff009d7fc64: 10420091  add	x16, x16, #0x10
0xfffffff009d7fc68: f10300aa  mov	x17, x0
0xfffffff009d7fc6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d7fc70: 300ac1da  pacda	x16, x17
0xfffffff009d7fc74: 100000f9  str	x16, [x0]
0xfffffff009d7fc78: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d7fc7c: ff0f5fd6  retab	
0xfffffff009d7fc80: 5f2403d5  bti	c
0xfffffff009d7fc84: 7203ff17  b	#0xfffffff009d40a4c
0xfffffff009d7fc88: 5f2403d5  bti	c
0xfffffff009d7fc8c: 7003ff17  b	#0xfffffff009d40a4c
0xfffffff009d7fc90: 7f2303d5  pacibsp	
0xfffffff009d7fc94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d7fc98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d7fc9c: fd430091  add	x29, sp, #0x10
0xfffffff009d7fca0: f30300aa  mov	x19, x0
0xfffffff009d7fca4: 6a03ff97  bl	#0xfffffff009d40a4c
0xfffffff009d7fca8: e0fcfe90  adrp	x0, #0xfffffff007d1b000
0xfffffff009d7fcac: 00003a91  add	x0, x0, #0xe80
0xfffffff009d7fcb0: e10313aa  mov	x1, x19
0xfffffff009d7fcb4: 02388052  mov	w2, #0x1c0
0xfffffff009d7fcb8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d7fcbc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d7fcc0: ff2303d5  autibsp	
0xfffffff009d7fcc4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d7fcc8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d7fcd0
0xfffffff009d7fccc: 208e38d4  brk	#0xc471
0xfffffff009d7fcd0: 739e9517  b	#0xfffffff0082e769c
0xfffffff009d7fcd4: 5f2403d5  bti	c
0xfffffff009d7fcd8: e20301aa  mov	x2, x1
0xfffffff009d7fcdc: e10300aa  mov	x1, x0
0xfffffff009d7fce0: e0fcfe90  adrp	x0, #0xfffffff007d1b000
0xfffffff009d7fce4: 00003a91  add	x0, x0, #0xe80
0xfffffff009d7fce8: 6d9e9517  b	#0xfffffff0082e769c
0xfffffff009d7fcec: 5f2403d5  bti	c
0xfffffff009d7fcf0: e03100b0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d7fcf4: 00402b91  add	x0, x0, #0xad0
0xfffffff009d7fcf8: c0035fd6  ret	
0xfffffff009d7fcfc: 7f2303d5  pacibsp	
0xfffffff009d7fd00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d7fd04: fd030091  mov	x29, sp
0xfffffff009d7fd08: a1c7feb0  adrp	x1, #0xfffffff007674000
0xfffffff009d7fd0c: 21e81b91  add	x1, x1, #0x6fa
0xfffffff009d7fd10: e23100b0  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d7fd14: 42c01e91  add	x2, x2, #0x7b0
0xfffffff009d7fd18: 03388052  mov	w3, #0x1c0
0xfffffff009d7fd1c: 878f9597  bl	#0xfffffff0082e3b38
0xfffffff009d7fd20: b0fcfed0  adrp	x16, #0xfffffff007d15000
0xfffffff009d7fd24: 10222b91  add	x16, x16, #0xac8
0xfffffff009d7fd28: 10420091  add	x16, x16, #0x10
0xfffffff009d7fd2c: f10300aa  mov	x17, x0
0xfffffff009d7fd30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d7fd34: 300ac1da  pacda	x16, x17
0xfffffff009d7fd38: 100000f9  str	x16, [x0]
0xfffffff009d7fd3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d7fd40: ff0f5fd6  retab	
0xfffffff009d7fd44: 7f2303d5  pacibsp	
0xfffffff009d7fd48: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d7fd4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d7fd50: fd430091  add	x29, sp, #0x10
0xfffffff009d7fd54: e0fcfe90  adrp	x0, #0xfffffff007d1b000
0xfffffff009d7fd58: 00003a91  add	x0, x0, #0xe80
0xfffffff009d7fd5c: 01388052  mov	w1, #0x1c0
