; Candidate 10596
; ADRP+ADD at VM 0xfffffff008ddf210 (fileoff 0x1ddb210): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddf190: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008ddf194: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008ddf198: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008ddf19c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008ddf1a0: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008ddf1a4: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008ddf1a8: ff830291  add	sp, sp, #0xa0
0xfffffff008ddf1ac: ff0f5fd6  retab	
0xfffffff008ddf1b0: c80f8052  mov	w8, #0x7e
0xfffffff008ddf1b4: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf1b8: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf1bc: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008ddf1c0: 082fffd0  adrp	x8, #0xfffffff0073c1000
0xfffffff008ddf1c4: 08611991  add	x8, x8, #0x658
0xfffffff008ddf1c8: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf1cc: 4a111991  add	x10, x10, #0x644
0xfffffff008ddf1d0: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf1d4: ea0300f9  str	x10, [sp]
0xfffffff008ddf1d8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf1dc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf1e0: 90dfd597  bl	#0xfffffff008357020
0xfffffff008ddf1e4: 16008052  mov	w22, #0
0xfffffff008ddf1e8: 150080d2  mov	x21, #0
0xfffffff008ddf1ec: deffff17  b	#0xfffffff008ddf164
0xfffffff008ddf1f0: 28108052  mov	w8, #0x81
0xfffffff008ddf1f4: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008ddf1f8: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf1fc: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf200: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf204: 29bd1591  add	x9, x9, #0x56f
0xfffffff008ddf208: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf20c: e90300f9  str	x9, [sp]
0xfffffff008ddf210: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf214: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf218: 82dfd597  bl	#0xfffffff008357020
0xfffffff008ddf21c: c8088052  mov	w8, #0x46
0xfffffff008ddf220: 76008012  mov	w22, #-4
0xfffffff008ddf224: d1ffff17  b	#0xfffffff008ddf168
0xfffffff008ddf228: e87e4093  sxtw	x8, w23
0xfffffff008ddf22c: 090e8052  mov	w9, #0x70
0xfffffff008ddf230: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf234: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf238: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf23c: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf240: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf244: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddf248: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddf24c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf250: eb0300f9  str	x11, [sp]
0xfffffff008ddf254: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf258: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf25c: 71dfd597  bl	#0xfffffff008357020
0xfffffff008ddf260: 150080d2  mov	x21, #0
0xfffffff008ddf264: c8088052  mov	w8, #0x46
0xfffffff008ddf268: f60317aa  mov	x22, x23
0xfffffff008ddf26c: bfffff17  b	#0xfffffff008ddf168
0xfffffff008ddf270: f60300aa  mov	x22, x0
0xfffffff008ddf274: c87e4093  sxtw	x8, w22
0xfffffff008ddf278: 490f8052  mov	w9, #0x7a
0xfffffff008ddf27c: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf280: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf284: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf288: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf28c: 29493991  add	x9, x9, #0xe52
