; Candidate 8302
; ADRP+ADD at VM 0xfffffff0088a2128 (fileoff 0x189e128): page=0x1fe947000 add_imm=0xe80

0xfffffff0088a20a8: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff0088a20ac: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a20b0: 68af8052  mov	w8, #0x57b
0xfffffff0088a20b4: 694cfff0  adrp	x9, #0xfffffff007231000
0xfffffff0088a20b8: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a20bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a20c0: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a20c4: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a20c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a20cc: a80f8052  mov	w8, #0x7d
0xfffffff0088a20d0: 604cfff0  adrp	x0, #0xfffffff007231000
0xfffffff0088a20d4: 00281d91  add	x0, x0, #0x74a
0xfffffff0088a20d8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a20dc: e154d497  bl	#0xfffffff007db7460
0xfffffff0088a20e0: 17008052  mov	w23, #0
0xfffffff0088a20e4: 36000014  b	#0xfffffff0088a21bc
0xfffffff0088a20e8: 09008012  mov	w9, #-1
0xfffffff0088a20ec: f62705a9  stp	x22, x9, [sp, #0x50]
0xfffffff0088a20f0: e90315aa  mov	x9, x21
0xfffffff0088a20f4: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff0088a20f8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088a20fc: 68af8052  mov	w8, #0x57b
0xfffffff0088a2100: 694cfff0  adrp	x9, #0xfffffff007231000
0xfffffff0088a2104: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a2108: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a210c: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2110: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2114: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a2118: a80f8052  mov	w8, #0x7d
0xfffffff0088a211c: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a2120: 63442191  add	x3, x3, #0x851
0xfffffff0088a2124: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a2128: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a212c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a2130: 218bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a2134: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a2138: 02008052  mov	w2, #0
0xfffffff0088a213c: fd43ea97  bl	#0xfffffff008333130
0xfffffff0088a2140: 17008052  mov	w23, #0
0xfffffff0088a2144: 1e000014  b	#0xfffffff0088a21bc
0xfffffff0088a2148: 19480094  bl	#0xfffffff0088b41ac
0xfffffff0088a214c: f60300aa  mov	x22, x0
0xfffffff0088a2150: 80008052  mov	w0, #4
0xfffffff0088a2154: bf65ff97  bl	#0xfffffff00887b850
0xfffffff0088a2158: e80315aa  mov	x8, x21
0xfffffff0088a215c: 690240b9  ldr	w9, [x19]
0xfffffff0088a2160: f4a304a9  stp	x20, x8, [sp, #0x48]
0xfffffff0088a2164: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff0088a2168: 684cffd0  adrp	x8, #0xfffffff007230000
0xfffffff0088a216c: 0a511691  add	x10, x8, #0x594
0xfffffff0088a2170: 88b08052  mov	w8, #0x584
0xfffffff0088a2174: 694cfff0  adrp	x9, #0xfffffff007231000
0xfffffff0088a2178: 29b51b91  add	x9, x9, #0x6ed
0xfffffff0088a217c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a2180: 684cfff0  adrp	x8, #0xfffffff007231000
0xfffffff0088a2184: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a2188: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a218c: a80f8052  mov	w8, #0x7d
0xfffffff0088a2190: e34dfff0  adrp	x3, #0xfffffff007261000
0xfffffff0088a2194: 63502291  add	x3, x3, #0x894
0xfffffff0088a2198: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a219c: f60300f9  str	x22, [sp]
0xfffffff0088a21a0: 204afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a21a4: 00003a91  add	x0, x0, #0xe80
