; Candidate 14224
; ADRP+ADD at VM 0xfffffff00975197c (fileoff 0x274d97c): page=0xc3a000 add_imm=0xda8

0xfffffff0097518fc: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff009751900: c0035fd6  ret	
0xfffffff009751904: 5f2403d5  bti	c
0xfffffff009751908: e0588052  mov	w0, #0x2c7
0xfffffff00975190c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009751910: c0035fd6  ret	
0xfffffff009751914: 7f2303d5  pacibsp	
0xfffffff009751918: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00975191c: fd030091  mov	x29, sp
0xfffffff009751920: 20f2fef0  adrp	x0, #0xfffffff007598000
0xfffffff009751924: 00200091  add	x0, x0, #8
0xfffffff009751928: 9a5eaf97  bl	#0xfffffff008329390
0xfffffff00975192c: c86100f0  adrp	x8, #0xfffffff00a38c000
0xfffffff009751930: 009901f9  str	x0, [x8, #0x330]
0xfffffff009751934: c06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009751938: 00a03691  add	x0, x0, #0xda8
0xfffffff00975193c: 21f2fef0  adrp	x1, #0xfffffff007598000
0xfffffff009751940: 21d00091  add	x1, x1, #0x34
0xfffffff009751944: c26100d0  adrp	x2, #0xfffffff00a38b000
0xfffffff009751948: 42400c91  add	x2, x2, #0x310
0xfffffff00975194c: 03c38152  mov	w3, #0xe18
0xfffffff009751950: 7a48ae97  bl	#0xfffffff0082e3b38
0xfffffff009751954: 3027ff90  adrp	x16, #0xfffffff007c35000
0xfffffff009751958: 10822991  add	x16, x16, #0xa60
0xfffffff00975195c: 10420091  add	x16, x16, #0x10
0xfffffff009751960: f10300aa  mov	x17, x0
0xfffffff009751964: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009751968: 300ac1da  pacda	x16, x17
0xfffffff00975196c: 100000f9  str	x16, [x0]
0xfffffff009751970: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009751974: ff0f5fd6  retab	
0xfffffff009751978: 5f2403d5  bti	c
0xfffffff00975197c: c06100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009751980: 00a03691  add	x0, x0, #0xda8
0xfffffff009751984: 5c4bae17  b	#0xfffffff0082e46f4
0xfffffff009751988: 7f2303d5  pacibsp	
0xfffffff00975198c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009751990: fd030091  mov	x29, sp
0xfffffff009751994: 21f2fef0  adrp	x1, #0xfffffff007598000
0xfffffff009751998: 218c0191  add	x1, x1, #0x63
0xfffffff00975199c: 2226ffb0  adrp	x2, #0xfffffff007c16000
0xfffffff0097519a0: 427842f9  ldr	x2, [x2, #0x4f0]
0xfffffff0097519a4: 03078052  mov	w3, #0x38
0xfffffff0097519a8: 6448ae97  bl	#0xfffffff0082e3b38
0xfffffff0097519ac: 3027ff90  adrp	x16, #0xfffffff007c35000
0xfffffff0097519b0: 10222e91  add	x16, x16, #0xb88
0xfffffff0097519b4: 10420091  add	x16, x16, #0x10
0xfffffff0097519b8: f10300aa  mov	x17, x0
0xfffffff0097519bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097519c0: 300ac1da  pacda	x16, x17
0xfffffff0097519c4: 100000f9  str	x16, [x0]
0xfffffff0097519c8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0097519cc: ff0f5fd6  retab	
0xfffffff0097519d0: 5f2403d5  bti	c
0xfffffff0097519d4: 484bae17  b	#0xfffffff0082e46f4
0xfffffff0097519d8: 7f2303d5  pacibsp	
0xfffffff0097519dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097519e0: fd030091  mov	x29, sp
0xfffffff0097519e4: 6257ae97  bl	#0xfffffff0082e776c
0xfffffff0097519e8: 3027ff90  adrp	x16, #0xfffffff007c35000
0xfffffff0097519ec: 10e22b91  add	x16, x16, #0xaf8
0xfffffff0097519f0: 10420091  add	x16, x16, #0x10
0xfffffff0097519f4: f10300aa  mov	x17, x0
0xfffffff0097519f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
